Request,Audio file,Type,Request URL,File URL
26-9002,PRAR 26-9002_Redacted.wav,WAV,https://sandiego.nextrequest.com/requests/26-9002,https://sandiego.nextrequest.com/documents/69868463
25-3585,PRAR 25-3585 Shereen REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/25-3585,https://sandiego.nextrequest.com/documents/45757618
24-7617,PRAR 24-7617 Valadez REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/24-7617,https://sandiego.nextrequest.com/documents/39652671
24-5530,PRAR 24-5530 Young-Pen REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/24-5530,https://sandiego.nextrequest.com/documents/37014208
24-3822,FS21160296 707 17th Street PRAR 24-3822 Steward.wav,WAV,https://sandiego.nextrequest.com/requests/24-3822,https://sandiego.nextrequest.com/documents/34994135
24-2075,FS23177491_Redacted.wav,WAV,https://sandiego.nextrequest.com/requests/24-2075,https://sandiego.nextrequest.com/documents/31578525
24-1911,FS24032477 3129 Monument Road PRAR 1911 Pascoe REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/24-1911,https://sandiego.nextrequest.com/documents/31398359
24-1911,FS24032456 Dairy Mart and Monument PRAR 24-1911 Pascoe REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/24-1911,https://sandiego.nextrequest.com/documents/31398357
24-611,PRA 24-611 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/24-611,https://sandiego.nextrequest.com/documents/29226704
23-5907,FS23179190_Call to HPD.wav,WAV,https://sandiego.nextrequest.com/requests/23-5907,https://sandiego.nextrequest.com/documents/25801780
23-5907,FS23179190_Call from Tower.wav,WAV,https://sandiego.nextrequest.com/requests/23-5907,https://sandiego.nextrequest.com/documents/25801781
23-3394,FS23092061.wav,WAV,https://sandiego.nextrequest.com/requests/23-3394,https://sandiego.nextrequest.com/documents/21894692
23-3295,FS23041451.wav,WAV,https://sandiego.nextrequest.com/requests/23-3295,https://sandiego.nextrequest.com/documents/21840693
23-2398,FS23065813_Redacted.wav,WAV,https://sandiego.nextrequest.com/requests/23-2398,https://sandiego.nextrequest.com/documents/19775195
23-2010,FS23063512 2234 Gill Village Way REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/23-2010,https://sandiego.nextrequest.com/documents/19411368
23-1528,FS21214385_Redacted.wav,WAV,https://sandiego.nextrequest.com/requests/23-1528,https://sandiego.nextrequest.com/documents/19069924
23-1250,FS22077016 7558 Prairie Mound Way.wav,WAV,https://sandiego.nextrequest.com/requests/23-1250,https://sandiego.nextrequest.com/documents/18479408
23-473,FS22223904 2560 Lanning REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/23-473,https://sandiego.nextrequest.com/documents/17499515
23-473,FS22222555 2560 Lanning Road REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/23-473,https://sandiego.nextrequest.com/documents/17499514
22-6597,Case Number 22206460_Redacted.wav,WAV,https://sandiego.nextrequest.com/requests/22-6597,https://sandiego.nextrequest.com/documents/16967054
22-3196,FS21195793 Clairmemon Mesa and I-15 PRA 22-3196 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-3196,https://sandiego.nextrequest.com/documents/14059488
22-2590,FS21207610 PRA 22-2590 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-2590,https://sandiego.nextrequest.com/documents/13661697
22-2170,FS22067419 6576 Friars Road PRA 22-2170 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-2170,https://sandiego.nextrequest.com/documents/13288052
22-1850,FS22056302  PRA 22-1850 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-1850,https://sandiego.nextrequest.com/documents/12716993
22-1061,FS22009253 N Torrey Pines and Callen Road.wav,WAV,https://sandiego.nextrequest.com/requests/22-1061,https://sandiego.nextrequest.com/documents/11791430
22-1004,FS22003355 14034 Montfort Ct PRA 22-1004 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-1004,https://sandiego.nextrequest.com/documents/11791703
22-922,FS22024460 9369 Dowdy Dr PRA 22-922 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-922,https://sandiego.nextrequest.com/documents/11688074
22-921,FS22024243 Cam Del Sur and Carmel Valley PRA 22-291.wav,WAV,https://sandiego.nextrequest.com/requests/22-921,https://sandiego.nextrequest.com/documents/11688120
22-870,FS22024353 Miramar and Black Mtn PRA 22-870 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-870,https://sandiego.nextrequest.com/documents/11688494
22-660,FS22011609 6th and Robinson PRA 22-660 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/22-660,https://sandiego.nextrequest.com/documents/11505469
22-352,M26 PRA 22-352.wav,WAV,https://sandiego.nextrequest.com/requests/22-352,https://sandiego.nextrequest.com/documents/11043930
21-5878,21-5878 FS21080340 Normal & Lincoln.wav,WAV,https://sandiego.nextrequest.com/requests/21-5878,https://sandiego.nextrequest.com/documents/9479178
21-5700,FS21159882 Lorirae and Rimridge PRA 21-5700 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/21-5700,https://sandiego.nextrequest.com/documents/9300745
21-5591,FS21169615 Del Mar Hts and Mar Scenic PRA 21-5591 REDACTED.wav,WAV,https://sandiego.nextrequest.com/requests/21-5591,https://sandiego.nextrequest.com/documents/9261780
21-5308,PRA 21-5308 FS21151121 4302 Mission Blvd.wav,WAV,https://sandiego.nextrequest.com/requests/21-5308,https://sandiego.nextrequest.com/documents/8907752
