institution,unitid,campus_id,year,measure,value,status,source_id,source_url,source_sha256,source_file,retrieved_utc,source_page,quoted_field,period_label,population_type,scope_note,decision_reason
Cornell,190415,190415001,2025,residents,8861,candidate_branch_year_qualification,cornell_stars_2026,https://cornell.app.box.com/index.php?rm=box_download_shared_file&shared_name=tbpc5ryae9dhbh3bft99lgqlyjh9su9m&file_id=f_2234645641562,5b6c35e0975d07c40e499280815c86afea6fe72fc3fd69781541b76091d2fc95,raw/cornell_stars_2026.pdf,2026-09-26T03:21:09.083487+00:00,21;23,"Number of students resident on-site: 8,861.0",Fall 2025 demographic notes; see mixed-period qualification,Actual students resident on site; employees and other residents separately excluded,Ithaca institutional boundary explicitly excludes Cornell Tech and Weill Cornell Medicine; not all Cornell reporting branches.,"Potential Ithaca-only denominator. Demographic note says Fall 2025, while resource credits reuse the value with fiscal 2024–25 dates; source does not label resident census date separately. Do not promote to a whole-institution or 2024 denominator."
MIT,166683,,2022,residents,2293,withheld_partial_population,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9,On-Campus Residence Occupancy; graduate students 2239; undergraduates 54,"October 15, 2022",Actual students occupying graduate residence buildings,Graduate residence inventory only; excludes undergraduate residence buildings and graduate resident advisers in them.,Exact useful component; incomplete university student housing total.
MIT,166683,,2023,residents,2461,withheld_partial_population,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9,On-Campus Residence Occupancy; graduate students 2311; undergraduates 150,"October 15, 2023",Actual students occupying graduate residence buildings,Graduate residence inventory only; excludes undergraduate residence buildings and graduate resident advisers in them.,Exact useful component; incomplete university student housing total.
MIT,166683,,2024,residents,2372,withheld_partial_population,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9,On-Campus Residence Occupancy; graduate students 2224; undergraduates 148,"October 15, 2024",Actual students occupying graduate residence buildings,Graduate residence inventory only; excludes undergraduate residence buildings and graduate resident advisers in them.,Exact useful component; incomplete university student housing total.
MIT,166683,,2025,residents,2359,withheld_partial_population,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9,On-Campus Residence Occupancy; graduate students 2254; undergraduates 105,"October 15, 2025",Actual students occupying graduate residence buildings,Graduate residence inventory only; excludes undergraduate residence buildings and graduate resident advisers in them.,Exact useful component; incomplete university student housing total.
MIT,166683,,2024,residents,2957,withheld_source_conflict,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9–10,All Graduate Housing Occupancy; graduate students 2808; undergraduates 149,"October 15, 2024",Actual students in graduate residence buildings including Graduate Junction,Includes new Graduate Junction; excludes undergraduate residence buildings. Never add its undergraduates again to an all-undergraduate housing count.,2024 Table 1a reports 149 undergraduates but Tables 1b+1c sum to 148; combined total similarly differs by one.
MIT,166683,,2025,residents,2944,withheld_partial_population,mit_grad_occupancy_2025,https://studentlife.mit.edu/app/uploads/2026/03/AY25-GHAC-Annual-Update.pdf,59c95db2772a90f98b1348f2d182af04863f0cfc98bb229d23158d7808e55719,raw/mit_grad_occupancy_2025.pdf,2026-09-26T03:16:04.535762+00:00,9–10,All Graduate Housing Occupancy; graduate students 2839; undergraduates 105,"October 15, 2025",Actual students in graduate residence buildings including Graduate Junction,Includes new Graduate Junction; excludes undergraduate residence buildings. Never add its undergraduates again to an all-undergraduate housing count.,"Exact graduate-housing component, not all student housing."
MIT,166683,,2025,residents,4217,withheld_partial_population,boston_housing_2025,https://drive.google.com/uc?export=download&id=1prt-q_KNYCI7Ik0PQfyk-zRBrjTy5V7y,fc64d3d63853a4fd191e260283333f70713a568c4b34caf2670e5e0358f20ceb,raw/boston_housing_2025.pdf,2026-09-26T03:14:23.350337+00:00,14,"Full-time undergraduates: On-campus housing 3,512; University-managed housing 705",Fall 2025,Full-time undergraduate student residents,Boston municipal report includes the whole MIT institution; graduate students and any part-time undergraduate residents omitted from this table.,Undergraduate-only count cannot be used for all-student campus housing offense rates.
Harvard,166027,,2023,residents,6914,withheld_partial_population,harvard_town_gown_2025,https://www.cambridgema.gov/-/media/Files/CDD/Planning/TownGown/tg2025/harvarduniversitytowngownreport2025.pdf,5b0e3c9d7907b29c15a90e73875a1275016d0c288d1dca9e41807759af4f7d79,raw/harvard_town_gown_2025.pdf,2026-09-26T03:05:49.916463+00:00,16,Students Residing in Cambridge — Undergraduate students in dormitories and affiliate housing,Fall 2023,Actual student residents,"Cambridge only; excludes Allston, Longwood, Somerville and other sites. Undergraduate and graduate columns use different census seasons.",Known geographic and time mismatch; not a whole-Harvard population.
Harvard,166027,,2024,residents,2545,withheld_partial_population,harvard_town_gown_2025,https://www.cambridgema.gov/-/media/Files/CDD/Planning/TownGown/tg2025/harvarduniversitytowngownreport2025.pdf,5b0e3c9d7907b29c15a90e73875a1275016d0c288d1dca9e41807759af4f7d79,raw/harvard_town_gown_2025.pdf,2026-09-26T03:05:49.916463+00:00,16,Students Residing in Cambridge — Graduate students in dormitories and affiliate housing,Spring 2024,Actual student residents,"Cambridge only; excludes Allston, Longwood, Somerville and other sites. Undergraduate and graduate columns use different census seasons.",Known geographic and time mismatch; not a whole-Harvard population.
