year,measure,value,status,source_url,source_sha256,source_id,source_title,period_label,scope_note,source_page,unitid
2024,residents,14203,accepted_actual,https://studyinternational.com/wp-content/uploads/2026/03/2025-Stanford-Fact-Book_WEB.pdf,ad965bba67967cd78b95bbe8e89e3c993e226f46cb4422827337e9c7a5d42f17,stanford-facts2025-housing,Stanford Facts 2025 (university-authored; publisher-hosted copy),Autumn quarter 2024,"Arithmetic sum of 7,108 students in university-provided undergraduate housing and 7,095 in graduate housing, autumn quarter 2024. Actual students, not beds or rounded housing percentages. University housing footprint, including any provided off-campus housing, is not parcel-matched to Clery residential geography or overseas branches. Stanford-authored Facts 2025 recovered from StudyInternational mirror; the original university URL returns HTTP 404 after a site migration. Title, visible page 46 and counts corroborate indexed official version, but identical original bytes cannot be authenticated.",PDF48; printed46,243744
2025,residents,14042,accepted_actual,https://facts.stanford.edu/campus-life,892dd2c4a33f7cca7a7a55abb94364e61b6eba729ca050ec4f8441f26589926d,stanford-facts-current-housing,Stanford Facts: Student Life / Housing,Autumn quarter 2025,"Arithmetic sum of 6,727 students in university-provided undergraduate housing and 7,315 in graduate housing, autumn quarter 2025. Actual students, not available beds. University-provided housing may include subsidized off-campus properties; no claim of exact Clery parcel matching or overseas coverage. Snapshot is not an annual average or person-time.",Housing section,243744
2022,residents,3458,accepted_actual,https://www.cmu.edu/police/reports/fire-safety/2024asr.pdf,5bfdfb888d3b155505f373424323fa9b9dbd1ece311054ec04565f12d21b93ba,cmu-asr-housing-2022,Carnegie Mellon Annual Security and Fire Safety Report housing census (2024 edition),Fall 2022,"Pittsburgh undergraduates: University Housing 3,158 plus separately listed Fraternity & Sorority Housing 300. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF84; printed84,211440
2023,residents,3764,accepted_actual,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2023,Carnegie Mellon Annual Security and Fire Safety Report housing census (2026 edition),Fall 2023,"Pittsburgh undergraduates: University Housing 3,515 plus separately listed Fraternity & Sorority Housing 249. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81,211440
2024,residents,3988,accepted_actual,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,cmu-asr-housing-2024,Carnegie Mellon Annual Security and Fire Safety Report housing census (2026 edition),Fall 2024,"Pittsburgh undergraduates: University Housing 3,732 plus separately listed Fraternity & Sorority Housing 256. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81,211440
2022,residents,6255,accepted_actual,https://yaleedu.sharepoint.com/:b:/s/OIRPublic/ETh-cgP0JKxIjKWO0cCYYbMBWWRbAovpNlmyYUWeK9GRkA?e=oaddM8&download=1,8d7839f251567871886d0d09393f75825906f0d34b9d2e7f45c3c82197c9e918,yale-oir-w023-fall-2022,Yale Office of Institutional Research W023: Headcount of Students in University Housing,Fall 2022 (2022–23),"Student headcount in Yale University housing, including undergraduates and graduate/professional students. The with-partners-or-dependents column classifies student residents; it is not an added count of family members. Fall snapshot, not an annual average. The published housing census is not independently matched property by property to Clery residential geography. Current crime sources cover Main and West campuses; West reports zero residential core offenses for 2022–2024. No known omitted nonzero residential branch was identified. Use as a qualified institutional housing proxy, consistent with existing population-property alignment caveats.",PDF1–2 table; PDF3 reference date and notes,130794
2023,residents,6064,accepted_actual,https://yaleedu.sharepoint.com/:b:/s/OIRPublic/ETh-cgP0JKxIjKWO0cCYYbMBWWRbAovpNlmyYUWeK9GRkA?e=oaddM8&download=1,8d7839f251567871886d0d09393f75825906f0d34b9d2e7f45c3c82197c9e918,yale-oir-w023-fall-2023,Yale Office of Institutional Research W023: Headcount of Students in University Housing,Fall 2023 (2023–24),"Student headcount in Yale University housing, including undergraduates and graduate/professional students. The with-partners-or-dependents column classifies student residents; it is not an added count of family members. Fall snapshot, not an annual average. The published housing census is not independently matched property by property to Clery residential geography. Current crime sources cover Main and West campuses; West reports zero residential core offenses for 2022–2024. No known omitted nonzero residential branch was identified. Use as a qualified institutional housing proxy, consistent with existing population-property alignment caveats.",PDF1–2 table; PDF3 reference date and notes,130794
2024,residents,6011,accepted_actual,https://yaleedu.sharepoint.com/:b:/s/OIRPublic/ETh-cgP0JKxIjKWO0cCYYbMBWWRbAovpNlmyYUWeK9GRkA?e=oaddM8&download=1,8d7839f251567871886d0d09393f75825906f0d34b9d2e7f45c3c82197c9e918,yale-oir-w023-fall-2024,Yale Office of Institutional Research W023: Headcount of Students in University Housing,Fall 2024 (2024–25),"Student headcount in Yale University housing, including undergraduates and graduate/professional students. The with-partners-or-dependents column classifies student residents; it is not an added count of family members. Fall snapshot, not an annual average. The published housing census is not independently matched property by property to Clery residential geography. Current crime sources cover Main and West campuses; West reports zero residential core offenses for 2022–2024. No known omitted nonzero residential branch was identified. Use as a qualified institutional housing proxy, consistent with existing population-property alignment caveats.",PDF1–2 table; PDF3 reference date and notes,130794
2025,residents,6082,accepted_actual,https://yaleedu.sharepoint.com/:b:/s/OIRPublic/ETh-cgP0JKxIjKWO0cCYYbMBWWRbAovpNlmyYUWeK9GRkA?e=oaddM8&download=1,8d7839f251567871886d0d09393f75825906f0d34b9d2e7f45c3c82197c9e918,yale-oir-w023-fall-2025,Yale Office of Institutional Research W023: Headcount of Students in University Housing,Fall 2025 (2025–26),"Student headcount in Yale University housing, including undergraduates and graduate/professional students. The with-partners-or-dependents column classifies student residents; it is not an added count of family members. Fall snapshot, not an annual average. The published housing census is not independently matched property by property to Clery residential geography. Current crime sources cover Main and West campuses; West reports zero residential core offenses for 2022–2024. No known omitted nonzero residential branch was identified. Use as a qualified institutional housing proxy, consistent with existing population-property alignment caveats.",PDF1–2 table; PDF3 reference date and notes,130794
2023,residents,14137,accepted_actual,https://web.archive.org/web/20240414165344id_/https://facts.stanford.edu/wp-content/uploads/sites/20/2024/01/Stanford-FactBook2024_WEB.pdf,c622530f7b570d190ee2b374e7395aa15ae6b4777fa5649541610043bdb2f2d2,stanford-facts2024-archived-housing,Stanford Facts 2024 (archived original university PDF),Autumn quarter 2023,"Arithmetic sum of 7,207 students in university-provided undergraduate housing and 6,930 in graduate housing, autumn quarter 2023. Actual students, not beds or rounded percentages. University-provided housing footprint is not independently matched to Clery residential properties or overseas branches. The original university URL now returns HTTP 404; this complete university-authored PDF was recovered from an Internet Archive capture dated April 14, 2024. Its SHA-1 matches the archive capture index. This is a dated snapshot, not an annual mean or person-time.",PDF48; printed46,243744
