campus,report_year,geography,category,count,component_count,source_edition,interpretation
San Diego,2023,residential,criminal_total,16,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2023,oncampus,criminal_total,51,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2023,noncampus,criminal_total,11,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2023,publicproperty,criminal_total,5,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2024,residential,criminal_total,7,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2024,oncampus,criminal_total,46,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2024,noncampus,criminal_total,17,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2024,publicproperty,criminal_total,6,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2025,residential,criminal_total,24,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2025,oncampus,criminal_total,52,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2025,noncampus,criminal_total,9,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
San Diego,2025,publicproperty,criminal_total,10,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
Imperial Valley,2023,residential,criminal_total,0,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
Imperial Valley,2023,oncampus,criminal_total,0,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
Imperial Valley,2023,noncampus,criminal_total,0,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
Imperial Valley,2023,publicproperty,criminal_total,0,11,2026,"Sum of eleven criminal-offense categories; excludes VAWA, arrests, referrals, hate classifications and hazing. Housing is a subset, not added to on-campus."
