source_id,unitid,year,measure,value,status,period_label,source_url,source_title,source_sha256,hash_basis,scope_note,source_page
frozen-217156-2022-enrollment,217156,2022,enrollment,11189,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-217156-2023-enrollment,217156,2023,enrollment,11516,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-217156-2024-enrollment,217156,2024,enrollment,11956,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-110404-2022-enrollment,110404,2022,enrollment,2401,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-110404-2023-enrollment,110404,2023,enrollment,2463,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
frozen-110404-2024-enrollment,110404,2024,enrollment,2430,retained_actual,Fall 2024,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
cmu-asr-housing-2022,211440,2022,residents,3458,accepted_actual,Fall 2022,https://www.cmu.edu/police/reports/fire-safety/2024asr.pdf,Carnegie Mellon Annual Security and Fire Safety Report housing census (2024 edition),5bfdfb888d3b155505f373424323fa9b9dbd1ece311054ec04565f12d21b93ba,,"Pittsburgh undergraduates: University Housing 3,158 plus separately listed Fraternity & Sorority Housing 300. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF84; printed84
frozen-211440-2022-enrollment,211440,2022,enrollment,16002,retained_actual,Fall 2022,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
cmu-asr-housing-2023,211440,2023,residents,3764,accepted_actual,Fall 2023,https://www.cmu.edu/police/reports/fire-safety/2026-asr-final.pdf,Carnegie Mellon Annual Security and Fire Safety Report housing census (2026 edition),3d656606897993dc7a03b7d93909b479ceedb78bfee7eae6535bed21a059dbdf,,"Pittsburgh undergraduates: University Housing 3,515 plus separately listed Fraternity & Sorority Housing 249. These disjoint rows are actual student classifications in the fall census. Current CMU Housing office explicitly states on-campus housing is unavailable to graduate students. ASR definition includes fraternity/sorority houses in residential facilities; the source discusses the on-campus fraternity/sorority quad. University-managed off-campus housing and branch footprints are not independently parcel-matched. Other ASR branches show housing not applicable; this is a qualified institutional housing proxy, not an annual mean. The fall 2024 housing table labels its population as Pittsburgh, but its total equals the university-wide undergraduate enrollment across locations. That scope discrepancy remains unresolved. Fall 2025 housing cells are blank.",PDF81; printed81
frozen-211440-2023-enrollment,211440,2023,enrollment,15596,retained_actual,Fall 2023,https://nces.ed.gov/ipeds/use-the-data/download-access-database,Integrated Postsecondary Education Data System fall enrollment,5a4ac282c79e3e0a6d6fec478b24b6bae1c47d8350863d582314de39a01ef998,Preserved original dataset; raw population-source hashes and rows are in the original archive.,Institution-wide fall enrollment; not a housing population.,
