report_edition,report_year,institution_unitid,campus_id,campus,category,category_label,family,geography,count,raw_value,status,pdf_page,printed_page,source_line,source_url,source_sha256
2025,2022,110404,110404001,Main Campus,aggravated_assault,Aggravated assault,criminal_offenses,noncampus,0,0,reported_numeric,86,85,22,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,aggravated_assault,Aggravated assault,criminal_offenses,oncampus,0,0,reported_numeric,86,85,22,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,aggravated_assault,Aggravated assault,criminal_offenses,publicproperty,0,0,reported_numeric,86,85,22,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,aggravated_assault,Aggravated assault,criminal_offenses,residential,0,0,reported_numeric,86,85,22,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,arson,Arson,criminal_offenses,noncampus,0,0,reported_numeric,86,85,25,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,arson,Arson,criminal_offenses,oncampus,0,0,reported_numeric,86,85,25,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,arson,Arson,criminal_offenses,publicproperty,0,0,reported_numeric,86,85,25,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,arson,Arson,criminal_offenses,residential,0,0,reported_numeric,86,85,25,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,burglary,Burglary,criminal_offenses,noncampus,0,0,reported_numeric,86,85,23,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,burglary,Burglary,criminal_offenses,oncampus,6,6,reported_numeric,86,85,23,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,burglary,Burglary,criminal_offenses,publicproperty,0,0,reported_numeric,86,85,23,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,burglary,Burglary,criminal_offenses,residential,6,6,reported_numeric,86,85,23,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,dating_violence,Dating violence (VAWA),vawa,noncampus,0,0,reported_numeric,86,85,19,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,dating_violence,Dating violence (VAWA),vawa,oncampus,3,3,reported_numeric,86,85,19,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,dating_violence,Dating violence (VAWA),vawa,publicproperty,1,1,reported_numeric,86,85,19,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,dating_violence,Dating violence (VAWA),vawa,residential,2,2,reported_numeric,86,85,19,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,domestic_violence,Domestic violence (VAWA),vawa,noncampus,0,0,reported_numeric,86,85,18,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,domestic_violence,Domestic violence (VAWA),vawa,oncampus,0,0,reported_numeric,86,85,18,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,domestic_violence,Domestic violence (VAWA),vawa,publicproperty,0,0,reported_numeric,86,85,18,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,domestic_violence,Domestic violence (VAWA),vawa,residential,0,0,reported_numeric,86,85,18,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,fondling,Fondling,criminal_offenses,noncampus,0,0,reported_numeric,86,85,15,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,fondling,Fondling,criminal_offenses,oncampus,26,26,reported_numeric,86,85,15,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
2025,2022,110404,110404001,Main Campus,fondling,Fondling,criminal_offenses,publicproperty,0,0,reported_numeric,86,85,15,https://security.caltech.edu/documents/22533/2025ASR-F-HR.pdf#page=86,f096eeeeaaacec3cb454a5f86f55fb47b59c0dd801ff55c9d681f61c9e921f2a
