unitid,institution,period,category,measure,geography,reported_count,population_sum,years,rate_per_1000,source_editions,source_basis
217156,Brown,2022,criminal_total,residents,residential,30,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,criminal_total,enrollment,oncampus,59,11189,1,5.273036017517204,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,criminal_total,housingEnrollment,residential,30,11189,1,2.681204754669765,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,criminal_total,residents,residential,21,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,criminal_total,enrollment,oncampus,63,11516,1,5.470649531087183,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,criminal_total,housingEnrollment,residential,21,11516,1,1.8235498436957276,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,criminal_total,residents,residential,19,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,criminal_total,enrollment,oncampus,45,11956,1,3.7638006022080965,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,criminal_total,housingEnrollment,residential,19,11956,1,1.5891602542656407,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,criminal_total,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,criminal_total,enrollment,oncampus,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,criminal_total,housingEnrollment,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,criminal_total,residents,residential,70,,3,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,criminal_total,enrollment,oncampus,167,34661,3,4.818095265572257,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,criminal_total,housingEnrollment,residential,70,34661,3,2.019560889760826,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,rape,residents,residential,17,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,rape,enrollment,oncampus,21,11189,1,1.8768433282688355,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,rape,housingEnrollment,residential,17,11189,1,1.5193493609795334,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,rape,residents,residential,16,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,rape,enrollment,oncampus,20,11516,1,1.736714136853074,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,rape,housingEnrollment,residential,16,11516,1,1.3893713094824591,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,rape,residents,residential,9,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,rape,enrollment,oncampus,10,11956,1,0.8364001338240215,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,rape,housingEnrollment,residential,9,11956,1,0.7527601204416192,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,rape,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,rape,enrollment,oncampus,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,rape,housingEnrollment,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,rape,residents,residential,42,,3,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,rape,enrollment,oncampus,51,34661,3,1.4713943625400305,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,rape,housingEnrollment,residential,42,34661,3,1.2117365338564958,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,fondling,residents,residential,8,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,fondling,enrollment,oncampus,11,11189,1,0.9831084100455805,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2022,fondling,housingEnrollment,residential,8,11189,1,0.714987934578604,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,fondling,residents,residential,2,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,fondling,enrollment,oncampus,12,11516,1,1.0420284821118444,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2023,fondling,housingEnrollment,residential,2,11516,1,0.1736714136853074,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,fondling,residents,residential,2,,1,,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,fondling,enrollment,oncampus,2,11956,1,0.16728002676480427,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2024,fondling,housingEnrollment,residential,2,11956,1,0.16728002676480427,2025,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,fondling,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,fondling,enrollment,oncampus,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,2025,fondling,housingEnrollment,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
217156,Brown,pooled,fondling,residents,residential,12,,3,,2025,Institutional reports checked 2026-09-25; cell-specific editions
