unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,2022,enrollment,criminal_total,oncampus,enrollment,59,11189,1,5.273036017517204,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,criminal_total,oncampus,enrollment,63,11516,1,5.470649531087183,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,criminal_total,oncampus,enrollment,45,11956,1,3.7638006022080965,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,criminal_total,residential,enrollment,30,11189,1,2.681204754669765,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,criminal_total,residential,enrollment,21,11516,1,1.8235498436957276,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,criminal_total,residential,enrollment,19,11956,1,1.5891602542656407,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,criminal_total,residential,residents,30,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,criminal_total,residential,residents,21,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,criminal_total,residential,residents,19,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,rape,oncampus,enrollment,21,11189,1,1.8768433282688355,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,rape,oncampus,enrollment,20,11516,1,1.736714136853074,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,rape,oncampus,enrollment,10,11956,1,0.8364001338240215,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,rape,residential,enrollment,17,11189,1,1.5193493609795334,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,rape,residential,enrollment,16,11516,1,1.3893713094824591,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,rape,residential,enrollment,9,11956,1,0.7527601204416192,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,rape,residential,residents,17,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,rape,residential,residents,16,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,rape,residential,residents,9,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,fondling,oncampus,enrollment,11,11189,1,0.9831084100455805,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,fondling,oncampus,enrollment,12,11516,1,1.0420284821118444,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,fondling,oncampus,enrollment,2,11956,1,0.16728002676480427,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,fondling,residential,enrollment,8,11189,1,0.714987934578604,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,fondling,residential,enrollment,2,11516,1,0.1736714136853074,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,fondling,residential,enrollment,2,11956,1,0.16728002676480427,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,fondling,residential,residents,8,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,fondling,residential,residents,2,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,fondling,residential,residents,2,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,incest,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,incest,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,incest,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,incest,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,incest,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,incest,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,incest,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,statutory_rape,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,statutory_rape,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,statutory_rape,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,statutory_rape,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,statutory_rape,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,statutory_rape,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,murder,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,murder,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,murder,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,murder,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,murder,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,murder,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,negligent_manslaughter,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,negligent_manslaughter,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,negligent_manslaughter,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
