cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
UC,UC Berkeley,110635,110635001,University of California-Berkeley,00131200,Main Campus,1 Sproul Hall,Berkeley,CA,947201199,21140,24742,45882,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Berkeley,110635,110635003,University of California-Berkeley,00131200,University of California Washington Center,1608 Rhode Island Ave. NW,Washington,DC,20036,21140,24742,45882,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Davis,110644,110644001,University of California-Davis,00131300,Main Campus,One Shields Avenue,DAVIS,CA,956168678,16798,23267,40065,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Davis,110644,110644002,University of California-Davis,00131300,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,16798,23267,40065,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Irvine,110653,110653001,University of California-Irvine,00131400,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,16711,20586,37297,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Irvine,110653,110653002,University of California-Irvine,00131400,UCI Medical Center,101 The City Drive,Orange,CA,92868,16711,20586,37297,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UCLA,110662,110662001,University of California-Los Angeles,00131500,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,20430,26905,47335,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Merced,445188,445188001,University of California-Merced,04127100,"University of California, Merced",5200 North Lake Road,Merced,CA,95343,5012,4098,9110,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Riverside,110671,110671001,University of California-Riverside,00131600,Main Campus,900 University Avenue,Riverside,CA,92521,12810,13574,26384,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Riverside,110671,110671002,University of California-Riverside,00131600,UCR Palm Desert Center,75080 Frank Sinatra Drive,Palm Desert,CA,92211,12810,13574,26384,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Diego,110680,110680001,University of California-San Diego,00131700,UC San Diego,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,20975,23281,44256,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Francisco,110699,110699001,University of California-San Francisco,00131900,Main Campus - Parnassus Heights,500 Parnassus Ave,San Francisco,CA,941430402,1100,1907,3007,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Francisco,110699,110699002,University of California-San Francisco,00131900,Mission Bay,550 16th St,San Francisco,CA,941430402,1100,1907,3007,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Francisco,110699,110699003,University of California-San Francisco,00131900,Mount Zion,1600 Divisadero St,San Francisco,CA,941430402,1100,1907,3007,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Francisco,110699,110699004,University of California-San Francisco,00131900,UCSF Benioff Children's Hospital - Oakland,747 52nd St,Oakland,CA,94609,1100,1907,3007,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC San Francisco,110699,110699005,University of California-San Francisco,00131900,UCSF Fresno,155 N Fresno St,Fresno,CA,93701,1100,1907,3007,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Santa Barbara,110705,110705001,University of California-Santa Barbara,00132000,University of California Santa Barbara,552 University Road,SANTA BARBARA,CA,93106,11366,14767,26133,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
UC,UC Santa Cruz,110714,110714001,University of California-Santa Cruz,00132100,UC Santa Cruz,1156 HIGH ST,SANTA CRUZ,CA,95064,9544,10394,19938,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Brown,217156,217156001,Brown University,00340100,Main Campus,Prospect Street,PROVIDENCE,RI,02912,5703,6253,11956,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150001,Columbia University in the City of New York,00270700,Morningside Campus,535 West 116th Street,New York,NY,10027,15887,19286,35173,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150002,Columbia University in the City of New York,00270700,Medical Center Campus,622 West 168th Street,New York,NY,10032,15887,19286,35173,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Ivy League,Columbia,190150,190150004,Columbia University in the City of New York,00270700,Lamont-Doherty Earth Observatory,61 Route 9W,Palisades,NY,10964,15887,19286,35173,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
