unitid,opeid,label,year,academic_year,fall_enrollment_auditor,actual_student_housing_occupancy,denominator_type,source_table,printed_page,pdf_page,source_url,source_agency,source_report,geographic_match_status,geography_warning,time_warning,numerator_warning,capacity_used
110635,00131200,UC Berkeley,2022,2022-23,45307,9695,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2023,2023-24,45699,9905,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2024,2024-25,45882,10862,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2022,2022-23,39679,13608,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2023,2023-24,39707,14081,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2024,2024-25,40065,15024,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110653,00131400,UC Irvine,2022,2022-23,35937,16455,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110653,00131400,UC Irvine,2023,2023-24,36582,17675,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110653,00131400,UC Irvine,2024,2024-25,37297,17695,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110662,00131500,UCLA,2022,2022-23,46430,22519,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
