unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,pooled,enrollment,criminal_total,oncampus,enrollment,167,34661,3,4.818095265572257,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,criminal_total,residential,enrollment,70,34661,3,2.019560889760826,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,criminal_total,residential,residents,70,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,rape,oncampus,enrollment,51,34661,3,1.4713943625400305,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,rape,residential,enrollment,42,34661,3,1.2117365338564958,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,rape,residential,residents,42,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,fondling,oncampus,enrollment,25,34661,3,0.7212717463431523,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,fondling,residential,enrollment,12,34661,3,0.3462104382447131,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,fondling,residential,residents,12,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,incest,oncampus,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,incest,residential,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,incest,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,statutory_rape,oncampus,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,statutory_rape,residential,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,statutory_rape,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,murder,oncampus,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,murder,residential,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,murder,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,negligent_manslaughter,oncampus,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,negligent_manslaughter,residential,enrollment,0,34661,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,negligent_manslaughter,residential,residents,0,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
