institution,campus_id,report_year,offense,geography,federal_collection,federal_count,asr_edition,asr_count,difference_asr_minus_federal,federal_workbook,federal_field,asr_pdf_page,asr_url,interpretation
UC San Diego,110680001,2022,Rape,housing,2025,12,2025,12,0,Residencehallcrime222324.xls,RAPE22,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2023,Rape,housing,2025,11,2025,11,0,Residencehallcrime222324.xls,RAPE23,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2024,Rape,housing,2025,20,2025,20,0,Residencehallcrime222324.xls,RAPE24,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2022,Rape,housing,2025,24,2025,24,0,Residencehallcrime222324.xls,RAPE22,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2023,Rape,housing,2025,21,2025,21,0,Residencehallcrime222324.xls,RAPE23,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2024,Rape,housing,2025,38,2025,38,0,Residencehallcrime222324.xls,RAPE24,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2022,Rape,housing,2025,9,2025,9,0,Residencehallcrime222324.xls,RAPE22,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2023,Rape,housing,2025,7,2025,7,0,Residencehallcrime222324.xls,RAPE23,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2024,Rape,housing,2025,1,2025,1,0,Residencehallcrime222324.xls,RAPE24,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2022,Rape,on_campus,2025,14,2025,15,1,Oncampuscrime222324.xls,RAPE22,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2023,Rape,on_campus,2025,19,2025,19,0,Oncampuscrime222324.xls,RAPE23,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2024,Rape,on_campus,2025,28,2025,28,0,Oncampuscrime222324.xls,RAPE24,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2022,Rape,on_campus,2025,25,2025,25,0,Oncampuscrime222324.xls,RAPE22,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2023,Rape,on_campus,2025,24,2025,24,0,Oncampuscrime222324.xls,RAPE23,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2024,Rape,on_campus,2025,46,2025,46,0,Oncampuscrime222324.xls,RAPE24,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2022,Rape,on_campus,2025,12,2025,12,0,Oncampuscrime222324.xls,RAPE22,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2023,Rape,on_campus,2025,11,2025,11,0,Oncampuscrime222324.xls,RAPE23,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2024,Rape,on_campus,2025,1,2025,1,0,Oncampuscrime222324.xls,RAPE24,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2022,Rape,noncampus,2025,4,2025,5,1,Noncampuscrime222324.xls,RAPE22,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2023,Rape,noncampus,2025,8,2025,8,0,Noncampuscrime222324.xls,RAPE23,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2024,Rape,noncampus,2025,7,2025,7,0,Noncampuscrime222324.xls,RAPE24,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2022,Rape,noncampus,2025,0,2025,0,0,Noncampuscrime222324.xls,RAPE22,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2023,Rape,noncampus,2025,2,2025,2,0,Noncampuscrime222324.xls,RAPE23,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2024,Rape,noncampus,2025,0,2025,0,0,Noncampuscrime222324.xls,RAPE24,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2022,Rape,noncampus,2025,1,2025,1,0,Noncampuscrime222324.xls,RAPE22,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2023,Rape,noncampus,2025,2,2025,2,0,Noncampuscrime222324.xls,RAPE23,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
San Diego State main campus,122409001,2024,Rape,noncampus,2025,2,2025,2,0,Noncampuscrime222324.xls,RAPE24,7,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2022,Rape,public_property,2025,1,2025,1,0,Publicpropertycrime222324.xls,RAPE22,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2023,Rape,public_property,2025,0,2025,0,0,Publicpropertycrime222324.xls,RAPE23,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC San Diego,110680001,2024,Rape,public_property,2025,0,2025,0,0,Publicpropertycrime222324.xls,RAPE24,142,https://www.police.ucsd.edu/docs/annualclery.pdf,Source-specific values retained; revision chronology not established.
UC Santa Cruz,110714001,2022,Rape,public_property,2025,0,2025,0,0,Publicpropertycrime222324.xls,RAPE22,12,https://bpb-us-w2.wpmucdn.com/wordpress.ucsc.edu/dist/d/120/files/2025/09/2025-UC-Santa-Cruz-ASFSR_online-3.pdf,Source-specific values retained; revision chronology not established.
