collection_year,year,unitid,campus_id,institution_label,cohort,branch,family,geography,offense_code,offense_label,count,raw_source_value,source_year_filter,status,source_file,source_sheet_row,source_column,applicability_status,count_for_sum,api_survey_year,api_no_housing_declaration,api_source_url,api_source_sha256
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,arrests,residential_facilities,DRUG,Drug law violations,0,0,1,reported_numeric,Residencehallarrest222324.xls,431,DRUG24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,arrests,residential_facilities,LIQUOR,Liquor law violations,0,0,1,reported_numeric,Residencehallarrest222324.xls,431,LIQUOR24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,arrests,residential_facilities,WEAPON,Weapons law violations,0,0,1,reported_numeric,Residencehallarrest222324.xls,431,WEAPON24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,AGG_A,Aggravated assault,1,1,1,reported_numeric,Residencehallcrime222324.xls,431,AGG_A24,reported_numeric,1,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,ARSON,Arson,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,ARSON24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,BURGLA,Burglary,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,BURGLA24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,FONDL,Fondling,3,3,1,reported_numeric,Residencehallcrime222324.xls,431,FONDL24,reported_numeric,3,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,INCES,Incest,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,INCES24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,MURD,Murder/nonnegligent manslaughter,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,MURD24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,NEG_M,Negligent manslaughter,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,NEG_M24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,RAPE,Rape,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,RAPE24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,ROBBE,Robbery,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,ROBBE24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
2025,2024,110404,110404001,Caltech,Additional private,Main Campus,criminal_offenses,residential_facilities,STATR,Statutory rape,0,0,1,reported_numeric,Residencehallcrime222324.xls,431,STATR24,reported_numeric,0,2024,False,https://ope.ed.gov/campussafety/api/campus/110404001,df0af68d94557787ef565460675c1b8884154c4c3a920189caee33216b26e708
