UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,MURD23,NEG_M23,RAPE23,FONDL23,INCES23,STATR23,ROBBE23,AGG_A23,BURGLA23,VEHIC23,ARSON23,MURD24,NEG_M24,RAPE24,FONDL24,INCES24,STATR24,ROBBE24,AGG_A24,BURGLA24,VEHIC24,ARSON24,FILTER22,FILTER23,FILTER24
110404001,California Institute of Technology,00113100  ,Main Campus,1200 E CALIFORNIA BLVD.,PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1459,971,2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110635001,University of California-Berkeley,00131200  ,Main Campus,1 Sproul Hall,Berkeley,CA,947201199,1,"Public, 4-year or above",21140,24742,45882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110635003,University of California-Berkeley,00131200  ,University of California Washington Center,1608 Rhode Island Ave. NW,Washington,DC,20036,1,"Public, 4-year or above",21140,24742,45882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110644001,University of California-Davis,00131300  ,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",16798,23267,40065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110644002,University of California-Davis,00131300  ,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,1,"Public, 4-year or above",16798,23267,40065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110653001,University of California-Irvine,00131400  ,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",16711,20586,37297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110653002,University of California-Irvine,00131400  ,UCI Medical Center,101 The City Drive,Orange,CA,92868,1,"Public, 4-year or above",16711,20586,37297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110662001,University of California-Los Angeles,00131500  ,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,1,"Public, 4-year or above",20430,26905,47335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110671001,University of California-Riverside,00131600  ,Main Campus,900 University Avenue,Riverside,CA,92521,1,"Public, 4-year or above",12810,13574,26384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110671002,University of California-Riverside,00131600  ,UCR Palm Desert Center,75080 Frank Sinatra Drive,Palm Desert,CA,92211,1,"Public, 4-year or above",12810,13574,26384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110680001,University of California-San Diego,00131700  ,UC San Diego,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",20975,23281,44256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110699001,University of California-San Francisco,00131900  ,Main Campus - Parnassus Heights,500 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1100,1907,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110699002,University of California-San Francisco,00131900  ,Mission Bay,550 16th St,San Francisco,CA,941430402,1,"Public, 4-year or above",1100,1907,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110699003,University of California-San Francisco,00131900  ,Mount Zion,1600 Divisadero St,San Francisco,CA,941430402,1,"Public, 4-year or above",1100,1907,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110699004,University of California-San Francisco,00131900  ,UCSF Benioff Children's Hospital - Oakland,747 52nd St,Oakland,CA,94609,1,"Public, 4-year or above",1100,1907,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110699005,University of California-San Francisco,00131900  ,UCSF Fresno,155 N Fresno St,Fresno,CA,93701,1,"Public, 4-year or above",1100,1907,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110705001,University of California-Santa Barbara,00132000  ,University of California Santa Barbara,552 University Road,SANTA BARBARA,CA,93106,1,"Public, 4-year or above",11366,14767,26133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
110714001,University of California-Santa Cruz,00132100  ,UC Santa Cruz,1156 HIGH ST,SANTA CRUZ,CA,95064,1,"Public, 4-year or above",9544,10394,19938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
122409001,San Diego State University,00115100  ,Main Campus,5500 CAMPANILE DR,SAN DIEGO,CA,921828210,1,"Public, 4-year or above",17570,23567,41137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
122409002,San Diego State University,00115100  ,Imperial Valley Campus,720 HEBER AVE,CALEXICO,CA,92231,1,"Public, 4-year or above",17570,23567,41137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
122409003,San Diego State University,00115100  ,San Diego State University Georgia,"5 Kostava Street, 3rd floor",Tbilisi,,0108,1,"Public, 4-year or above",17570,23567,41137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
123961001,University of Southern California,00132800  ,University Park Campus,University Park,Los Angeles,CA,900895012,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
