unitid,label,ipeds_fall2024_headcount,clery2025_single_enrollment_field,difference,interpretation
110635,UC Berkeley,45882,45882,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110644,UC Davis,40065,40065,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110653,UC Irvine,37297,37297,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110662,UCLA,47335,47335,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
445188,UC Merced,9110,9110,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110671,UC Riverside,26384,26384,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110680,UC San Diego,44256,44256,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110699,UC San Francisco,3007,3007,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110705,UC Santa Barbara,26133,26133,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110714,UC Santa Cruz,19938,19938,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
217156,Brown,11956,11956,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
190150,Columbia,35173,35173,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
190415,Cornell,26793,26793,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
182670,Dartmouth,6938,6938,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
166027,Harvard,30259,30259,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
215062,Pennsylvania,29109,29109,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
186131,Princeton,9137,9137,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
130794,Yale,15564,15564,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
122409,San Diego State,41137,41137,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
139755,Georgia Tech,53363,53363,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
145637,Illinois Urbana-Champaign,59238,59238,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
170976,Michigan Ann Arbor,52855,52855,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
199120,North Carolina Chapel Hill,32438,32438,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
204796,Ohio State Columbus,61443,61443,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
214777,Penn State University Park,50737,50737,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
228778,Texas Austin,53864,53864,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
134130,Florida,56311,56311,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
234076,Virginia,26409,26409,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
236948,Washington Seattle,56997,56997,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
240444,Wisconsin Madison,51044,51044,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
110404,Caltech,2430,2430,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
211440,Carnegie Mellon,15888,15888,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
144050,Chicago,18566,18566,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
198419,Duke,17499,17499,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
131496,Georgetown,20031,20031,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
162928,Johns Hopkins,30210,30210,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
166683,MIT,11886,11886,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
147767,Northwestern,23856,23856,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
152080,Notre Dame,13042,13042,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
193900,NYU,56832,56832,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
243744,Stanford,18625,18625,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
123961,USC,46566,46566,0,Numerical cross-check only; federal crime export does not identify the enrollment vintage in its field label.
