cohort,label,unitid,institution_name,opeid,campus_count_2025_file,campus_ids,enrollment_total_single_bulk_field,enrollment_note,unitid_mapping_note,campus_scope_note
UC,UC Berkeley,110635,University of California-Berkeley,00131200,2,110635001;110635003,45882,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Davis,110644,University of California-Davis,00131300,2,110644001;110644002,40065,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Irvine,110653,University of California-Irvine,00131400,2,110653001;110653002,37297,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UCLA,110662,University of California-Los Angeles,00131500,1,110662001,47335,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Merced,445188,University of California-Merced,04127100,1,445188001,9110,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Riverside,110671,University of California-Riverside,00131600,2,110671001;110671002,26384,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC San Diego,110680,University of California-San Diego,00131700,1,110680001,44256,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC San Francisco,110699,University of California-San Francisco,00131900,5,110699001;110699002;110699003;110699004;110699005,3007,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Santa Barbara,110705,University of California-Santa Barbara,00132000,1,110705001,26133,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
UC,UC Santa Cruz,110714,University of California-Santa Cruz,00132100,1,110714001,19938,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Brown,217156,Brown University,00340100,1,217156001,11956,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Columbia,190150,Columbia University in the City of New York,00270700,7,190150001;190150002;190150004;190150005;190150006;190150007;190150008,35173,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Cornell,190415,Cornell University,00271100,3,190415001;190415002;190415003,26793,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Dartmouth,182670,Dartmouth College,00257300,2,182670001;182670002,6938,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Harvard,166027,Harvard University,00215500,7,166027001;166027002;166027003;166027004;166027006;166027008;166027009,30259,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Pennsylvania,215062,University of Pennsylvania,00337800,6,215062001;215062003;215062004;215062005;215062006;215062007,29109,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Princeton,186131,Princeton University,00262700,2,186131001;186131002,9137,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Ivy League,Yale,130794,Yale University,00142600,2,130794001;130794002,15564,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,San Diego State,122409,San Diego State University,00115100,3,122409001;122409002;122409003,41137,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Georgia Tech,139755,Georgia Institute of Technology-Main Campus,00156900,4,139755001;139755002;139755003;139755004,53363,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Illinois Urbana-Champaign,145637,University of Illinois Urbana-Champaign,00177500,2,145637001;145637003,59238,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Michigan Ann Arbor,170976,University of Michigan-Ann Arbor,00232500,1,170976001,52855,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,North Carolina Chapel Hill,199120,University of North Carolina at Chapel Hill,00297400,3,199120001;199120002;199120003,32438,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Ohio State Columbus,204796,Ohio State University-Main Campus,00309000,1,204796001,61443,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Penn State University Park,214777,Pennsylvania State University-Main Campus,00332900,3,214777001;214777002;214777003,50737,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Texas Austin,228778,The University of Texas at Austin,00365800,7,228778001;228778002;228778003;228778005;228778007;228778010;228778011,53864,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
Additional public,Florida,134130,University of Florida,00153500,37,134130001;134130002;134130003;134130005;134130006;134130008;134130009;134130010;134130011;134130012;134130013;134130014;134130015;134130017;134130018;134130019;134130020;134130021;134130022;134130023;134130024;134130025;134130026;134130027;134130028;134130029;134130030;134130031;134130032;134130033;134130034;134130035;134130036;134130037;134130038;134130039;134130040,56311,Single institution-level triplet repeated across branches; enrollment vintage not stated in codebook; not denominator,Derived by removing last3digits from UNITID_P; validate against IPEDS HD/OPEID,"All federal branches preserved, including medical/foreign branches; housing subset must be explicitly matched"
