unitid,opeid,cohort,label,institution_name,year,fall_headcount_total,undergraduate_headcount,graduate_headcount,full_time_headcount,part_time_headcount,fall_fte,distance_exclusive_headcount,distance_some_headcount,distance_none_headcount,not_exclusively_distance_headcount,distance_exclusive_share,distance_count_derivation,total_imputation_flag,distance_exclusive_imputation_flag,enrollment_release,source_file,source_member,source_variable,source_url,denominator_scope,residential_population,calendar_alignment,geography_warning
110635,00131200,UC,UC Berkeley,University of California-Berkeley,2022,45307,32479,12828,41022,4285,42641,1628,8346,35333,43679,0.03593263734080827,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110644,00131300,UC,UC Davis,University of California-Davis,2022,39679,31532,8147,38072,1607,38689,380,3603,35696,39299,0.009576854255399581,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110653,00131400,UC,UC Irvine,University of California-Irvine,2022,35937,28662,7275,34733,1204,35199,552,12275,23110,35385,0.015360213707321145,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110662,00131500,UC,UCLA,University of California-Los Angeles,2022,46430,32423,14007,44390,2040,45155,644,5842,39944,45786,0.013870342451001508,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
445188,04127100,UC,UC Merced,University of California-Merced,2022,9103,8343,760,8957,146,9016,0,1215,7888,9103,0.0,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110671,00131600,UC,UC Riverside,University of California-Riverside,2022,26809,22911,3898,25556,1253,26049,323,8430,18056,26486,0.012048192771084338,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110680,00131700,UC,UC San Diego,University of California-San Diego,2022,42006,33096,8910,40252,1754,40927,89,5826,36091,41917,0.0021187449411988763,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110699,00131900,UC,UC San Francisco,University of California-San Francisco,2022,3140,0,3140,3140,0,3140,21,1136,1983,3119,0.006687898089171975,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110705,00132000,UC,UC Santa Barbara,University of California-Santa Barbara,2022,26420,23459,2961,25514,906,25870,11,3029,23380,26409,0.00041635124905374716,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
110714,00132100,UC,UC Santa Cruz,University of California-Santa Cruz,2022,19478,17502,1976,18646,832,18979,182,5257,14039,19296,0.009343875141184926,Reported counts,R,R,final_revised,EF2022A.zip,ef2022a_rv.csv,EFTOTLT where EFALEVEL=1,https://nces.ed.gov/ipeds/datacenter/data/EF2022A.zip,IPEDS institution-wide fall snapshot; all levels and attendance statuses,False,Calendar-year y reported offenses / fall-y enrollment snapshot; not person-time,Enrollment does not establish physical presence on each Clery property; includes remote students and institutional locations.
