cohort,label,unitid,institution_name_ipeds,institution_name_clery,opeid,city,state,hospital_hd_code,medical_school_hd_code,campus_count_clery,unitid_and_opeid_match_verified,scope
UC,UC Berkeley,110635,University of California-Berkeley,University of California-Berkeley,00131200,Berkeley,CA,2,2,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Davis,110644,University of California-Davis,University of California-Davis,00131300,Davis,CA,1,1,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Irvine,110653,University of California-Irvine,University of California-Irvine,00131400,Irvine,CA,1,1,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UCLA,110662,University of California-Los Angeles,University of California-Los Angeles,00131500,Los Angeles,CA,1,1,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Merced,445188,University of California-Merced,University of California-Merced,04127100,Merced,CA,2,2,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Riverside,110671,University of California-Riverside,University of California-Riverside,00131600,Riverside,CA,1,1,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC San Diego,110680,University of California-San Diego,University of California-San Diego,00131700,La Jolla,CA,1,1,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC San Francisco,110699,University of California-San Francisco,University of California-San Francisco,00131900,San Francisco,CA,1,1,5,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Santa Barbara,110705,University of California-Santa Barbara,University of California-Santa Barbara,00132000,Santa Barbara,CA,2,2,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
UC,UC Santa Cruz,110714,University of California-Santa Cruz,University of California-Santa Cruz,00132100,Santa Cruz,CA,2,2,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Brown,217156,Brown University,Brown University,00340100,Providence,RI,2,1,1,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Columbia,190150,Columbia University in the City of New York,Columbia University in the City of New York,00270700,New York,NY,2,1,7,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Cornell,190415,Cornell University,Cornell University,00271100,Ithaca,NY,2,1,3,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Dartmouth,182670,Dartmouth College,Dartmouth College,00257300,Hanover,NH,2,1,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Harvard,166027,Harvard University,Harvard University,00215500,Cambridge,MA,2,1,7,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Pennsylvania,215062,University of Pennsylvania,University of Pennsylvania,00337800,Philadelphia,PA,1,1,6,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Princeton,186131,Princeton University,Princeton University,00262700,Princeton,NJ,2,2,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Ivy League,Yale,130794,Yale University,Yale University,00142600,New Haven,CT,2,1,2,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Additional public,San Diego State,122409,San Diego State University,San Diego State University,00115100,San Diego,CA,2,2,3,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
Additional public,Georgia Tech,139755,Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus,00156900,Atlanta,GA,2,2,4,True,IPEDS institutional reporting unit; Clery branch alignment separately qualified
