unitid,opeid,label,year,academic_year,fall_enrollment_auditor,actual_student_housing_occupancy,denominator_type,source_table,printed_page,pdf_page,source_url,source_agency,source_report,geographic_match_status,geography_warning,time_warning,numerator_warning,capacity_used
110635,00131200,UC Berkeley,2019,2019-20,43185,9275,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2020,2020-21,42327,3296,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2021,2021-22,45036,9264,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2022,2022-23,45307,9695,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2023,2023-24,45699,9905,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110635,00131200,UC Berkeley,2024,2024-25,45882,10862,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2019,2019-20,38634,10848,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2020,2020-21,39074,5926,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2021,2021-22,40050,14080,actual enrolled-student housing occupancy,A.1,56,62,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
110644,00131300,UC Davis,2022,2022-23,39679,13608,actual enrolled-student housing occupancy,A.1,57,63,https://www.auditor.ca.gov/wp-content/uploads/2025/10/2024-111-Report.pdf,California State Auditor,2024-111 (October 2025),approximate_unverified,Auditor campus-housing inventory has not been matched property by property to Clery on-campus student-housing boundaries or branch campuses.,Fall/academic-year occupancy snapshot; not annual resident person-time.,Clery residential counts are reported offenses on covered housing property; victims need not be enrolled residents.,False
