unitid,label,year,actual_student_housing_occupancy,status,reason
110635,UC Berkeley,2022,9695,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110635,UC Berkeley,2023,9905,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110635,UC Berkeley,2024,10862,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110644,UC Davis,2022,13608,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110644,UC Davis,2023,14081,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110644,UC Davis,2024,15024,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110653,UC Irvine,2022,16455,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110653,UC Irvine,2023,17675,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110653,UC Irvine,2024,17695,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110662,UCLA,2022,22519,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110662,UCLA,2023,23680,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110662,UCLA,2024,24202,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
445188,UC Merced,2022,4086,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
445188,UC Merced,2023,4179,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
445188,UC Merced,2024,4077,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110671,UC Riverside,2022,8493,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110671,UC Riverside,2023,8428,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110671,UC Riverside,2024,8465,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
110680,UC San Diego,2022,17906,actual_occupancy_found_geography_unverified,Actual occupants documented; Clery property correspondence not established.
