violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),other,11364,11364,0,all|drug,drug: explicit HS numeric statute family 11364,20605,20334,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11364.
HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),other,11377(A),11377,0,all|drug,drug: explicit HS numeric statute family 11377,16729,16599,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11377.
PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,7763,7763,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),other,11350(A),11350,0,all|drug,drug: explicit HS numeric statute family 11350,6678,6632,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11350.
PC,978.5,FELONY BENCH WARRANT (OUR AGENCY),other,978.5,978.5,0,all,All-source population only; outside the selected statute-family indicators,6641,6601,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=978.5.
ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,other,OUTWARRANT,,0,all,All-source population only; outside the selected statute-family indicators,6201,6177,
VC,23152A,DUI ALCOHOL (M),other,23152A,23152,0,all|driving,driving: explicit VC numeric statute family 23152,6163,6161,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,other,OUTWARRANT,,0,all,All-source population only; outside the selected statute-family indicators,6134,6121,
HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),other,11550(A),11550,0,all|drug,drug: explicit HS numeric statute family 11550,5791,5774,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11550.
PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),core_dv,243(E)(1),243,0,all|core,Core DV: existing reviewed exact charge classification,5746,5746,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
VC,23152B,DUI ALC/0.08 PERCENT (M),other,23152B,23152,0,all|driving,driving: explicit VC numeric statute family 23152,5445,5444,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),core_dv,273.5A,273.5,0,all|core,Core DV: existing reviewed exact charge classification,5300,5300,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
