Violation Type,Violation Section,Violation Description,tier,dv_subtype,classification_reason,row_count,event_count,rows_2018_2023,rows_2024,rows_2025
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,2399,2381,1960.0,272.0,167.0
PC,243A,BATTERY ON PERSON (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,2336,2315,1810.0,331.0,195.0
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER (M),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,1611,1601,1330.0,167.0,114.0
PC,211,ROBBERY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,1354,1327,1095.0,188.0,71.0
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,1030,1022,774.0,164.0,92.0
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,1001,997,830.0,99.0,72.0
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER (M),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,918,918,691.0,138.0,89.0
PC,273A(A),WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",723,723,723.0,0.0,0.0
PC,242,SIMPLE BATTERY (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,644,643,524.0,67.0,53.0
PC,273A(B),WILLFUL CRUELTY TO CHILD NO GBI (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",549,546,427.0,56.0,66.0
PC,243D,BATTERY W/SER BODILY INJURY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,538,526,435.0,72.0,31.0
PC,368(B)(1),CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",492,491,318.0,123.0,51.0
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",464,452,289.0,101.0,74.0
PC,236,FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,344,343,288.0,34.0,22.0
PC,591.5,OBSTRUCT USE OF ANY WIRELESS COMMUNICATION DEVICE (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,335,335,249.0,52.0,34.0
PC,368(B)(1),LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",332,332,331.0,1.0,0.0
PC,368C,ELDER ABUSE/NEGLECT (M),ambiguous_review,child_or_elder_abuse,"May occur within family, but charge alone does not identify relationship or intimate-partner violence.",325,325,229.0,54.0,42.0
PC,245A2,ADW:ASSAULT WITH FIREARM ON PERS (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,245,244,188.0,41.0,16.0
PC,21510(B),CARRY SWITCHBLADE KNIFE ON PERSON (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,228,228,194.0,24.0,10.0
PC,243B,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,211,211,168.0,32.0,11.0
PC,207(A),KIDNAPPING (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,169,166,140.0,21.0,8.0
PC,236,FALSE IMPRISONMENT (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,168,168,130.0,26.0,12.0
PC,21510(A),POSSESS SWITCHBLADE IN VEHICLE (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,166,166,140.0,14.0,12.0
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,159,155,111.0,30.0,18.0
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH MINOR INJURY (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,126,126,101.0,19.0,6.0
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,122,120,68.0,37.0,17.0
PC,187A,MURDER (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,118,118,104.0,8.0,6.0
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (F),ambiguous_review,potential_interpersonal_offense,General offense may involve DV but does not identify relationship. Exclude from DV count without qualifying co-charge.,116,116,88.0,19.0,9.0
PC,646.9(B),STALKING:TEMPORARY RESTRAINING ORDER (F),ambiguous_review,court_order_or_stalking,Relationship not identified; do not count as DV absent other qualifying charge on same event.,111,111,92.0,16.0,3.0
