area_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
CITY OF VISTA,18911,1722,373,2060,31790,0.091058114324996
NON-CONTRACT CITY,15686,388,181,555,24053,0.0247354328700752
RANCHO SAN DIEGO UNINC,11646,1599,331,1897,18758,0.1373003606388459
CITY OF SAN MARCOS,9826,1126,177,1279,16354,0.114593934459597
CITY OF SANTEE,8763,694,183,869,13948,0.0791966221613602
LAKESIDE,8205,1165,284,1422,13122,0.141986593540524
CITY OF ENCINITAS,7737,504,82,569,11913,0.065141527723924
CITY OF LEMON GROVE,6292,514,114,610,9747,0.0816910362364907
COURT SERVICES,5809,245,483,701,7310,0.0421759338956791
FALLBROOK,5441,739,112,844,8240,0.1358206212093365
ALPINE,5404,428,69,484,9353,0.07920059215396
DETENTION FACILITY,5366,59,54,107,7160,0.0109951546775997
CITY OF IMPERIAL BEACH,5098,570,110,667,7433,0.1118085523734798
VALLEY CENTER,4594,541,74,605,7512,0.1177622986504135
CITY OF POWAY,3971,352,62,408,6746,0.0886426592797784
RAMONA,3230,504,63,561,4977,0.1560371517027863
SAN MARCOS UNINC,1423,291,48,330,2258,0.2044975404075896
VISTA UNINC,1399,214,35,244,2170,0.1529664045746962
CAMPO,1280,112,23,133,1819,0.0875
PINE VALLEY,1059,82,14,93,1672,0.0774315391879131
CITY OF SOLANA BEACH,926,95,7,101,1401,0.1025917926565874
IMPERIAL BEACH UNINC,892,146,22,167,1339,0.163677130044843
,595,17,13,28,892,0.0285714285714285
CITY OF DEL MAR,593,39,11,50,869,0.0657672849915683
RANCHITA,552,93,20,108,884,0.1684782608695652
NORTH COASTAL UNINC,524,70,9,77,853,0.1335877862595419
MULTIPLE/CONFLICTING,296,5,3,8,1003,0.0168918918918918
4S RANCH,265,83,12,95,373,0.3132075471698113
JULIAN,178,48,5,52,277,0.2696629213483146
COUNTY ADMINISTRATION CENTER,169,5,1,6,236,0.029585798816568
POWAY UNINC,54,7,1,8,84,0.1296296296296296
LAKESIDE SUBSTATION,22,3,1,4,31,0.1363636363636363
FALLBROOK SUBSTATION,17,6,1,7,29,0.3529411764705882
GROSSMONT COLLEGE,17,3,0,3,21,0.1764705882352941
CUYAMACA COLLEGE,15,1,0,1,23,0.0666666666666666
ALPINE SUBSTATION,15,1,0,1,19,0.0666666666666666
VALLEY CENTER SUBSTATION,9,2,0,2,22,0.2222222222222222
RAMONA SUBSTATION,8,2,0,2,10,0.25
CAMPO SUBSTATION,6,1,0,1,8,0.1666666666666666
LEMON GROVE,6,1,0,1,15,0.1666666666666666
4S RANCH SUBSTATION,3,0,0,0,3,0.0
POWAY,3,0,0,0,3,0.0
PINE VALLEY SUBSTATION,2,0,0,0,2,0.0
RANCHITA SUBSTATION,2,1,0,1,5,0.5
JULIAN SUBSTATION,1,0,0,0,1,0.0
DESCANSO,1,0,0,0,1,0.0
TECATE,1,0,0,0,1,0.0
SPRING VALLEY,1,0,0,0,1,0.0
