Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA (M),other,MISDEMEANOR,20605,20334
HS,11377(A),POSSESS CONTROLLED SUBSTANCE (M),other,MISDEMEANOR,16729,16599
PC,647(F)DK,"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",other,MISDEMEANOR,7763,7763
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS (M),other,MISDEMEANOR,6678,6632
PC,978.5,FELONY BENCH WARRANT (OUR AGENCY),other,FELONY,6641,6601
ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,other,FELONY,6201,6177
VC,23152A,DUI ALCOHOL (M),other,MISDEMEANOR,6163,6161
ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,other,MISDEMEANOR,6134,6121
HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS (M),other,MISDEMEANOR,5791,5774
PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),core_dv,MISDEMEANOR,5746,5746
VC,23152B,DUI ALC/0.08 PERCENT (M),other,MISDEMEANOR,5445,5444
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),core_dv,FELONY,5300,5300
PC,978.5,MISDEMEANOR BENCH WARRANT (OUR AGENCY),other,MISDEMEANOR,4991,4970
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT (M),other,MISDEMEANOR,4147,4139
PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH (M),other,MISDEMEANOR,3745,3723
PC,594(B)(1),VANDALISM ($400 OR MORE) (F),other,FELONY,2665,2655
PC,459.5,SHOPLIFTING (M),other,MISDEMEANOR,2497,2461
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),ambiguous_related,FELONY,2399,2381
HS,11378,POSS CONTROLLED SUBS FOR SALE (F),other,FELONY,2351,2311
PC,3056,VIOLATION PAROLE:FELONY,other,FELONY,2337,2333
PC,243A,BATTERY ON PERSON (M),ambiguous_related,MISDEMEANOR,2336,2315
PC,496D(A),POSS STOLEN VEH/VESSEL (F),other,FELONY,2187,2151
PC,273.6(A),VIOLATE DOMESTIC RELATIONS COURT ORDER (M),dv_labeled_order,MISDEMEANOR,1959,1959
PC,647(F)DK,DISORD CONDUCT:ALC (M),other,MISDEMEANOR,1865,1847
PC,182(A)(1),CONSPIRACY:COMMIT CRIME (F),other,FELONY,1758,1609
HS,11351,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE (F),other,FELONY,1708,1679
VC,10851(A),TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),other,FELONY,1663,1638
PC,166(A)(4),CONTEMPT OF COURT:DISOBEY COURT ORDER (M),ambiguous_related,MISDEMEANOR,1611,1601
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC (M),other,MISDEMEANOR,1396,1396
HS,11379(A),TRANS/ETC CONTROLLED SUBS (F),other,FELONY,1375,1342
PC,530.5(A),GET CREDIT/ETC OTHER'S ID (F),other,FELONY,1356,1333
PC,211,ROBBERY (F),ambiguous_related,FELONY,1354,1327
PC,459,BURGLARY (COMMERCIAL) (F),other,FELONY,1353,1318
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),core_dv,FELONY,1202,1202
HS,11352(A),TRANS/SELL NARCOTIC/CONTROLLED SUBS (F),other,FELONY,1163,1137
PC,459,BURGLARY (RESIDENTIAL) (F),other,FELONY,1143,1123
VC,14601.2(A),DRIV W/LIC SUSP/REV W/PRIOR DUI CONV (M),other,MISDEMEANOR,1142,1142
PC,466,POSS BURGLARY TOOLS (M),other,MISDEMEANOR,1078,1053
VC,14601.1(A),DRVG WHILE LIC SUSP OR REVOKED:OTHER REASONS (M),other,MISDEMEANOR,1075,1075
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (F),ambiguous_related,FELONY,1030,1022
PC,29800(A)(1),FELON/ADDICT/POSSESS/ETC FIREARM (F),other,FELONY,1004,996
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (F),ambiguous_related,FELONY,1001,997
PC,30305(A)(1),PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),other,FELONY,999,993
PC,594(B)(2)(A),VANDALISM [$400 OR LESS] (M),other,MISDEMEANOR,959,957
VC,10851(A),OTHER AGENCY VEHICLE THEFT/RECOVERY (F),other,FELONY,936,936
PC,166(C)(1),CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER (M),ambiguous_related,MISDEMEANOR,918,918
PC,69,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),other,FELONY,918,918
PC,488,PETTY THEFT(Shoplift) (M),other,MISDEMEANOR,899,890
PC,273.6(A),VIOLATE DOMESTIC VIOLENCE COURT ORDER (M),dv_labeled_order,MISDEMEANOR,859,859
PC,647(F)DK,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),other,MISDEMEANOR,840,819
PC,21310,CARRY CONCEALED DIRK OR DAGGER (F),other,FELONY,832,832
VC,20002(A),HIT AND RUN:PROP DAMAGE (M),other,MISDEMEANOR,823,823
VC,23152(F),DUI DRUG (M),other,MISDEMEANOR,823,823
VC,4000(A)(1),EXPIRED REGISTRATION (I),other,INFRACTION,809,809
PC,3455,PRCS VIOLATION,other,MISDEMEANOR,782,780
PC,273A(A),WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F),ambiguous_related,FELONY,723,723
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY (F),other,FELONY,679,662
VC,23578,EXCESSIVE BLOOD ALC OR REFUSAL TO TAKE CHEMICAL TESTING: ENHANCED PENALTIES (I),other,INFRACTION,657,657
PC,242,SIMPLE BATTERY (M),ambiguous_related,MISDEMEANOR,644,643
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY [$950 OR LESS] (M),other,MISDEMEANOR,637,634
VC,4462.5,UNLAWFUL DISPLAY OF REG:INTENT NON-COMPLIANCE (M),other,MISDEMEANOR,621,621
VC,2800.2(A),EVADE PEACE OFCR WITH WANTON DISREGARD FOR SAFETY (F),other,FELONY,586,586
