city_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
VISTA,19315,1727,377,2069,32310,0.08941237380274399
SHERIFF (administrative label),13355,829,609,1401,18529,0.06207412953949831
SAN MARCOS,9883,1126,178,1280,16400,0.11393301629060001
SANTEE,8757,690,184,866,13941,0.07879410757108599
SPRING VALLEY,7784,1118,244,1336,12124,0.14362795477903392
ENCINITAS,7690,498,83,564,11814,0.06475942782834851
LEMON GROVE,6291,516,114,612,9741,0.08202193609918931
LAKESIDE,5412,756,169,908,8701,0.13968957871396895
SAN DIEGO,5307,146,75,214,8325,0.027510834746561144
IMPERIAL BEACH,5086,568,109,664,7422,0.11167911915060952
FALLBROOK,4570,620,99,712,6850,0.13566739606126915
OCEANSIDE,4420,46,18,63,5936,0.010407239819004524
ALPINE,4033,264,41,297,7127,0.06545995536821225
POWAY,4003,355,61,410,6797,0.08868348738446165
EL CAJON UNINC,3483,504,108,603,5508,0.14470284237726097
RAMONA,2979,452,57,504,4551,0.15172876804296745
VALLEY CENTER,2579,274,37,308,4205,0.10624272974020939
ESCONDIDO,2381,88,35,120,3576,0.036959260814783707
EL CAJON,2097,140,70,204,3292,0.06676204101096805
JAMUL,1376,74,21,93,2411,0.05377906976744186
VISTA UNINC,1117,188,30,213,1706,0.1683079677708147
PALA,1081,131,21,147,1774,0.1211840888066605
CHULA VISTA,995,32,9,40,1740,0.032160804020100506
SOUTH BAY,987,9,4,12,1927,0.00911854103343465
SOLANA BEACH,928,96,6,101,1404,0.10344827586206896
LA MESA UNINC,861,138,19,154,1398,0.1602787456445993
ESCONDIDO UNINC,836,189,27,209,1280,0.22607655502392343
CARLSBAD,727,20,13,32,1078,0.027510316368638238
DEL MAR,605,40,13,53,911,0.06611570247933884
PAUMA VALLEY,574,74,13,86,880,0.1289198606271777
BONITA,517,99,11,109,799,0.19148936170212766
PINE VALLEY,508,13,2,14,842,0.025590551181102362
BONSALL,411,55,7,62,610,0.13381995133819952
CAMPO,382,67,13,78,528,0.17539267015706805
NATIONAL CITY,378,15,2,17,586,0.03968253968253968
MULTIPLE/CONFLICTING,362,6,3,9,1283,0.016574585635359115
LA MESA,359,29,6,34,602,0.0807799442896936
TECATE,345,18,5,23,435,0.05217391304347826
BOULEVARD,343,27,7,33,525,0.07871720116618076
DULZURA,321,20,4,24,483,0.06230529595015576
BORREGO SPRINGS,287,50,15,60,462,0.17421602787456447
4S RANCH,190,59,10,69,276,0.3105263157894737
SAN MARCOS UNIN,189,43,3,46,305,0.2275132275132275
RANCHO SANTA FE,187,45,4,48,259,0.24064171122994651
CAMP PENDLETON,183,28,5,32,256,0.15300546448087432
JULIAN,183,47,5,51,283,0.2568306010928962
LINCOLN ACRES,148,23,6,29,230,0.1554054054054054
OTAY,111,6,0,6,159,0.05405405405405406
WARNER SPRINGS,96,21,1,22,151,0.21875
JACUMBA,87,16,3,19,129,0.1839080459770115
TEMECULA,74,4,1,5,139,0.05405405405405406
CARDIFF BY THE SEA,70,3,0,3,115,0.04285714285714286
SAN YSIDRO,66,3,0,3,129,0.045454545454545456
DESCANSO,62,13,2,14,95,0.20967741935483872
SAN CLEMENTE,56,2,0,2,137,0.03571428571428571
SANTA YSABEL,48,9,1,10,73,0.1875
RANCHITA,40,6,2,8,54,0.15
SAN YSABEL,38,3,1,4,58,0.07894736842105263
UNKNOWN/UNREPORTED,48,5,5,9,62,0.10416666666666667
CORONADO,36,0,0,0,56,0.0
LOS ANGELES,32,1,1,1,48,0.03125
RIVERSIDE,29,0,1,1,35,0.0
MURRIETA,27,2,0,2,37,0.07407407407407407
POTRERO,21,4,0,4,37,0.19047619047619047
POWAY UNINC,19,4,1,5,26,0.21052631578947367
OTHER/UNVERIFIED LOCALITY LABEL,341,4,5,8,456,0.011730205278592375
SAN MARCOS UNINC,18,4,0,4,30,0.2222222222222222
HEMET,16,0,0,0,22,0.0
PALOMAR MOUNTAIN,14,9,0,9,24,0.6428571428571429
SANTA ANA,14,0,0,0,23,0.0
LAS VEGAS,12,0,0,0,16,0.0
SAN BERNARDINO,12,0,0,0,15,0.0
LAKE ELSINORE,11,0,1,1,15,0.0
SAN JUAN CAPISTRANO,10,0,0,0,18,0.0
LA JOLLA,10,0,0,0,17,0.0
EL CENTRO,9,0,1,1,13,0.0
GUATAY,9,5,0,5,10,0.5555555555555556
PERRIS,7,1,0,1,9,0.14285714285714285
SAN JACINTO,7,0,0,0,7,0.0
ALISO VIEJO,6,0,0,0,16,0.0
PHOENIX,6,0,0,0,7,0.0
CHINO,5,0,0,0,13,0.0
SUN CITY,5,0,0,0,7,0.0
SACRAMENTO,5,0,0,0,8,0.0
LYNWOOD,5,0,0,0,14,0.0
MORENO VALLEY,4,0,0,0,9,0.0
DOWNEY,4,0,0,0,4,0.0
LONG BEACH,4,1,0,1,8,0.25
ORANGE,4,0,0,0,4,0.0
FONTANA,4,0,0,0,4,0.0
MOUNT LAGUNA,3,0,0,0,4,0.0
ENCINITAS UNINC,2,0,0,0,5,0.0
OTAY MESA,1,0,0,0,1,0.0
