Command,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
VISTA,20218,1932,406,2298,33773,0.0955584132950835
LEMON GROVE,17884,2107,444,2500,28427,0.1178148065309774
SANTEE,16965,1860,466,2291,27067,0.1096374889478337
NON-CONTRACT CITIES,15625,386,178,550,23945,0.024704
SAN MARCOS,11215,1416,224,1607,18541,0.1262594739188586
ENCINITAS,9744,706,109,795,14972,0.0724548440065681
IMPERIAL BEACH,5967,713,131,830,8739,0.1194905312552371
COURT SERVICES,5798,245,483,701,7298,0.0422559503276992
FALLBROOK,5438,739,111,843,8237,0.1358955498344979
ALPINE,5402,427,69,483,9351,0.0790447982228804
DETENTION FACILITIES,5332,59,54,107,7105,0.0110652663165791
VALLEY CENTER,4593,541,74,605,7509,0.1177879381667755
POWAY,4010,358,63,415,6798,0.0892768079800498
RAMONA,3229,504,63,561,4976,0.1560854753793744
RURAL ENFORCEMENT,3069,335,62,386,4652,0.1091560768980123
,1269,62,26,86,1997,0.0488573680063041
MULTIPLE/CONFLICTING,290,5,3,8,981,0.0172413793103448
4S RANCH,265,83,12,95,373,0.3132075471698113
