recorded_hour,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
0,5175,683,87,763,8623,0.1319806763285024
1,4686,671,90,746,7993,0.1431924882629108
10,7992,406,151,540,12204,0.0508008008008008
11,7510,482,157,625,11413,0.0641810918774966
12,7729,506,191,674,11723,0.0654677189804631
13,7547,514,214,708,11208,0.0681065323969789
14,7394,441,124,554,11333,0.0596429537462807
15,7357,502,141,637,11306,0.0682343346472747
16,6464,508,131,620,10104,0.078589108910891
17,5628,526,117,631,8850,0.0934612651030561
18,4854,536,91,621,7565,0.1104243922538112
19,6272,691,141,822,9910,0.110172193877551
2,3884,487,50,529,6607,0.1253861997940267
20,6535,767,138,892,10527,0.1173680183626625
21,6533,870,134,986,10682,0.1331700596969233
22,6351,981,98,1065,10458,0.1544638639584317
23,6208,845,125,951,10283,0.1361146907216494
3,2849,385,43,423,4748,0.1351351351351351
4,1929,249,31,274,3153,0.1290824261275272
5,1278,168,29,195,2183,0.1314553990610328
6,1554,156,29,181,2502,0.1003861003861003
7,3720,234,67,293,5786,0.0629032258064516
8,8525,440,429,850,12224,0.0516129032258064
9,8035,429,168,578,12092,0.0533914125700062
MULTIPLE/CONFLICTING,304,1,2,3,1264,0.0032894736842105
