month,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018-07,2044,188,60,243,3088,0.0919765166340508
2018-08,2178,161,42,198,3320,0.073921028466483
2018-09,2139,175,37,207,3223,0.0818139317438055
2018-10,2057,151,42,187,3081,0.0734078755469129
2018-11,1837,153,42,190,2755,0.0832879695155144
2018-12,1836,160,32,190,2800,0.0871459694989106
2019-01,2008,173,46,214,3093,0.0861553784860557
2019-02,1752,142,25,164,2751,0.0810502283105022
2019-03,2167,160,34,191,3380,0.0738347946469773
2019-04,2061,150,36,182,3086,0.0727802037845705
2019-05,2094,150,31,176,3129,0.0716332378223495
2019-06,2102,178,39,206,3154,0.0846812559467174
2019-07,2255,179,44,218,3502,0.0793791574279379
2019-08,2322,167,38,202,3499,0.0719207579672696
2019-09,2207,164,58,214,3234,0.0743090167648391
2019-10,2132,168,27,192,3172,0.0787992495309568
2019-11,1778,145,26,169,2698,0.0815523059617547
2019-12,1844,171,36,203,2805,0.0927331887201735
2020-01,2156,161,58,212,3309,0.0746753246753246
2020-02,1991,151,45,195,2998,0.0758412857860371
2020-03,1461,156,29,183,2239,0.1067761806981519
2020-04,1083,132,30,159,1538,0.1218836565096952
2020-05,1346,151,48,193,2141,0.1121842496285289
2020-06,1268,142,40,176,1907,0.11198738170347
2020-07,1435,154,31,181,2328,0.1073170731707317
2020-08,1621,168,34,199,2712,0.1036397285626156
2020-09,1616,154,34,185,2676,0.0952970297029703
2020-10,1677,158,45,197,2721,0.0942158616577221
2020-11,1516,141,31,168,2490,0.0930079155672823
2020-12,1418,170,41,206,2247,0.1198871650211565
2021-01,1534,169,33,197,2417,0.1101694915254237
2021-02,1433,123,34,153,2336,0.0858339148639218
2021-03,1593,153,46,193,2563,0.096045197740113
2021-04,1630,153,46,195,2620,0.0938650306748466
2021-05,1687,163,59,217,2687,0.0966212211025489
2021-06,1642,176,33,206,2565,0.1071863580998782
2021-07,1731,172,50,218,2701,0.0993645291738879
2021-08,1634,154,56,203,2600,0.0942472460220318
2021-09,1580,155,44,199,2463,0.0981012658227848
2021-10,1618,166,55,219,2556,0.1025957972805933
2021-11,1459,133,35,165,2317,0.0911583276216586
2021-12,1476,158,30,186,2333,0.1070460704607046
2022-01,1408,114,31,143,2232,0.080965909090909
2022-02,1447,122,43,161,2267,0.0843123704215618
2022-03,1619,140,32,168,2577,0.086473131562693
2022-04,1517,117,42,153,2386,0.077125906394199
2022-05,1571,123,51,172,2571,0.0782940802036919
2022-06,1491,140,42,180,2316,0.0938967136150234
2022-07,1601,182,39,219,2423,0.1136789506558401
2022-08,1643,152,31,181,2514,0.0925136944613511
2022-09,1618,180,43,220,2392,0.111248454882571
2022-10,1534,136,35,170,2401,0.0886571056062581
2022-11,1404,145,40,182,2161,0.1032763532763532
2022-12,1459,123,35,155,2375,0.0843043180260452
2023-01,1430,140,28,166,2247,0.0979020979020979
2023-02,1291,108,36,144,2015,0.0836560805577072
2023-03,1477,157,34,185,2314,0.1062965470548408
2023-04,1416,134,32,163,2199,0.0946327683615819
2023-05,1510,163,30,189,2364,0.1079470198675496
2023-06,1551,128,29,152,2465,0.0825274016763378
2023-07,1558,164,28,188,2441,0.1052631578947368
2023-08,1627,148,33,177,2413,0.0909649661954517
2023-09,1675,141,32,170,2624,0.0841791044776119
2023-10,1687,139,29,166,2630,0.0823947836395969
2023-11,1436,124,41,162,2284,0.0863509749303621
2023-12,1431,136,24,157,2301,0.0950384346610761
2024-01,1524,121,30,150,2559,0.0793963254593175
2024-02,1285,120,25,142,2181,0.0933852140077821
2024-03,1453,130,26,153,2450,0.0894700619408121
2024-04,1461,123,25,145,2416,0.0841889117043121
2024-05,1561,155,26,177,2647,0.0992953235105701
2024-06,1404,107,25,132,2200,0.0762108262108262
2024-07,1581,150,32,180,2600,0.0948766603415559
2024-08,1570,141,23,162,2524,0.0898089171974522
2024-09,1490,131,29,156,2551,0.0879194630872483
2024-10,1395,130,22,151,2264,0.0931899641577061
2024-11,1199,128,28,154,1878,0.1067556296914095
2024-12,1181,138,19,154,1921,0.1168501270110076
2025-01,42,4,2,6,71,0.0952380952380952
2025-02,31,0,1,1,41,0.0
2025-03,33,2,1,3,43,0.0606060606060606
2025-04,19,0,1,1,26,0.0
2025-05,12,0,0,0,17,0.0
2025-06,570,55,13,67,953,0.0964912280701754
2025-07,1353,126,25,149,2278,0.0931263858093126
2025-08,1289,161,26,184,2222,0.1249030256012412
2025-09,1266,144,20,163,2052,0.1137440758293838
2025-10,1284,141,23,160,2136,0.1098130841121495
2025-11,1195,160,15,171,2074,0.1338912133891213
2025-12,1175,107,17,124,2062,0.091063829787234
MULTIPLE/CONFLICTING,121,0,2,2,429,0.0
