Race,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
WHITE,63394,5328,1411,6599,97012,0.0840458087516168
HISPANIC,49061,4759,1036,5694,79000,0.0970016917714681
BLACK,14383,1449,319,1728,21328,0.1007439338107488
OTHER ASIAN,1798,256,32,287,2716,0.1423804226918798
MULTIPLE/CONFLICTING,1637,4,7,11,5632,0.0024434941967012
OTHER,1319,132,40,170,1985,0.1000758150113722
MIDDLE EASTERN,1197,188,45,229,1765,0.1570593149540518
INDIAN,1195,111,30,139,1787,0.0928870292887029
FILIPINO,831,78,23,98,1251,0.0938628158844765
PACIFIC ISLANDER,301,40,3,43,442,0.132890365448505
AMERICAN INDIAN,221,16,5,21,341,0.0723981900452488
SAMOAN,213,16,4,19,347,0.0751173708920187
HAWAIIAN,166,19,3,21,250,0.1144578313253012
VIETNAMESE,154,14,3,17,246,0.0909090909090909
ASIAN INDIAN,95,30,0,30,130,0.3157894736842105
,65,5,0,5,95,0.0769230769230769
CHINESE,57,16,0,16,70,0.2807017543859649
GUAMANIAN,53,3,1,4,92,0.0566037735849056
LAOTIAN,43,0,5,5,73,0.0
EAST AFRICAN,33,2,0,2,47,0.0606060606060606
KOREAN,32,7,7,14,41,0.21875
CAMBODIAN,30,1,2,3,39,0.0333333333333333
JAPANESE,19,2,0,2,27,0.1052631578947368
Unknown,15,2,2,4,24,0.1333333333333333
Not Reported,1,0,0,0,1,0.0
