year,Charge Level,charge_rows,distinct_source_ids
2018,FELONY,5569,4118
2018,INFRACTION,457,390
2018,MISDEMEANOR,12267,9107
2019,FELONY,11987,8727
2019,INFRACTION,758,645
2019,MISDEMEANOR,24907,18310
2020,FELONY,10101,7105
2020,INFRACTION,582,470
2020,MISDEMEANOR,18659,13414
2021,FELONY,11708,8348
2021,INFRACTION,445,363
2021,MISDEMEANOR,18027,12755
2022,FELONY,11149,7975
2022,INFRACTION,489,392
2022,MISDEMEANOR,16996,12228
2023,FELONY,9910,7157
2023,INFRACTION,582,456
2023,MISDEMEANOR,17827,12706
2024,FEL,366,242
2024,FELONY,9021,6335
2024,INF,18,15
2024,INFRACTION,534,409
2024,MIS,509,348
2024,MISDEMEANOR,17405,11764
2024,NOF,22,21
2024,OTH,12,12
2024,OTHER,392,367
2025,FELONY,4612,3185
2025,INFRACTION,477,384
2025,MISDEMEANOR,8744,5862
2025,OTHER,209,191
