year,city_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018,OTHER/UNVERIFIED LOCALITY LABEL,30,1,0,1,41,0.03333333333333333
2018,4S RANCH,21,8,0,8,34,0.38095238095238093
2018,ALPINE,342,30,6,36,590,0.08771929824561403
2018,BONITA,47,7,2,9,65,0.14893617021276595
2018,BONSALL,24,4,0,4,36,0.16666666666666666
2018,BORREGO SPRINGS,20,6,0,6,38,0.3
2018,BOULEVARD,46,1,5,5,77,0.021739130434782608
2018,CAMP PENDLETON,23,3,1,3,38,0.13043478260869565
2018,CAMPO,35,8,0,8,47,0.22857142857142856
2018,CARDIFF BY THE SEA,2,0,0,0,5,0.0
2018,CARLSBAD,54,2,2,3,76,0.037037037037037035
2018,CHULA VISTA,113,1,0,1,174,0.008849557522123894
2018,CORONADO,4,0,0,0,4,0.0
2018,DEL MAR,85,7,5,12,116,0.08235294117647059
2018,DESCANSO,16,2,0,2,28,0.125
2018,DOWNEY,2,0,0,0,2,0.0
2018,DULZURA,22,1,0,1,32,0.045454545454545456
2018,EL CAJON,199,6,5,11,301,0.03015075376884422
2018,EL CAJON UNINC,434,51,12,61,671,0.1175115207373272
2018,ENCINITAS,652,39,14,51,1020,0.0598159509202454
2018,ESCONDIDO,112,8,1,9,180,0.07142857142857142
2018,ESCONDIDO UNINC,61,20,4,24,104,0.32786885245901637
2018,FALLBROOK,398,66,6,72,592,0.1658291457286432
2018,HEMET,1,0,0,0,1,0.0
2018,IMPERIAL BEACH,530,48,12,60,684,0.09056603773584905
2018,JACUMBA,3,0,1,1,3,0.0
2018,JAMUL,88,2,2,4,178,0.022727272727272728
2018,JULIAN,19,5,2,6,30,0.2631578947368421
2018,LA MESA,40,2,1,3,63,0.05
2018,LA MESA UNINC,77,7,1,8,118,0.09090909090909091
2018,LAKESIDE,573,61,16,74,893,0.10645724258289703
2018,LEMON GROVE,492,35,6,40,691,0.07113821138211382
2018,LINCOLN ACRES,14,3,1,4,18,0.21428571428571427
2018,LOS ANGELES,6,0,0,0,16,0.0
2018,MULTIPLE/CONFLICTING,28,1,0,1,80,0.03571428571428571
2018,MURRIETA,4,0,0,0,6,0.0
2018,NATIONAL CITY,54,0,1,1,66,0.0
2018,OCEANSIDE,223,2,0,2,301,0.008968609865470852
2018,ORANGE,1,0,0,0,1,0.0
2018,OTAY,5,0,0,0,8,0.0
2018,PALA,137,11,4,14,229,0.08029197080291971
2018,PAUMA VALLEY,60,6,0,6,107,0.1
