year,Command,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018,,68,0,0,0,109,0.0
2018,4S RANCH,25,9,0,9,40,0.36
2018,ALPINE,487,42,9,50,817,0.0862422997946611
2018,COURT SERVICES,366,19,33,48,477,0.0519125683060109
2018,DETENTION FACILITIES,765,19,7,23,891,0.0248366013071895
2018,ENCINITAS,877,64,21,82,1348,0.072976054732041
2018,FALLBROOK,421,70,6,76,627,0.166270783847981
2018,IMPERIAL BEACH,600,57,16,73,778,0.095
2018,LEMON GROVE,1431,137,24,159,2173,0.0957372466806429
2018,MULTIPLE/CONFLICTING,28,1,0,1,79,0.0357142857142857
2018,NON-CONTRACT CITIES,1319,26,10,35,1990,0.0197119029567854
2018,POWAY,294,28,6,34,434,0.0952380952380952
2018,RAMONA,291,39,3,41,432,0.134020618556701
2018,RURAL ENFORCEMENT,271,26,8,32,429,0.0959409594095941
2018,SAN MARCOS,915,100,24,123,1464,0.1092896174863388
2018,SANTEE,1775,150,41,187,2766,0.0845070422535211
2018,VALLEY CENTER,487,39,7,44,810,0.0800821355236139
2018,VISTA,1672,162,40,198,2606,0.09688995215311
2019,,138,3,1,4,207,0.0217391304347826
2019,4S RANCH,59,11,1,12,82,0.1864406779661017
2019,ALPINE,1023,65,11,75,1810,0.0635386119257087
2019,COURT SERVICES,870,49,53,98,1089,0.0563218390804597
2019,DETENTION FACILITIES,1508,9,11,19,1877,0.0059681697612732
2019,ENCINITAS,1528,103,14,113,2268,0.0674083769633507
2019,FALLBROOK,942,110,19,125,1455,0.1167728237791932
2019,IMPERIAL BEACH,981,91,14,104,1347,0.0927624872579001
2019,LEMON GROVE,3602,351,79,416,5488,0.0974458634092171
2019,MULTIPLE/CONFLICTING,68,1,0,1,203,0.0147058823529411
2019,NON-CONTRACT CITIES,2629,68,46,110,3846,0.0258653480410802
2019,POWAY,653,52,8,60,1112,0.0796324655436447
2019,RAMONA,627,81,10,89,951,0.1291866028708134
2019,RURAL ENFORCEMENT,558,59,10,68,859,0.1057347670250896
2019,SAN MARCOS,1642,193,30,218,2578,0.1175395858708891
2019,SANTEE,3311,297,61,352,5260,0.0897009966777408
2019,VALLEY CENTER,914,93,14,106,1487,0.1017505470459518
2019,VISTA,3707,311,58,361,5692,0.0838953331534933
2020,,101,4,2,6,157,0.0396039603960396
2020,4S RANCH,35,7,2,9,56,0.2
2020,ALPINE,1213,59,11,67,2207,0.0486397361912613
2020,COURT SERVICES,533,40,65,104,667,0.075046904315197
2020,DETENTION FACILITIES,869,7,9,15,1172,0.0080552359033371
2020,ENCINITAS,1243,102,19,119,1886,0.082059533386967
2020,FALLBROOK,793,104,18,122,1100,0.1311475409836065
2020,IMPERIAL BEACH,849,86,17,102,1255,0.1012956419316843
2020,LEMON GROVE,2446,321,73,384,3742,0.1312346688470973
2020,MULTIPLE/CONFLICTING,25,0,0,0,82,0.0
2020,NON-CONTRACT CITIES,1537,47,24,69,2502,0.0305790500975927
2020,POWAY,537,55,8,60,847,0.1024208566108007
2020,RAMONA,505,71,12,83,736,0.1405940594059406
2020,RURAL ENFORCEMENT,606,65,16,76,963,0.1072607260726072
2020,SAN MARCOS,1545,217,33,242,2601,0.1404530744336569
2020,SANTEE,2614,289,91,375,4192,0.1105585309869931
2020,VALLEY CENTER,639,74,12,85,1057,0.1158059467918622
2020,VISTA,2499,290,54,336,4090,0.1160464185674269
2021,,107,1,4,4,143,0.0093457943925233
2021,4S RANCH,37,16,5,21,50,0.4324324324324324
2021,ALPINE,1007,64,9,72,1869,0.0635551142005958
2021,COURT SERVICES,967,70,137,198,1188,0.0723888314374353
2021,DETENTION FACILITIES,563,5,13,18,768,0.0088809946714031
2021,ENCINITAS,1281,112,11,122,1956,0.087431693989071
2021,FALLBROOK,850,106,17,121,1253,0.1247058823529411
2021,IMPERIAL BEACH,874,116,22,134,1333,0.1327231121281464
2021,LEMON GROVE,2622,344,85,420,4142,0.1311975591151792
2021,MULTIPLE/CONFLICTING,33,2,1,3,98,0.0606060606060606
2021,NON-CONTRACT CITIES,1877,47,26,72,3040,0.0250399573787959
2021,POWAY,484,44,4,48,861,0.0909090909090909
2021,RAMONA,452,69,7,76,712,0.1526548672566371
2021,RURAL ENFORCEMENT,491,50,9,58,742,0.1018329938900203
2021,SAN MARCOS,1562,193,22,214,2608,0.1235595390524968
2021,SANTEE,2397,281,70,345,3957,0.1172298706716729
2021,VALLEY CENTER,665,91,12,101,980,0.1368421052631579
2021,VISTA,2749,264,67,324,4460,0.0960349217897417
2022,,97,3,1,4,153,0.0309278350515463
2022,4S RANCH,33,15,3,18,42,0.4545454545454545
2022,ALPINE,574,54,5,59,962,0.0940766550522648
2022,COURT SERVICES,1019,29,100,126,1310,0.028459273797841
2022,DETENTION FACILITIES,540,4,4,8,774,0.0074074074074074
2022,ENCINITAS,1481,80,11,89,2181,0.0540175557056043
2022,FALLBROOK,687,107,19,125,1046,0.155749636098981
2022,IMPERIAL BEACH,699,92,24,113,1025,0.1316165951359084
2022,LEMON GROVE,2370,291,60,347,3783,0.1227848101265822
2022,MULTIPLE/CONFLICTING,35,1,1,2,118,0.0285714285714285
2022,NON-CONTRACT CITIES,2109,55,28,82,3353,0.0260787102892366
2022,POWAY,585,49,14,61,1046,0.0837606837606837
2022,RAMONA,468,73,14,85,726,0.1559829059829059
2022,RURAL ENFORCEMENT,432,34,8,41,592,0.0787037037037037
2022,SAN MARCOS,1809,192,25,214,2900,0.1061359867330016
2022,SANTEE,2129,245,73,314,3388,0.1150775011742602
2022,VALLEY CENTER,626,80,14,92,954,0.1277955271565495
2022,VISTA,2624,270,60,324,4274,0.1028963414634146
2023,,81,4,1,5,100,0.0493827160493827
2023,4S RANCH,31,11,0,11,47,0.3548387096774194
2023,ALPINE,551,65,12,73,819,0.1179673321234119
2023,COURT SERVICES,837,14,54,63,1022,0.016726403823178
2023,DETENTION FACILITIES,485,4,5,9,659,0.0082474226804123
2023,ENCINITAS,1339,86,14,96,2167,0.0642270351008215
2023,FALLBROOK,634,83,17,100,922,0.1309148264984227
2023,IMPERIAL BEACH,855,97,15,111,1315,0.1134502923976608
2023,LEMON GROVE,2369,301,55,351,3922,0.1270578303081469
2023,MULTIPLE/CONFLICTING,22,0,0,0,63,0.0
2023,NON-CONTRACT CITIES,2512,61,25,82,3695,0.0242834394904458
2023,POWAY,621,45,10,55,1052,0.072463768115942
2023,RAMONA,350,67,3,70,516,0.1914285714285714
2023,RURAL ENFORCEMENT,356,46,2,47,515,0.1292134831460674
2023,SAN MARCOS,1627,214,44,248,2590,0.1315304240934234
2023,SANTEE,2041,252,49,298,3233,0.1234688878000979
2023,VALLEY CENTER,606,75,11,85,978,0.1237623762376237
2023,VISTA,2779,257,59,315,4703,0.0924793091039942
2024,,632,44,17,60,1062,0.0696202531645569
2024,4S RANCH,30,12,1,13,34,0.4
2024,ALPINE,385,51,10,59,606,0.1324675324675324
2024,COURT SERVICES,864,14,31,45,1101,0.0162037037037037
2024,DETENTION FACILITIES,403,7,1,8,603,0.0173697270471464
2024,ENCINITAS,1251,97,13,108,2036,0.0775379696243005
2024,FALLBROOK,703,101,9,110,1210,0.1436699857752489
2024,IMPERIAL BEACH,785,125,18,140,1168,0.1592356687898089
2024,LEMON GROVE,1962,227,39,262,3488,0.1156982670744138
2024,MULTIPLE/CONFLICTING,25,0,0,0,119,0.0
