year,Incident Sub Type,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018,ADULT,9805,988,255,1215,15792,0.1007649158592554
2018,LOCAL WARRANT,1116,0,0,0,1117,0.0
2018,MULTIPLE/CONFLICTING,97,0,0,0,287,0.0
2018,OUTSIDE WARRANT,1074,0,0,0,1074,0.0
2019,ADULT,19950,1947,440,2331,32400,0.097593984962406
2019,LOCAL WARRANT,2181,0,0,0,2181,0.0
2019,MULTIPLE/CONFLICTING,207,0,0,0,607,0.0
2019,OUTSIDE WARRANT,2422,0,0,0,2423,0.0
2020,ADULT,16792,1838,465,2253,27359,0.109456884230586
2020,LOCAL WARRANT,763,0,0,0,763,0.0
2020,MULTIPLE/CONFLICTING,69,0,1,1,225,0.0
2020,OUTSIDE WARRANT,965,0,0,0,965,0.0
2021,ADULT,17179,1875,521,2351,28141,0.1091448861982653
2021,LOCAL WARRANT,872,0,0,0,872,0.0
2021,MULTIPLE/CONFLICTING,81,0,0,0,261,0.0
2021,OUTSIDE WARRANT,886,0,0,0,886,0.0
2022,ADULT,16183,1674,464,2104,26332,0.1034418834579497
2022,LOCAL WARRANT,1000,0,0,0,1000,0.0
2022,MULTIPLE/CONFLICTING,76,0,0,0,237,0.0
2022,OUTSIDE WARRANT,1058,0,0,0,1058,0.0
2023,ADULT,15927,1682,376,2019,26002,0.1056068311672003
2023,LOCAL WARRANT,903,0,0,0,903,0.0
2023,MULTIPLE/CONFLICTING,73,0,0,0,220,0.0
2023,OUTSIDE WARRANT,1193,0,0,0,1193,0.0
2024,ADULT,14971,1573,309,1854,25957,0.1050698016164584
2024,LOCAL WARRANT,937,0,0,0,944,0.0
2024,MULTIPLE/CONFLICTING,72,1,1,2,232,0.0138888888888888
2024,OUTSIDE WARRANT,1141,0,0,0,1146,0.0
2025,ADULT,7749,900,144,1029,13463,0.1161440185830429
2025,LOCAL WARRANT,515,0,0,0,522,0.0
2025,MULTIPLE/CONFLICTING,19,0,0,0,57,0.0
MULTIPLE/CONFLICTING,MULTIPLE/CONFLICTING,37,0,2,2,122,0.0
