zip_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
92071,9523,692,191,874,15073,0.0726661766250131
92083,8992,728,176,890,15009,0.0809608540925267
91977,7591,1063,238,1278,11949,0.1400342510868133
92084,7050,759,142,886,11875,0.1076595744680851
92081,6857,512,250,743,10198,0.0746682222546303
92069,6732,728,124,835,11094,0.1081402257872846
92024,6731,425,68,481,10340,0.0631406923191204
91945,6274,512,113,608,9720,0.0816066305387312
92040,5224,705,167,854,8433,0.1349540581929555
91932,5097,568,112,667,7441,0.1114381008436335
92028,5022,682,105,780,7601,0.1358024691358024
91901,4339,296,46,334,7629,0.0682184835215487
92021,4274,591,162,741,6618,0.1382779597566682
92101,4192,64,63,122,5592,0.015267175572519
92064,4002,354,61,409,6800,0.088455772113943
92078,3423,466,62,521,5706,0.1361378907391177
92065,3259,506,64,564,5023,0.1552623504142375
92020,3254,186,278,447,4414,0.0571604179471419
92082,2770,288,44,327,4606,0.103971119133574
92019,2038,274,77,342,3249,0.1344455348380765
92054,1810,13,7,20,2267,0.0071823204419889
92056,1802,20,6,25,2530,0.0110987791342952
91935,1399,90,22,110,2440,0.0643316654753395
91910,1296,26,21,47,1795,0.0200617283950617
92025,1288,53,22,74,1658,0.0411490683229813
92059,1147,140,20,156,1897,0.1220575414123801
92026,1124,164,29,185,1879,0.1459074733096085
92158,1097,7,8,15,1572,0.0063810391978122
92154,1025,15,5,19,1877,0.0146341463414634
92007,996,82,16,93,1529,0.0823293172690763
92075,858,87,6,92,1293,0.1013986013986013
91941,771,122,25,145,1264,0.1582360570687419
92014,724,53,13,66,1106,0.0732044198895027
91978,708,115,20,131,1166,0.1624293785310734
92029,636,61,4,65,1061,0.0959119496855346
91950,542,44,11,55,838,0.081180811808118
91902,540,104,9,112,827,0.1925925925925926
92061,531,66,11,76,811,0.1242937853107344
91906,460,69,14,81,650,0.15
92003,441,59,8,67,672,0.1337868480725623
91962,420,11,2,12,704,0.0261904761904761
MULTIPLE/CONFLICTING,419,5,5,10,1440,0.0119331742243436
91911,412,17,8,24,719,0.0412621359223301
92058,389,5,3,8,479,0.0128534704370179
91905,379,31,6,36,580,0.0817941952506596
,366,15,6,20,515,0.040983606557377
92057,345,6,2,8,463,0.017391304347826
92027,340,54,8,61,521,0.1588235294117647
92173,336,7,0,7,713,0.0208333333333333
91980,331,3,2,5,389,0.0090634441087613
92008,318,7,3,10,464,0.0220125786163522
92110,303,4,4,8,403,0.0132013201320132
92127,284,74,12,86,409,0.2605633802816901
92123,278,6,1,7,390,0.0215827338129496
92004,257,41,8,46,422,0.159533073929961
92036,249,62,11,70,376,0.2489959839357429
92114,237,10,2,12,410,0.0421940928270042
92113,212,4,2,5,371,0.0188679245283018
91942,191,15,4,18,316,0.0785340314136125
91917,181,10,2,12,273,0.0552486187845303
92009,175,9,5,13,262,0.0514285714285714
92067,163,39,2,40,226,0.2392638036809816
92011,152,1,4,5,252,0.006578947368421
92105,150,2,3,5,247,0.0133333333333333
92055,148,29,4,32,203,0.1959459459459459
92115,138,4,1,5,253,0.0289855072463768
92102,135,4,6,9,237,0.0296296296296296
92103,129,6,1,7,225,0.0465116279069767
92108,128,5,0,5,261,0.0390625
92111,115,2,0,2,211,0.017391304347826
92070,104,16,2,18,171,0.1538461538461538
92109,101,3,2,4,182,0.0297029702970297
91934,89,17,3,20,133,0.1910112359550561
92086,88,18,1,19,143,0.2045454545454545
92010,87,3,1,4,111,0.0344827586206896
92117,86,1,0,1,132,0.0116279069767441
92126,85,8,1,9,153,0.0941176470588235
92049,85,1,0,1,177,0.0117647058823529
92128,81,4,0,4,165,0.0493827160493827
92104,68,4,2,5,97,0.0588235294117647
