area_normalized,all,core,drug,property,violence,weapons,driving
CITY OF VISTA,18911,1722,5656,2087,1105,698,2437
NON-CONTRACT CITY,15686,388,3643,2350,510,490,819
RANCHO SAN DIEGO UNINC,11646,1599,3827,1610,1093,602,467
CITY OF SAN MARCOS,9826,1126,2925,1148,560,501,1559
CITY OF SANTEE,8763,694,2910,1479,514,298,894
LAKESIDE,8205,1165,2709,961,770,477,311
CITY OF ENCINITAS,7737,504,1945,929,465,194,1323
CITY OF LEMON GROVE,6292,514,2114,953,517,235,503
COURT SERVICES,5809,245,569,1646,456,98,50
FALLBROOK,5441,739,2052,614,385,240,231
ALPINE,5404,428,2696,657,243,263,552
DETENTION FACILITY,5366,59,243,761,415,59,61
CITY OF IMPERIAL BEACH,5098,570,1501,386,337,193,670
VALLEY CENTER,4594,541,1680,781,359,202,134
CITY OF POWAY,3971,352,1071,504,231,141,865
RAMONA,3230,504,1126,327,241,159,187
SAN MARCOS UNINC,1423,291,449,162,147,70,76
VISTA UNINC,1399,214,376,105,143,80,117
CAMPO,1280,112,230,135,69,111,237
PINE VALLEY,1059,82,283,140,57,165,117
CITY OF SOLANA BEACH,926,95,177,107,74,34,151
IMPERIAL BEACH UNINC,892,146,263,118,108,17,22
,595,17,52,280,19,12,19
CITY OF DEL MAR,593,39,76,48,52,12,122
RANCHITA,552,93,75,141,72,35,24
NORTH COASTAL UNINC,524,70,205,50,36,22,20
MULTIPLE/CONFLICTING,296,5,184,86,18,28,12
4S RANCH,265,83,23,49,23,5,18
JULIAN,178,48,24,24,27,7,6
COUNTY ADMINISTRATION CENTER,169,5,43,17,7,3,2
POWAY UNINC,54,7,15,10,7,0,13
LAKESIDE SUBSTATION,22,3,4,2,2,0,0
GROSSMONT COLLEGE,17,3,3,0,1,1,2
FALLBROOK SUBSTATION,17,6,3,3,5,0,1
CUYAMACA COLLEGE,15,1,4,3,2,0,1
ALPINE SUBSTATION,15,1,2,1,0,0,0
VALLEY CENTER SUBSTATION,9,2,4,1,1,1,0
RAMONA SUBSTATION,8,2,4,0,0,0,0
CAMPO SUBSTATION,6,1,1,1,0,0,0
LEMON GROVE,6,1,4,1,0,0,1
4S RANCH SUBSTATION,3,0,0,0,0,0,0
POWAY,3,0,0,1,1,0,0
RANCHITA SUBSTATION,2,1,0,0,2,0,0
PINE VALLEY SUBSTATION,2,0,1,0,0,0,0
JULIAN SUBSTATION,1,0,0,1,0,0,0
DESCANSO,1,0,0,1,0,0,0
TECATE,1,0,0,0,0,0,0
SPRING VALLEY,1,0,0,0,0,0,0
