city_normalized,all,core,drug,property,violence,weapons,driving
VISTA,19315,1727,5760,2108,1112,710,2455
SHERIFF (administrative label),13355,829,1497,2672,1166,305,212
SAN MARCOS,9883,1126,2940,1143,567,502,1557
SANTEE,8757,690,2906,1484,514,297,894
SPRING VALLEY,7784,1118,2505,938,769,420,226
ENCINITAS,7690,498,1949,924,461,193,1291
LEMON GROVE,6291,516,2109,963,515,235,501
LAKESIDE,5412,756,1847,584,490,317,209
SAN DIEGO,5307,146,1141,1118,305,169,257
IMPERIAL BEACH,5086,568,1498,386,336,193,670
FALLBROOK,4570,620,1728,529,318,195,188
OCEANSIDE,4420,46,811,172,50,77,135
ALPINE,4033,264,2090,535,132,196,431
POWAY,4003,355,1076,509,233,141,879
EL CAJON UNINC,3483,504,1236,514,316,172,179
RAMONA,2979,452,1042,310,220,149,176
VALLEY CENTER,2579,274,970,455,197,107,92
ESCONDIDO,2381,88,589,293,70,72,190
EL CAJON,2097,140,602,405,133,110,125
JAMUL,1376,74,519,209,65,86,187
VISTA UNINC,1117,188,294,82,120,59,87
PALA,1081,131,390,198,76,57,19
CHULA VISTA,995,32,329,152,33,55,43
SOUTH BAY,987,9,505,149,14,50,86
SOLANA BEACH,928,96,177,107,72,34,156
LA MESA UNINC,861,138,264,137,85,39,28
ESCONDIDO UNINC,836,189,263,105,87,39,24
CARLSBAD,727,20,167,118,17,18,48
DEL MAR,605,40,83,49,54,13,121
PAUMA VALLEY,574,74,176,81,48,25,15
BONITA,517,99,183,52,61,11,8
PINE VALLEY,508,13,178,67,7,110,34
BONSALL,411,55,185,33,21,18,22
CAMPO,382,67,53,38,48,26,62
NATIONAL CITY,378,15,111,48,10,13,11
MULTIPLE/CONFLICTING,362,6,235,105,18,46,17
LA MESA,359,29,78,93,27,11,26
TECATE,345,18,18,23,7,4,54
BOULEVARD,343,27,69,51,24,34,62
OTHER/UNVERIFIED LOCALITY LABEL,341,4,28,122,16,4,8
DULZURA,321,20,89,37,8,49,74
BORREGO SPRINGS,287,50,39,82,35,11,12
4S RANCH,190,59,21,40,12,4,13
SAN MARCOS UNIN,189,43,49,13,25,9,18
RANCHO SANTA FE,187,45,33,28,26,7,6
JULIAN,183,47,30,25,31,7,6
CAMP PENDLETON,183,28,57,12,11,5,12
LINCOLN ACRES,148,23,47,19,26,2,5
OTAY,111,6,22,30,9,3,5
WARNER SPRINGS,96,21,19,18,7,8,4
JACUMBA,87,16,11,15,13,4,8
TEMECULA,74,4,16,35,1,2,8
CARDIFF BY THE SEA,70,3,8,5,4,0,28
SAN YSIDRO,66,3,17,29,1,1,5
DESCANSO,62,13,19,7,6,4,9
SAN CLEMENTE,56,2,34,4,0,9,1
SANTA YSABEL,48,9,5,6,11,1,3
UNKNOWN/UNREPORTED,48,5,4,20,2,0,1
RANCHITA,40,6,4,11,4,3,0
SAN YSABEL,38,3,2,11,7,3,2
CORONADO,36,0,10,5,3,1,4
LOS ANGELES,32,1,2,18,0,1,1
RIVERSIDE,29,0,0,21,2,0,0
MURRIETA,27,2,1,11,2,0,1
POTRERO,21,4,5,6,2,1,5
POWAY UNINC,19,4,5,3,4,0,2
SAN MARCOS UNINC,18,4,3,1,3,0,0
HEMET,16,0,1,7,0,1,0
SANTA ANA,14,0,1,8,0,3,1
PALOMAR MOUNTAIN,14,9,2,1,1,0,0
LAS VEGAS,12,0,0,5,1,0,0
SAN BERNARDINO,12,0,0,10,0,0,0
LAKE ELSINORE,11,0,1,9,0,0,0
SAN JUAN CAPISTRANO,10,0,4,5,0,0,1
LA JOLLA,10,0,4,2,0,1,2
EL CENTRO,9,0,0,4,2,0,0
GUATAY,9,5,0,0,0,1,0
SAN JACINTO,7,0,0,7,0,0,0
PERRIS,7,1,1,5,0,0,0
PHOENIX,6,0,0,1,0,0,0
ALISO VIEJO,6,0,0,6,0,0,1
SACRAMENTO,5,0,0,5,0,0,0
SUN CITY,5,0,0,5,0,0,0
LYNWOOD,5,0,3,3,0,0,0
CHINO,5,0,1,3,1,0,1
DOWNEY,4,0,0,4,0,0,0
ORANGE,4,0,0,4,0,0,0
MORENO VALLEY,4,0,0,4,0,0,0
FONTANA,4,0,0,4,0,0,0
LONG BEACH,4,1,0,2,0,0,0
MOUNT LAGUNA,3,0,0,2,0,0,0
ENCINITAS UNINC,2,0,1,1,0,0,0
OTAY MESA,1,0,0,0,0,0,0
