Command,all,core,drug,property,violence,weapons,driving
VISTA,20218,1932,5997,2181,1243,775,2543
LEMON GROVE,17884,2107,5921,2558,1605,836,968
SANTEE,16965,1860,5619,2438,1284,775,1199
NON-CONTRACT CITIES,15625,386,3626,2348,509,486,814
SAN MARCOS,11215,1416,3366,1306,706,568,1626
ENCINITAS,9744,706,2397,1131,623,262,1608
IMPERIAL BEACH,5967,713,1759,502,440,209,687
COURT SERVICES,5798,245,568,1646,454,98,49
FALLBROOK,5438,739,2052,614,385,240,231
ALPINE,5402,427,2696,657,243,263,552
DETENTION FACILITIES,5332,59,241,759,410,58,60
VALLEY CENTER,4593,541,1680,780,359,202,134
POWAY,4010,358,1083,513,238,140,873
RAMONA,3229,504,1126,327,241,159,187
RURAL ENFORCEMENT,3069,335,612,440,225,318,384
,1269,62,223,347,68,31,79
MULTIPLE/CONFLICTING,290,5,183,84,18,28,12
4S RANCH,265,83,23,49,23,5,18
