recorded_hour,all,core,drug,property,violence,weapons,driving
8,8525,440,2103,1707,660,272,235
9,8035,429,2580,1162,404,292,301
10,7992,406,2599,979,430,307,362
12,7729,506,2098,1350,467,300,321
13,7547,514,2017,1236,474,249,331
11,7510,482,2331,1003,432,311,324
14,7394,441,2062,1124,432,301,355
15,7357,502,2016,1131,493,296,407
20,6535,767,1721,749,515,271,783
21,6533,870,1797,726,517,274,951
16,6464,508,1802,1050,440,255,403
22,6351,981,1759,644,468,282,1008
19,6272,691,1573,846,517,273,653
23,6208,845,1843,555,436,244,1060
17,5628,526,1470,858,441,237,440
0,5175,683,1521,456,362,198,956
18,4854,536,1173,627,366,188,508
1,4686,671,1467,432,279,196,891
2,3884,487,1253,366,235,171,778
7,3720,234,1323,463,185,140,147
3,2849,385,968,359,180,144,389
4,1929,249,721,256,121,95,202
6,1554,156,416,245,110,64,108
5,1278,168,395,258,91,56,99
MULTIPLE/CONFLICTING,304,1,164,98,19,37,12
