month,all,core,drug,property,violence,weapons,driving
2018-07,2044,188,530,278,115,71,167
2018-08,2178,161,589,291,122,66,208
2018-09,2139,175,603,279,107,60,165
2018-10,2057,151,568,277,121,77,157
2018-11,1837,153,520,244,97,62,161
2018-12,1836,160,485,283,99,79,172
2019-01,2008,173,573,317,84,72,156
2019-02,1752,142,514,266,100,51,162
2019-03,2167,160,671,275,100,73,198
2019-04,2061,150,574,254,106,52,184
2019-05,2094,150,579,261,93,73,194
2019-06,2102,178,554,258,118,68,176
2019-07,2255,179,695,338,125,64,226
2019-08,2322,167,630,301,103,87,177
2019-09,2207,164,628,256,96,55,186
2019-10,2132,168,577,311,115,46,157
2019-11,1778,145,463,249,91,58,170
2019-12,1844,171,510,273,95,59,178
2020-01,2156,161,633,290,106,73,162
2020-02,1991,151,563,275,91,59,160
2020-03,1461,156,390,222,97,69,105
2020-04,1083,132,296,151,94,30,63
2020-05,1346,151,471,172,122,49,122
2020-06,1268,142,434,162,110,61,111
2020-07,1435,154,501,183,110,62,128
2020-08,1621,168,588,270,129,79,133
2020-09,1616,154,609,213,153,71,156
2020-10,1677,158,633,223,116,92,140
2020-11,1516,141,573,234,95,80,157
2020-12,1418,170,429,240,105,80,129
2021-01,1534,169,457,264,117,87,130
2021-02,1433,123,493,229,108,77,105
2021-03,1593,153,519,245,94,77,135
2021-04,1630,153,532,207,123,90,107
2021-05,1687,163,575,236,118,92,144
2021-06,1642,176,546,242,132,87,115
2021-07,1731,172,593,235,112,84,128
2021-08,1634,154,513,256,111,77,119
2021-09,1580,155,489,235,110,81,98
2021-10,1618,166,468,238,119,87,119
2021-11,1459,133,460,230,99,63,135
2021-12,1476,158,401,202,96,70,158
2022-01,1408,114,430,225,98,63,131
2022-02,1447,122,396,251,101,73,130
2022-03,1619,140,489,221,121,77,145
2022-04,1517,117,451,226,107,61,125
2022-05,1571,123,453,251,116,80,124
2022-06,1491,140,408,245,116,60,114
2022-07,1601,182,466,220,109,53,127
2022-08,1643,152,457,211,137,75,135
2022-09,1618,180,453,218,120,71,123
2022-10,1534,136,455,233,84,55,146
2022-11,1404,145,368,256,82,60,122
2022-12,1459,123,390,254,94,69,168
2023-01,1430,140,400,198,87,71,125
2023-02,1291,108,394,168,81,40,143
2023-03,1477,157,390,222,100,59,119
2023-04,1416,134,364,228,95,67,129
2023-05,1510,163,436,208,87,78,126
2023-06,1551,128,457,255,104,66,142
2023-07,1558,164,421,167,155,77,144
2023-08,1627,148,431,174,115,65,132
2023-09,1675,141,450,217,140,53,158
2023-10,1687,139,435,192,149,69,155
2023-11,1436,124,389,153,102,62,135
2023-12,1431,136,398,180,84,55,168
2024-01,1524,121,415,191,98,56,141
2024-02,1285,120,331,169,82,44,119
2024-03,1453,130,346,176,103,61,139
2024-04,1461,123,393,152,116,60,126
2024-05,1561,155,472,170,124,57,138
2024-06,1404,107,350,156,118,47,133
2024-07,1581,150,424,177,103,54,98
2024-08,1570,141,411,170,121,63,129
2024-09,1490,131,379,184,115,66,134
2024-10,1395,130,326,160,101,57,123
2024-11,1199,128,294,123,88,43,111
2024-12,1181,138,284,127,83,42,122
2025-01,42,4,2,19,7,3,3
2025-02,31,0,0,16,4,0,0
2025-03,33,2,0,13,7,1,0
2025-04,19,0,0,7,2,0,1
2025-05,12,0,0,8,3,0,1
2025-06,570,55,133,73,49,15,63
2025-07,1353,126,335,172,125,35,157
2025-08,1289,161,349,147,98,51,154
2025-09,1266,144,312,157,98,52,139
2025-10,1284,141,345,126,104,57,144
2025-11,1195,160,310,140,89,33,169
2025-12,1175,107,293,170,91,37,158
MULTIPLE/CONFLICTING,121,0,58,39,7,10,3
