Race,all,core,drug,property,violence,weapons,driving
WHITE,63394,5328,19801,8328,3868,2315,4946
HISPANIC,49061,4759,13076,6335,3184,2065,5700
BLACK,14383,1449,3116,2316,1282,583,708
OTHER ASIAN,1798,256,486,265,136,57,187
MULTIPLE/CONFLICTING,1637,4,1151,493,44,164,67
OTHER,1319,132,327,216,110,61,96
MIDDLE EASTERN,1197,188,241,212,150,32,95
INDIAN,1195,111,314,137,122,76,80
FILIPINO,831,78,303,144,43,37,37
PACIFIC ISLANDER,301,40,81,41,27,9,20
AMERICAN INDIAN,221,16,47,28,32,11,13
SAMOAN,213,16,68,25,13,9,14
HAWAIIAN,166,19,31,31,13,6,8
VIETNAMESE,154,14,44,37,8,9,13
ASIAN INDIAN,95,30,7,8,8,2,19
,65,5,13,15,7,4,6
CHINESE,57,16,6,8,8,0,3
GUAMANIAN,53,3,19,9,3,3,5
LAOTIAN,43,0,15,14,2,3,0
EAST AFRICAN,33,2,10,3,6,0,0
KOREAN,32,7,5,4,2,2,2
CAMBODIAN,30,1,4,6,1,3,3
JAPANESE,19,2,5,3,2,1,1
Unknown,15,2,2,2,3,1,1
Not Reported,1,0,0,0,0,0,0
