year,city_normalized,all,core,drug,property,violence,weapons,driving
2018,4S RANCH,21,8,6,6,0,0,0
2018,ALPINE,342,30,157,35,10,25,53
2018,BONITA,47,7,16,3,5,0,0
2018,BONSALL,24,4,5,4,5,1,1
2018,BORREGO SPRINGS,20,6,6,4,0,0,0
2018,BOULEVARD,46,1,14,5,3,9,4
2018,CAMP PENDLETON,23,3,9,2,1,0,1
2018,CAMPO,35,8,7,1,6,1,4
2018,CARDIFF BY THE SEA,2,0,0,0,0,0,1
2018,CARLSBAD,54,2,11,15,0,2,6
2018,CHULA VISTA,113,1,34,13,3,1,4
2018,CORONADO,4,0,0,0,0,0,0
2018,DEL MAR,85,7,7,3,10,2,9
2018,DESCANSO,16,2,11,1,0,0,2
2018,DOWNEY,2,0,0,2,0,0,0
2018,DULZURA,22,1,6,1,0,1,6
2018,EL CAJON,199,6,53,39,9,8,21
2018,EL CAJON UNINC,434,51,163,72,26,18,47
2018,ENCINITAS,652,39,146,87,25,17,109
2018,ESCONDIDO,112,8,22,23,7,6,17
2018,ESCONDIDO UNINC,61,20,21,5,9,1,0
2018,FALLBROOK,398,66,107,48,25,20,29
2018,HEMET,1,0,0,0,0,0,0
2018,IMPERIAL BEACH,530,48,118,38,28,16,30
2018,JACUMBA,3,0,0,0,1,0,0
2018,JAMUL,88,2,36,16,3,3,19
2018,JULIAN,19,5,3,2,2,0,2
2018,LA MESA,40,2,6,6,3,0,2
2018,LA MESA UNINC,77,7,24,17,3,4,3
2018,LAKESIDE,573,61,193,65,53,29,23
2018,LEMON GROVE,492,35,142,69,39,14,16
2018,LINCOLN ACRES,14,3,1,1,0,0,1
2018,LOS ANGELES,6,0,2,0,0,1,0
2018,MULTIPLE/CONFLICTING,28,1,22,5,0,1,0
2018,MURRIETA,4,0,0,2,1,0,0
2018,NATIONAL CITY,54,0,7,6,0,1,1
2018,OCEANSIDE,223,2,50,19,3,3,11
2018,ORANGE,1,0,0,1,0,0,0
2018,OTAY,5,0,1,1,3,0,0
2018,OTHER/UNVERIFIED LOCALITY LABEL,30,1,2,16,0,0,0
2018,PALA,137,11,51,27,8,7,5
2018,PAUMA VALLEY,60,6,14,11,7,5,5
2018,PINE VALLEY,46,0,16,6,1,12,3
2018,POTRERO,1,0,1,0,0,0,0
2018,POWAY,293,27,69,42,13,3,47
2018,POWAY UNINC,1,1,0,0,0,0,0
2018,RAMONA,289,38,109,30,20,14,6
2018,RANCHITA,5,0,1,2,0,0,0
2018,RANCHO SANTA FE,17,6,4,2,2,0,1
2018,RIVERSIDE,4,0,0,4,0,0,0
2018,SACRAMENTO,1,0,0,1,0,0,0
2018,SAN CLEMENTE,3,0,3,0,0,1,0
2018,SAN DIEGO,560,13,122,105,16,13,19
2018,SAN MARCOS,829,74,235,101,39,28,119
2018,SAN MARCOS UNIN,14,4,5,2,2,0,0
2018,SAN YSABEL,7,1,1,2,0,0,0
2018,SAN YSIDRO,8,0,5,2,1,0,1
2018,SANTA ANA,3,0,0,2,0,0,0
2018,SANTA YSABEL,3,0,0,0,1,0,0
2018,SANTEE,940,58,358,170,32,33,99
2018,SHERIFF (administrative label),1052,35,43,182,36,11,8
2018,SOLANA BEACH,101,10,16,13,9,4,16
2018,SOUTH BAY,95,0,40,19,1,3,7
2018,SPRING VALLEY,693,82,224,82,70,28,15
2018,TECATE,35,1,3,1,1,1,4
2018,TEMECULA,9,0,2,4,0,2,1
2018,UNKNOWN/UNREPORTED,2,0,0,2,0,0,0
2018,VALLEY CENTER,295,21,119,28,14,10,21
2018,VISTA,1560,147,408,169,92,51,220
2018,VISTA UNINC,116,15,35,8,10,5,9
2018,WARNER SPRINGS,13,1,3,3,3,0,2
2019,4S RANCH,50,9,4,19,3,0,4
2019,ALPINE,752,37,391,86,17,29,129
2019,BONITA,107,14,40,10,18,1,1
2019,BONSALL,104,9,57,10,1,2,12
2019,BORREGO SPRINGS,48,9,12,7,4,0,4
2019,BOULEVARD,81,4,11,8,6,4,26
2019,CAMP PENDLETON,39,3,14,4,1,1,3
2019,CAMPO,62,15,6,5,7,1,8
2019,CARDIFF BY THE SEA,5,1,1,0,0,0,1
2019,CARLSBAD,128,2,17,13,4,1,9
2019,CHINO,1,0,0,0,1,0,0
2019,CHULA VISTA,254,6,47,20,5,14,3
2019,CORONADO,12,0,7,0,0,0,0
2019,DEL MAR,129,10,15,7,9,3,14
2019,DESCANSO,9,2,2,0,1,2,3
2019,DOWNEY,1,0,0,1,0,0,0
2019,DULZURA,94,5,35,11,0,9,30
2019,EL CAJON,405,29,113,68,12,15,22
2019,EL CAJON UNINC,789,93,320,107,49,28,56
2019,EL CENTRO,1,0,0,1,0,0,0
2019,ENCINITAS,1159,72,280,144,43,18,217
2019,ESCONDIDO,261,13,52,63,8,10,25
2019,ESCONDIDO UNINC,126,32,31,13,15,4,4
2019,FALLBROOK,839,101,288,124,47,25,44
2019,HEMET,8,0,0,5,0,0,0
2019,IMPERIAL BEACH,836,72,247,68,45,31,69
2019,JACUMBA,17,2,1,1,2,1,3
2019,JAMUL,218,18,83,28,8,10,42
2019,JULIAN,30,7,6,8,3,0,2
2019,LA MESA,86,3,16,20,6,0,3
2019,LA MESA UNINC,194,29,59,24,17,6,9
2019,LAKE ELSINORE,1,0,1,0,0,0,0
2019,LAKESIDE,1096,140,373,107,74,45,49
2019,LAS VEGAS,1,0,0,0,0,0,0
2019,LEMON GROVE,1211,85,443,196,75,41,49
2019,LINCOLN ACRES,30,4,8,3,4,0,1
2019,LOS ANGELES,9,0,0,8,0,0,0
2019,LYNWOOD,3,0,3,1,0,0,0
2019,MULTIPLE/CONFLICTING,77,1,59,15,3,10,2
2019,MURRIETA,4,1,0,3,0,0,0
2019,NATIONAL CITY,83,1,12,11,1,1,1
2019,OCEANSIDE,470,11,72,29,6,7,30
2019,ORANGE,1,0,0,1,0,0,0
2019,OTAY,7,0,0,1,1,0,1
2019,OTHER/UNVERIFIED LOCALITY LABEL,62,2,4,25,4,1,0
2019,PALA,262,22,99,50,14,16,4
2019,PALOMAR MOUNTAIN,5,2,1,0,1,0,0
2019,PAUMA VALLEY,148,17,42,16,10,8,6
2019,PHOENIX,1,0,0,1,0,0,0
2019,PINE VALLEY,72,1,26,16,1,5,7
