year,Command,all,core,drug,property,violence,weapons,driving
2018,,68,0,14,27,2,2,1
2018,4S RANCH,25,9,6,6,0,0,1
2018,ALPINE,487,42,222,43,17,34,88
2018,COURT SERVICES,366,19,53,110,12,6,4
2018,DETENTION FACILITIES,765,19,11,86,26,7,4
2018,ENCINITAS,877,64,184,105,47,24,137
2018,FALLBROOK,421,70,112,52,30,21,29
2018,IMPERIAL BEACH,600,57,139,43,36,16,31
2018,LEMON GROVE,1431,137,454,198,116,51,65
2018,MULTIPLE/CONFLICTING,28,1,22,5,0,1,0
2018,NON-CONTRACT CITIES,1319,26,306,237,34,33,75
2018,POWAY,294,28,69,42,13,3,47
2018,RAMONA,291,39,110,30,20,14,6
2018,RURAL ENFORCEMENT,271,26,73,28,17,24,27
2018,SAN MARCOS,915,100,263,110,52,30,122
2018,SANTEE,1775,150,633,289,108,71,135
2018,VALLEY CENTER,487,39,182,65,29,22,30
2018,VISTA,1672,162,442,177,102,56,228
2019,,138,3,26,58,3,4,1
2019,4S RANCH,59,11,4,21,3,0,5
2019,ALPINE,1023,65,513,117,29,35,164
2019,COURT SERVICES,870,49,88,259,55,16,8
2019,DETENTION FACILITIES,1508,9,53,182,42,7,23
2019,ENCINITAS,1528,103,345,184,72,30,264
2019,FALLBROOK,942,110,345,136,48,27,58
2019,IMPERIAL BEACH,981,91,292,84,68,32,72
2019,LEMON GROVE,3602,351,1324,448,236,128,158
2019,MULTIPLE/CONFLICTING,68,1,54,10,3,9,1
2019,NON-CONTRACT CITIES,2629,68,504,441,63,73,120
2019,POWAY,653,52,177,83,26,17,142
2019,RAMONA,627,81,239,57,36,24,46
2019,RURAL ENFORCEMENT,558,59,124,75,29,29,106
2019,SAN MARCOS,1642,193,431,152,95,68,218
2019,SANTEE,3311,297,1241,525,173,113,213
2019,VALLEY CENTER,914,93,297,143,57,46,29
2019,VISTA,3707,311,943,388,188,101,537
2020,,101,4,15,53,3,3,5
2020,4S RANCH,35,7,5,9,2,2,6
2020,ALPINE,1213,59,703,142,43,62,161
2020,COURT SERVICES,533,40,34,172,28,9,5
2020,DETENTION FACILITIES,869,7,53,112,70,9,9
2020,ENCINITAS,1243,102,328,167,85,44,182
2020,FALLBROOK,793,104,346,92,52,25,30
2020,IMPERIAL BEACH,849,86,318,79,54,37,65
2020,LEMON GROVE,2446,321,819,371,248,99,130
2020,MULTIPLE/CONFLICTING,25,0,18,9,1,2,0
2020,NON-CONTRACT CITIES,1537,47,455,298,61,59,83
2020,POWAY,537,55,128,75,33,19,87
2020,RAMONA,505,71,191,47,31,26,33
2020,RURAL ENFORCEMENT,606,65,130,87,57,60,104
2020,SAN MARCOS,1545,217,552,185,111,91,195
2020,SANTEE,2614,289,1053,291,233,121,177
2020,VALLEY CENTER,639,74,237,122,54,33,10
2020,VISTA,2499,290,735,324,162,104,284
2021,,107,1,5,40,10,1,3
2021,4S RANCH,37,16,3,7,4,0,2
2021,ALPINE,1007,64,595,160,28,58,60
2021,COURT SERVICES,967,70,35,346,92,17,10
2021,DETENTION FACILITIES,563,5,31,89,64,3,3
2021,ENCINITAS,1281,112,337,139,86,50,238
2021,FALLBROOK,850,106,379,85,53,60,21
2021,IMPERIAL BEACH,874,116,299,74,55,34,78
2021,LEMON GROVE,2622,344,887,373,263,163,130
2021,MULTIPLE/CONFLICTING,33,2,26,9,2,3,2
2021,NON-CONTRACT CITIES,1877,47,567,380,82,86,106
2021,POWAY,484,44,161,81,33,22,79
2021,RAMONA,452,69,171,51,36,22,20
2021,RURAL ENFORCEMENT,491,50,122,66,25,67,46
2021,SAN MARCOS,1562,193,496,149,106,90,240
2021,SANTEE,2397,281,904,373,170,140,148
2021,VALLEY CENTER,665,91,227,132,61,25,7
2021,VISTA,2749,264,801,265,169,131,300
2022,,97,3,6,32,1,3,4
2022,4S RANCH,33,15,1,0,4,1,0
2022,ALPINE,574,54,258,87,35,27,37
2022,COURT SERVICES,1019,29,127,290,72,17,7
2022,DETENTION FACILITIES,540,4,26,102,69,10,3
2022,ENCINITAS,1481,80,471,163,74,35,227
2022,FALLBROOK,687,107,243,88,46,25,28
2022,IMPERIAL BEACH,699,92,189,70,46,22,99
2022,LEMON GROVE,2370,291,727,364,245,131,124
2022,MULTIPLE/CONFLICTING,35,1,21,9,3,3,3
2022,NON-CONTRACT CITIES,2109,55,558,360,78,69,118
2022,POWAY,585,49,190,87,28,21,118
2022,RAMONA,468,73,152,62,44,27,40
2022,RURAL ENFORCEMENT,432,34,57,66,31,66,51
2022,SAN MARCOS,1809,192,573,272,104,107,263
2022,SANTEE,2129,245,661,305,177,113,134
2022,VALLEY CENTER,626,80,233,118,43,18,15
2022,VISTA,2624,270,723,338,185,102,319
2023,,81,4,10,27,2,0,1
2023,4S RANCH,31,11,3,2,4,1,3
2023,ALPINE,551,65,227,58,40,26,20
2023,COURT SERVICES,837,14,106,195,76,11,3
2023,DETENTION FACILITIES,485,4,31,76,64,6,7
2023,ENCINITAS,1339,86,328,159,119,38,238
2023,FALLBROOK,634,83,217,71,45,31,24
2023,IMPERIAL BEACH,855,97,250,74,55,35,189
2023,LEMON GROVE,2369,301,798,354,204,135,173
2023,MULTIPLE/CONFLICTING,22,0,9,6,3,2,3
2023,NON-CONTRACT CITIES,2512,61,472,308,83,79,125
2023,POWAY,621,45,182,69,44,32,146
2023,RAMONA,350,67,96,37,26,19,14
2023,RURAL ENFORCEMENT,356,46,55,55,30,36,35
2023,SAN MARCOS,1627,214,475,199,107,85,206
2023,SANTEE,2041,252,528,306,167,95,169
2023,VALLEY CENTER,606,75,242,94,58,25,19
2023,VISTA,2779,257,937,275,174,108,301
2024,,632,44,143,93,46,18,63
2024,4S RANCH,30,12,0,3,4,0,0
2024,ALPINE,385,51,130,27,38,21,10
2024,COURT SERVICES,864,14,91,185,79,13,5
2024,DETENTION FACILITIES,403,7,26,66,61,7,3
2024,ENCINITAS,1251,97,288,132,95,32,188
2024,FALLBROOK,703,101,257,63,64,34,32
2024,IMPERIAL BEACH,785,125,192,55,81,19,105
2024,LEMON GROVE,1962,227,596,294,196,94,113
2024,MULTIPLE/CONFLICTING,25,0,9,12,5,1,1
2024,NON-CONTRACT CITIES,2543,51,469,221,69,60,98
2024,POWAY,499,53,99,56,33,17,137
2024,RAMONA,351,73,113,23,24,16,17
2024,RURAL ENFORCEMENT,256,31,41,40,27,30,11
2024,SAN MARCOS,1356,186,381,150,86,69,203
2024,SANTEE,1788,214,411,204,161,71,159
2024,VALLEY CENTER,459,60,187,73,38,21,14
2024,VISTA,2829,228,996,269,147,128,355
2025,,45,3,4,17,1,0,1
2025,4S RANCH,15,2,1,1,2,1,1
2025,ALPINE,162,27,48,23,13,0,12
2025,COURT SERVICES,342,10,34,89,40,9,7
2025,DETENTION FACILITIES,199,4,10,46,14,9,8
2025,ENCINITAS,744,62,116,82,45,9,134
2025,FALLBROOK,407,58,153,27,47,17,9
2025,IMPERIAL BEACH,324,49,80,23,45,14,48
2025,LEMON GROVE,1081,135,316,156,96,34,75
2025,MULTIPLE/CONFLICTING,21,0,7,14,0,3,1
2025,NON-CONTRACT CITIES,1099,31,295,103,39,27,89
2025,POWAY,337,32,77,20,28,9,117
2025,RAMONA,185,31,54,20,24,11,11
2025,RURAL ENFORCEMENT,99,24,10,23,9,6,4
2025,SAN MARCOS,759,121,195,89,45,28,179
2025,SANTEE,909,132,188,145,95,51,64
2025,VALLEY CENTER,197,29,75,33,19,12,10
2025,VISTA,1358,150,420,145,116,45,219
MULTIPLE/CONFLICTING,FALLBROOK,1,0,0,0,0,0,0
MULTIPLE/CONFLICTING,LEMON GROVE,1,0,0,0,1,1,0
MULTIPLE/CONFLICTING,MULTIPLE/CONFLICTING,33,0,17,10,1,4,1
MULTIPLE/CONFLICTING,SANTEE,1,0,0,0,0,0,0
MULTIPLE/CONFLICTING,VISTA,1,0,0,0,0,0,0
