year,Incident Sub Type,all,core,drug,property,violence,weapons,driving
2018,ADULT,9805,988,3222,1644,661,410,1025
2018,LOCAL WARRANT,1116,0,0,0,0,0,0
2018,MULTIPLE/CONFLICTING,97,0,73,9,0,5,5
2018,OUTSIDE WARRANT,1074,0,0,0,0,0,0
2019,ADULT,19950,1947,6843,3346,1223,748,2155
2019,LOCAL WARRANT,2181,0,0,0,0,0,0
2019,MULTIPLE/CONFLICTING,207,0,157,17,3,11,10
2019,OUTSIDE WARRANT,2422,0,0,0,0,0,0
2020,ADULT,16792,1838,6074,2618,1328,793,1564
2020,LOCAL WARRANT,763,0,0,0,0,0,0
2020,MULTIPLE/CONFLICTING,69,0,46,17,0,12,2
2020,OUTSIDE WARRANT,965,0,0,0,0,0,0
2021,ADULT,17179,1875,5983,2806,1338,963,1492
2021,LOCAL WARRANT,872,0,0,0,0,0,0
2021,MULTIPLE/CONFLICTING,81,0,63,13,1,9,1
2021,OUTSIDE WARRANT,886,0,0,0,0,0,0
2022,ADULT,16183,1674,5176,2793,1284,790,1583
2022,LOCAL WARRANT,1000,0,0,0,0,0,0
2022,MULTIPLE/CONFLICTING,76,0,40,20,1,7,7
2022,OUTSIDE WARRANT,1058,0,0,0,0,0,0
2023,ADULT,15927,1682,4921,2354,1299,751,1674
2023,LOCAL WARRANT,903,0,0,0,0,0,0
2023,MULTIPLE/CONFLICTING,73,0,45,11,2,13,2
2023,OUTSIDE WARRANT,1193,0,0,0,0,0,0
2024,ADULT,14971,1573,4386,1955,1254,647,1510
2024,LOCAL WARRANT,937,0,0,0,0,0,0
2024,MULTIPLE/CONFLICTING,72,1,43,11,0,4,4
2024,OUTSIDE WARRANT,1141,0,0,0,0,0,0
2025,ADULT,7749,900,2071,1052,678,284,988
2025,LOCAL WARRANT,515,0,0,0,0,0,0
2025,MULTIPLE/CONFLICTING,19,0,12,4,0,1,1
MULTIPLE/CONFLICTING,MULTIPLE/CONFLICTING,37,0,17,10,2,5,1
