zip_normalized,all,core,drug,property,violence,weapons,driving
92071,9523,692,2976,1584,553,308,902
92083,8992,728,2764,1122,478,349,1067
91977,7591,1063,2465,935,765,418,229
92084,7050,759,2070,524,510,265,1023
92081,6857,512,1314,1340,415,176,491
92069,6732,728,2117,697,388,383,952
92024,6731,425,1746,818,399,173,1131
91945,6274,512,2105,962,511,235,502
92040,5224,705,1795,572,460,318,198
91932,5097,568,1505,390,336,193,669
92028,5022,682,1888,577,363,216,214
91901,4339,296,2233,556,154,209,443
92021,4274,591,1321,598,420,216,204
92101,4192,64,645,611,319,69,30
92064,4002,354,1077,509,233,141,881
92078,3423,466,883,464,217,136,620
92065,3259,506,1141,330,240,158,189
92020,3254,186,380,962,277,101,70
92082,2770,288,1044,490,225,119,97
92019,2038,274,657,438,165,79,85
92054,1810,13,263,57,17,23,20
92056,1802,20,351,69,16,38,94
91935,1399,90,493,212,67,100,195
91910,1296,26,219,127,50,36,21
92025,1288,53,273,99,38,12,33
92059,1147,140,430,207,73,60,23
92026,1124,164,416,165,66,66,73
92158,1097,7,46,88,73,22,38
92154,1025,15,433,162,22,57,96
92007,996,82,184,108,69,18,184
92075,858,87,157,101,68,34,150
91941,771,122,221,99,77,34,31
92014,724,53,126,59,60,18,136
91978,708,115,214,100,69,39,21
92029,636,61,142,62,45,20,102
91950,542,44,155,66,38,16,15
91902,540,104,172,57,65,12,9
92061,531,66,178,78,37,22,12
91906,460,69,72,44,55,35,64
92003,441,59,179,34,26,24,18
91962,420,11,159,57,6,87,32
MULTIPLE/CONFLICTING,419,5,242,128,26,41,20
91911,412,17,147,52,20,23,16
92058,389,5,70,24,7,7,9
91905,379,31,73,56,23,51,61
,366,15,37,125,20,7,22
92057,345,6,47,20,8,7,8
92027,340,54,62,89,31,15,10
92173,336,7,168,83,5,8,10
91980,331,3,10,13,0,3,50
92008,318,7,71,50,5,9,13
92110,303,4,24,47,55,4,1
92127,284,74,27,66,18,7,21
92123,278,6,31,31,41,4,21
92004,257,41,36,76,31,11,11
92036,249,62,32,43,41,12,6
92114,237,10,48,69,15,17,15
92113,212,4,55,65,7,12,8
91942,191,15,27,57,16,5,15
91917,181,10,42,24,5,31,46
92009,175,9,39,23,6,2,21
92067,163,39,28,30,21,5,4
92011,152,1,60,24,4,8,9
92105,150,2,27,64,4,5,1
92055,148,29,35,6,11,3,8
92115,138,4,28,48,10,5,10
92102,135,4,26,37,10,3,6
92103,129,6,13,34,9,3,25
92108,128,5,47,52,3,9,3
92111,115,2,26,23,1,4,4
92070,104,16,11,20,21,7,8
92109,101,3,23,22,4,1,5
91934,89,17,11,16,13,4,9
92086,88,18,20,19,5,9,4
92010,87,3,5,20,3,1,3
92117,86,1,22,12,2,4,3
92049,85,1,64,2,2,1,3
92126,85,8,20,25,1,4,4
92128,81,4,23,13,2,4,20
92104,68,4,14,17,1,1,2
92139,63,3,9,15,3,3,8
91963,62,17,9,15,8,2,9
92037,61,1,13,8,2,1,20
92107,59,3,11,15,3,2,1
92120,58,4,14,16,1,2,7
92121,57,2,11,19,4,3,3
92052,56,1,12,1,0,2,1
92085,48,0,5,14,7,0,5
92100,44,1,15,12,2,1,4
92592,44,3,10,23,2,0,4
91916,43,12,7,7,3,3,6
92130,41,5,12,14,0,0,3
91913,41,5,16,3,1,5,2
92119,39,6,7,3,3,1,1
91915,38,0,8,8,0,0,5
92060,37,16,1,3,11,0,0
92129,37,2,7,6,0,1,8
92118,36,0,10,5,3,1,4
92106,35,1,9,10,4,3,2
92122,34,0,7,11,3,0,1
92023,33,2,16,2,2,0,7
91909,33,0,8,5,2,2,1
92091,32,7,4,3,4,1,1
92116,28,0,6,6,1,1,3
92179,27,0,0,8,3,1,0
92672,27,1,17,4,0,2,1
92124,26,0,4,8,0,0,1
92066,20,3,2,6,2,1,0
92673,19,1,11,0,0,4,0
92563,18,0,0,7,0,0,1
91976,18,1,5,2,0,0,1
92131,17,0,5,0,1,1,3
92501,17,0,0,11,1,0,0
91914,17,2,6,3,1,1,4
92674,16,0,10,1,0,3,0
92536,15,2,1,3,2,2,0
92589,14,1,3,3,0,1,1
92143,14,1,3,8,1,0,1
89101,13,0,0,4,0,0,0
92136,12,1,3,0,0,0,0
91931,12,5,1,1,1,1,1
92543,12,0,1,7,0,1,0
92096,10,3,1,1,1,0,2
91948,10,2,0,3,1,1,0
92675,10,0,4,5,0,0,1
92562,9,2,1,4,2,0,0
92591,9,0,2,2,0,1,2
92079,8,0,2,1,1,0,1
92051,8,0,6,1,0,0,0
92088,8,1,4,1,0,0,2
92243,8,0,0,3,2,0,0
92530,8,1,0,6,0,0,0
92590,8,0,1,7,0,0,1
92140,7,0,0,4,0,0,0
92400,7,0,0,6,0,0,0
91903,6,0,0,0,0,0,4
92703,6,0,1,4,0,0,1
91951,6,0,3,0,0,0,1
90000,6,0,0,4,0,0,0
92656,6,0,0,6,0,0,1
94203,5,0,0,5,0,0,0
92507,5,0,0,5,0,0,0
92022,5,0,1,1,0,0,0
90262,5,0,3,3,0,0,0
93244,5,0,3,1,0,0,0
85009,5,0,0,0,0,0,0
92570,5,0,0,5,0,0,0
90045,4,1,0,0,0,0,1
92583,4,0,0,4,0,0,0
91947,3,1,1,0,0,0,0
90020,3,0,2,1,0,0,0
90220,3,0,0,3,0,0,0
90022,3,0,0,0,0,0,0
90219,3,0,1,1,1,0,0
92112,3,0,2,0,0,0,0
92584,3,0,0,1,0,1,0
78666,3,0,0,2,1,0,0
92701,3,0,0,0,0,2,0
91708,3,0,0,2,1,0,0
92072,3,0,0,0,0,0,0
92503,3,0,0,2,0,0,0
92585,3,0,0,3,0,0,0
92041,3,0,3,0,0,0,0
91990,3,0,3,0,0,0,1
92553,3,0,0,3,0,0,0
92334,3,0,0,3,0,0,0
90800,3,0,0,2,0,0,0
92161,3,1,0,0,1,0,0
92145,3,0,1,0,0,0,0
11370,3,0,0,0,0,0,0
90059,2,0,0,1,0,1,0
92320,2,0,0,1,0,0,0
90240,2,0,0,2,0,0,0
92545,2,0,0,0,0,0,0
92135,2,1,0,0,0,0,0
93300,2,0,0,2,0,0,0
92704,2,0,0,2,0,0,0
92259,2,0,1,0,0,0,0
92504,2,0,0,1,1,0,0
90242,2,0,0,2,0,0,0
92882,2,0,0,2,0,0,0
74103,2,0,0,0,0,0,0
90250,2,0,0,0,0,0,0
92867,2,0,2,0,0,0,0
92532,2,0,1,1,0,0,0
92690,2,0,0,2,0,0,0
92153,2,0,1,2,0,0,0
92191,2,0,0,0,1,0,0
92402,2,0,0,2,0,0,0
93101,2,1,0,1,0,0,0
92544,2,0,0,0,0,0,0
92629,2,0,0,2,0,0,0
91944,2,0,0,1,0,0,0
91701,2,0,0,2,0,0,0
92613,2,0,0,2,0,0,0
92415,2,0,0,1,0,0,0
95959,2,0,0,2,0,0,0
92879,2,0,0,1,0,0,0
91789,2,0,0,2,0,0,0
92531,2,0,0,2,0,0,0
93505,2,0,0,0,0,0,0
91316,2,0,2,0,0,0,0
92581,2,0,0,2,0,0,0
85713,2,0,0,0,0,0,0
90037,2,0,0,1,0,0,0
73401,2,0,0,0,0,0,0
92392,2,0,0,2,0,0,0
91710,2,0,1,1,0,0,1
92132,2,0,1,0,0,0,0
92683,2,0,0,1,0,0,0
92231,2,0,1,0,0,0,0
93454,2,0,0,2,0,0,0
92159,2,0,0,0,1,0,0
80601,2,0,0,1,0,0,0
92150,2,0,0,0,0,0,0
91987,2,0,0,2,0,0,0
92571,2,1,1,0,0,0,0
92093,2,0,1,0,0,0,0
93311,2,0,0,2,0,0,0
92356,2,0,0,0,0,0,0
92804,2,0,0,1,0,0,0
98201,2,0,0,0,0,0,0
33301,2,0,0,0,0,0,0
92596,2,0,0,1,0,0,0
92251,2,0,0,2,0,0,0
92046,1,0,1,0,0,0,0
90245,1,0,0,1,0,0,0
91912,1,0,0,0,0,0,0
81005,1,0,0,0,0,0,0
92707,1,0,0,0,0,0,0
49201,1,0,0,0,0,0,0
92134,1,1,0,0,1,0,0
84025,1,0,0,0,0,0,0
92509,1,0,0,1,0,0,0
92618,1,0,0,1,0,0,0
92142,1,0,1,0,0,0,0
91746,1,0,1,0,0,0,0
92626,1,0,0,1,0,0,0
91344,1,0,0,0,0,0,0
92665,1,0,0,1,0,0,0
92631,1,0,0,1,0,0,0
95158,1,0,0,0,0,0,0
19802,1,0,0,0,0,0,0
34741,1,0,0,0,0,0,0
78617,1,0,0,0,0,0,0
33762,1,0,0,0,0,0,0
91923,1,0,0,0,0,0,0
92345,1,0,0,1,0,0,0
