recorded_hour,all,core,drug,property,violence,weapons,driving,period
0,2781,356,815,253,207,120,494,2021-2024
1,2546,392,789,249,170,111,467,2021-2024
2,2066,265,658,210,122,96,404,2021-2024
3,1555,213,524,205,86,78,227,2021-2024
4,1001,127,364,148,62,53,105,2021-2024
5,696,100,204,148,60,34,57,2021-2024
6,710,94,193,116,63,33,57,2021-2024
7,1893,138,712,252,97,88,68,2021-2024
8,5028,238,1115,1069,469,174,102,2021-2024
9,4444,255,1383,614,246,173,145,2021-2024
10,4254,218,1338,495,242,175,172,2021-2024
11,3835,255,1194,512,233,183,169,2021-2024
12,4008,284,1081,645,257,161,151,2021-2024
13,3951,257,1036,651,258,148,141,2021-2024
14,3918,257,1063,554,229,180,181,2021-2024
15,3770,280,1017,596,279,154,217,2021-2024
16,3295,282,922,506,246,147,197,2021-2024
17,2963,284,788,468,244,136,241,2021-2024
18,2586,284,655,327,204,122,286,2021-2024
19,3368,381,843,456,297,170,383,2021-2024
20,3444,397,906,386,294,157,422,2021-2024
21,3553,471,980,405,284,153,521,2021-2024
22,3425,515,971,358,282,170,513,2021-2024
23,3313,461,1030,292,233,146,546,2021-2024
MULTIPLE/CONFLICTING,149,1,76,48,15,22,7,2021-2024
