zip_code,month,locality_days,core_ids,broad_ids,all_eligible_ids,mean_daily_high_f,mean_daily_mean_f,mean_daily_low_f,heatwave_days,core_per_100_locality_days,broad_per_100_locality_days,all_per_100_locality_days
91901,2018-07,31,4,4,65,92.24193548,79.7516129,69.4,9,12.90322581,12.90322581,209.67741935
91901,2018-08,31,3,4,57,91.0,78.1,68.20645161,5,9.67741935,12.90322581,183.87096774
91901,2018-09,30,5,5,61,88.80333333,75.23666667,64.79,0,16.66666667,16.66666667,203.33333333
91901,2018-10,31,9,12,56,77.3516129,65.91290323,57.47741935,0,29.03225806,38.70967742,180.64516129
91901,2018-11,30,4,5,50,72.27,60.65666667,51.83,0,13.33333333,16.66666667,166.66666667
91901,2018-12,31,7,8,55,62.81612903,52.21290323,44.43548387,0,22.58064516,25.80645161,177.41935484
91901,2019-01,31,5,6,62,62.4,51.67096774,43.53548387,0,16.12903226,19.35483871,200.0
91901,2019-02,28,4,5,39,55.36428571,46.83928571,39.61428571,0,14.28571429,17.85714286,139.28571429
91901,2019-03,31,1,1,65,63.09354839,53.56129032,45.40967742,0,3.22580645,3.22580645,209.67741935
91901,2019-04,30,1,1,74,71.36333333,60.33,50.89666667,0,3.33333333,3.33333333,246.66666667
91901,2019-05,31,1,1,60,66.34516129,57.65483871,50.23870968,0,3.22580645,3.22580645,193.5483871
91901,2019-06,30,5,7,59,81.59333333,69.12,59.12,0,16.66666667,23.33333333,196.66666667
91901,2019-07,31,1,2,54,89.46129032,76.32903226,64.70645161,0,3.22580645,6.4516129,174.19354839
91901,2019-08,31,1,1,51,92.23870968,78.20645161,66.92258065,0,3.22580645,3.22580645,164.51612903
91901,2019-09,30,6,7,66,85.42,73.45333333,63.85,3,20.0,23.33333333,220.0
91901,2019-10,31,4,4,50,80.94193548,67.16129032,55.80645161,0,12.90322581,12.90322581,161.29032258
91901,2019-11,30,1,2,42,72.82,60.72666667,51.67,0,3.33333333,6.66666667,140.0
91901,2019-12,31,7,8,77,59.94516129,50.80967742,44.09354839,0,22.58064516,25.80645161,248.38709677
91901,2020-01,31,6,7,91,64.64516129,53.00967742,44.32580645,0,19.35483871,22.58064516,293.5483871
91901,2020-02,29,3,5,93,66.29655172,54.74137931,45.06896552,0,10.34482759,17.24137931,320.68965517
91901,2020-03,31,4,5,43,61.29354839,52.72258065,45.39032258,0,12.90322581,16.12903226,138.70967742
91901,2020-04,30,4,4,24,68.06666667,59.24333333,51.60333333,0,13.33333333,13.33333333,80.0
91901,2020-05,31,3,3,75,80.36774194,68.19677419,57.2516129,0,9.67741935,9.67741935,241.93548387
91901,2020-06,30,8,9,82,83.22333333,70.72666667,59.94,0,26.66666667,30.0,273.33333333
91901,2020-07,31,4,4,61,90.24193548,76.84193548,65.29032258,2,12.90322581,12.90322581,196.77419355
91901,2020-08,31,2,2,108,93.81290323,81.08064516,71.19354839,10,6.4516129,6.4516129,348.38709677
91901,2020-09,30,4,4,111,93.44333333,80.21,68.72333333,7,13.33333333,13.33333333,370.0
91901,2020-10,31,1,1,103,85.24516129,72.43225806,62.54193548,0,3.22580645,3.22580645,332.25806452
91901,2020-11,30,2,3,94,72.46666667,60.12,50.62333333,0,6.66666667,10.0,313.33333333
91901,2020-12,31,4,4,94,66.15483871,54.96774194,46.54193548,0,12.90322581,12.90322581,303.22580645
91901,2021-01,31,4,5,106,64.57741935,53.39032258,44.93548387,0,12.90322581,16.12903226,341.93548387
91901,2021-02,28,2,3,74,65.08928571,54.10714286,45.44642857,0,7.14285714,10.71428571,264.28571429
91901,2021-03,31,2,2,81,62.76129032,52.5516129,43.98387097,0,6.4516129,6.4516129,261.29032258
91901,2021-04,30,5,5,71,73.86666667,61.57,51.22333333,0,16.66666667,16.66666667,236.66666667
91901,2021-05,31,5,6,63,76.69354839,64.17741935,53.74193548,0,16.12903226,19.35483871,203.22580645
91901,2021-06,30,4,4,62,87.43666667,74.56333333,63.73333333,3,13.33333333,13.33333333,206.66666667
91901,2021-07,31,3,5,68,90.33225806,78.67741935,68.98709677,0,9.67741935,16.12903226,219.35483871
91901,2021-08,31,4,5,47,90.48064516,78.35483871,69.30645161,6,12.90322581,16.12903226,151.61290323
91901,2021-09,30,4,4,56,87.95666667,75.62666667,66.02,0,13.33333333,13.33333333,186.66666667
91901,2021-10,31,6,6,66,75.66451613,64.17419355,55.0516129,0,19.35483871,19.35483871,212.90322581
91901,2021-11,30,3,3,57,77.46333333,64.6,54.49333333,0,10.0,10.0,190.0
91901,2021-12,31,2,2,62,60.90967742,51.97096774,44.82580645,0,6.4516129,6.4516129,200.0
91901,2022-01,31,3,3,43,65.03548387,53.96451613,45.93870968,0,9.67741935,9.67741935,138.70967742
91901,2022-02,28,7,7,38,66.51071429,54.1,43.88928571,0,25.0,25.0,135.71428571
91901,2022-03,31,3,3,37,69.60645161,57.86129032,47.56129032,0,9.67741935,9.67741935,119.35483871
91901,2022-04,30,3,3,31,74.14666667,62.06333333,51.52666667,0,10.0,10.0,103.33333333
91901,2022-05,31,3,4,46,77.70645161,65.33870968,54.41612903,0,9.67741935,12.90322581,148.38709677
91901,2022-06,30,2,2,20,87.60333333,74.87666667,63.57333333,0,6.66666667,6.66666667,66.66666667
91901,2022-07,31,5,5,32,88.98064516,76.51290323,66.55483871,0,16.12903226,16.12903226,103.22580645
91901,2022-08,31,5,5,31,91.56451613,79.90645161,70.77096774,1,16.12903226,16.12903226,100.0
91901,2022-09,30,4,4,39,87.79333333,76.95666667,68.56,6,13.33333333,13.33333333,130.0
91901,2022-10,31,4,4,30,78.68064516,67.74516129,59.13225806,0,12.90322581,12.90322581,96.77419355
91901,2022-11,30,1,3,26,64.95666667,54.07333333,45.74333333,0,3.33333333,10.0,86.66666667
91901,2022-12,31,3,4,39,62.19032258,51.64516129,43.78064516,0,9.67741935,12.90322581,125.80645161
91901,2023-01,31,3,3,27,57.42580645,48.98387097,42.22580645,0,9.67741935,9.67741935,87.09677419
91901,2023-02,28,3,3,33,57.94642857,48.20714286,40.18571429,0,10.71428571,10.71428571,117.85714286
91901,2023-03,31,5,5,26,58.01612903,49.75483871,42.62903226,0,16.12903226,16.12903226,83.87096774
91901,2023-04,30,3,4,32,70.15666667,58.93666667,48.82333333,0,10.0,13.33333333,106.66666667
91901,2023-05,31,2,3,34,71.32580645,61.18064516,53.23225806,0,6.4516129,9.67741935,109.67741935
91901,2023-06,30,2,3,31,77.03333333,65.09333333,55.52666667,0,6.66666667,10.0,103.33333333
91901,2023-07,31,5,5,33,92.86451613,80.37419355,69.77419355,6,16.12903226,16.12903226,106.4516129
91901,2023-08,31,7,7,36,89.32258065,77.97096774,68.83225806,4,22.58064516,22.58064516,116.12903226
91901,2023-09,30,3,3,42,82.68,71.18333333,62.69333333,0,10.0,10.0,140.0
91901,2023-10,31,1,1,46,80.71935484,68.66451613,58.72903226,0,3.22580645,3.22580645,148.38709677
91901,2023-11,30,5,5,36,71.74333333,60.25333333,51.62666667,0,16.66666667,16.66666667,120.0
91901,2023-12,31,4,4,26,66.80967742,55.80322581,47.54193548,0,12.90322581,12.90322581,83.87096774
91901,2024-01,31,3,3,28,61.44516129,51.54193548,43.86451613,0,9.67741935,9.67741935,90.32258065
91901,2024-02,29,1,1,21,59.52413793,51.46206897,44.9137931,0,3.44827586,3.44827586,72.4137931
