zip_code,year,locality_days,core_ids,broad_ids,all_eligible_ids,mean_daily_high_f,mean_daily_mean_f,mean_daily_low_f,heatwave_days,core_per_100_locality_days,broad_per_100_locality_days,all_per_100_locality_days
91901,2018,184,32,38,344,80.74945652,68.65271739,59.36793478,14,17.39130435,20.65217391,186.95652174
91901,2019,365,37,45,699,73.51589041,62.24,53.06136986,3,10.1369863,12.32876712,191.50684932
91901,2020,366,45,51,979,77.13989071,65.39153005,55.74398907,19,12.29508197,13.93442623,267.4863388
91901,2021,365,44,50,813,76.13205479,64.51506849,55.18465753,9,12.05479452,13.69863014,222.73972603
91901,2022,365,43,47,412,76.28493151,64.64684932,55.18849315,7,11.78082192,12.87671233,112.87671233
91901,2023,365,43,46,402,73.10109589,62.29726027,53.58136986,10,11.78082192,12.60273973,110.1369863
91901,2024,366,33,38,236,75.47404372,64.13442623,54.98442623,12,9.01639344,10.38251366,64.48087432
91901,2025,365,19,19,120,75.97369863,64.34,55.00164384,3,5.20547945,5.20547945,32.87671233
91902,2018,184,7,9,36,76.98641304,67.95271739,60.79673913,17,3.80434783,4.89130435,19.56521739
91902,2019,365,14,16,93,70.98520548,62.59287671,55.64876712,3,3.83561644,4.38356164,25.47945205
91902,2020,366,13,13,77,72.79672131,64.15355191,56.85327869,12,3.55191257,3.55191257,21.03825137
91902,2021,365,20,20,80,71.43123288,62.93589041,55.87643836,0,5.47945205,5.47945205,21.91780822
91902,2022,365,15,18,53,72.29890411,63.54684932,56.22767123,9,4.10958904,4.93150685,14.52054795
91902,2023,365,15,16,50,69.75150685,61.78109589,55.12767123,7,4.10958904,4.38356164,13.69863014
91902,2024,366,15,15,55,70.77786885,62.77513661,56.0920765,7,4.09836066,4.09836066,15.0273224
91902,2025,365,5,5,32,71.4630137,63.09287671,56.28767123,0,1.36986301,1.36986301,8.76712329
91905,2018,184,1,4,37,78.19728261,66.90380435,57.43804348,5,0.54347826,2.17391304,20.10869565
91905,2019,365,4,6,62,71.77315068,60.64657534,51.20410959,0,1.09589041,1.64383562,16.98630137
91905,2020,366,8,8,64,75.88469945,64.16393443,53.89754098,16,2.18579235,2.18579235,17.4863388
91905,2021,365,4,4,40,75.46520548,63.79534247,53.49150685,14,1.09589041,1.09589041,10.95890411
91905,2022,365,3,3,35,74.80684932,63.52136986,53.59753425,0,0.82191781,0.82191781,9.5890411
91905,2023,365,2,2,25,72.2690411,61.04849315,51.38219178,16,0.54794521,0.54794521,6.84931507
91905,2024,366,5,5,24,75.48142077,63.51912568,52.97759563,21,1.36612022,1.36612022,6.55737705
91905,2025,365,4,4,13,75.29013699,63.47287671,53.16,3,1.09589041,1.09589041,3.56164384
91906,2018,184,8,9,34,78.16521739,66.15815217,57.26141304,6,4.34782609,4.89130435,18.47826087
91906,2019,365,15,16,68,71.17013699,59.68356164,50.65945205,0,4.10958904,4.38356164,18.63013699
91906,2020,366,9,11,76,75.26120219,63.09398907,53.47622951,18,2.45901639,3.00546448,20.76502732
91906,2021,365,8,9,57,74.66191781,62.41671233,52.78684932,11,2.19178082,2.46575342,15.61643836
