recorded_hour,all_source_ids,core_dv_source_ids,period
0,2781,356,2021-2024
1,2546,392,2021-2024
2,2066,265,2021-2024
3,1555,213,2021-2024
5,696,100,2021-2024
9,4444,255,2021-2024
10,4254,218,2021-2024
11,3835,255,2021-2024
12,4008,284,2021-2024
13,3951,257,2021-2024
14,3918,257,2021-2024
16,3295,282,2021-2024
17,2963,284,2021-2024
18,2586,284,2021-2024
19,3368,381,2021-2024
20,3444,397,2021-2024
21,3553,471,2021-2024
22,3425,515,2021-2024
23,3313,461,2021-2024
7,1893,138,2021-2024
8,5028,238,2021-2024
15,3770,280,2021-2024
6,710,94,2021-2024
4,1001,127,2021-2024
MULTIPLE/CONFLICTING,149,1,2021-2024
