model,status,primary,period,outcome,exposure,rate_ratio,ci95_low,ci95_high,percent_change,coefficient_log_rate,se_hac7,two_sided_p,n_locality_days,n_days,n_zips,event_count,zero_count_locality_days,all_zero_zips_dropped,initial_locality_days,n_parameters,iterations,pearson_dispersion,poisson_deviance,residual_daily_acf1,residual_daily_acf7,max_abs_score,standard_error_method,adjustment,exposure_min,exposure_max,validation_statsmodels_max_coef_difference,validation_statsmodels_max_cov_difference,exposed_locality_days,unexposed_locality_days,p_holm_secondary_family,multiplicity_note
primary_high_10f,ok,True,2021-2024,core_count,temp_high_10f,1.028880168080568,0.9895165892966108,1.0698096542494462,2.8880168080568147,0.0284709953383357,0.0199032963837554,0.1525832226630689,138795,1461,95,6637,132797,17,163632,149,10,1.0242809648158395,27049.58513923641,-0.0351020766801177,-0.0060600225271841,4.600949829458578e-12,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,1.6653345369377348e-15,8.26561041833429e-14,,,,Designated primary test in a retrospective analysis; no multiplicity adjustment
secondary_mean_10f,ok,False,2021-2024,core_count,temp_mean_10f,1.0589480103941904,1.004061493179594,1.1168348715044665,5.89480103941904,0.0572759723019728,0.0271549401626752,0.0349248674758409,138795,1461,95,6637,132797,17,163632,149,10,1.0250326020990697,27047.73412950513,-0.0368866999452237,-0.0063206965400933,5.494424359930863e-13,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.51,10.32,,,,,0.349248674758409,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_low_10f,ok,False,2021-2024,core_count,temp_low_10f,1.067651550947154,1.0111503803368886,1.12730990009625,6.765155094715403,0.0654614241445039,0.0277417092585096,0.0182909402428601,138795,1461,95,6637,132797,17,163632,149,10,1.0250646848047391,27046.90306642147,-0.0371326364779323,-0.0063911578390295,1.0356689464363633e-13,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,1.46,9.41,,,,,0.201200342671461,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_high_ge90,ok,False,2021-2024,core_count,high_ge90f,1.0874516764886106,0.9573853338364112,1.235188285117341,8.745167648861063,0.083837047580648,0.0649942394189477,0.1970801547863172,138795,1461,95,6637,132797,17,163632,149,9,1.0240470185722477,27049.77174133347,-0.0338726233362642,-0.0049522588704539,1.5177749898911963e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,0.0,1.0,,,6249.0,132546.0,1.0,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_high_ge80,ok,False,2021-2024,core_count,high_ge80f,1.022079450910948,0.9452810982161568,1.1051172037035129,2.207945091094788,0.0218392293772333,0.0398538785834641,0.5837038957447269,138795,1461,95,6637,132797,17,163632,149,9,1.024058346606704,27051.1385661645,-0.0334406640831001,-0.0049792701179933,1.6542534486338467e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,0.0,1.0,,,28777.0,110018.0,1.0,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_heatwave_p90_3day,ok,False,2021-2024,core_count,heatwave_p90_3day,1.1623212261969007,0.9356271228541734,1.443941288006496,16.23212261969007,0.1504190627367709,0.1106945430341121,0.174189020654442,138795,1461,95,6637,132797,17,163632,149,9,1.0240551678680203,27048.83851238089,-0.0347304939422911,-0.0051079968148844,1.4667626922065802e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,0.0,1.0,,,2652.0,136143.0,1.0,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_high_lag1_10f,ok,False,2021-2024,core_count,high_lag1_10f,1.0409987938464125,1.001225435253528,1.0823521363251007,4.099879384641225,0.0401806309831809,0.0198758478573424,0.0432196846732877,138795,1461,95,6637,132797,17,163632,149,10,1.025447161364773,27047.734178974017,-0.0346735757488019,-0.0057407509170054,4.53963082402975e-12,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,,,,,0.3889771620595892,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
secondary_high_trailing3_10f,ok,False,2021-2024,core_count,high_trailing3_10f,1.0423705837820194,0.9961141835422082,1.090774985323787,4.237058378201941,0.0414975267277242,0.023159054423222,0.0731571696046517,138795,1461,95,6637,132797,17,163632,149,10,1.025312684619904,27048.39776972953,-0.0351519132066853,-0.0061110177845567,5.209490824831242e-12,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,3.426666666666666,11.643333333333333,,,,,0.5852573568372136,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
sensitivity_broad_high_10f,ok,False,2021-2024,broad_count,temp_high_10f,1.024544801285478,0.9865675784795942,1.0639839304863303,2.454480128547809,0.0242484176435511,0.019271716487349,0.2083054777436314,140256,1461,96,7825,133349,16,163632,150,10,1.03657077792753,29887.652616960164,-0.0218634577182812,-0.0015869192588189,9.059340083661382e-12,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,,,,,1.0,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
sensitivity_2018_2024_high_10f,ok,False,2018-2024,core_count,temp_high_10f,1.0229043148655517,0.9926458751593772,1.0540851108685323,2.2904314865551667,0.0226459487391598,0.0153203062435738,0.1393634752468369,235224,2376,99,11250,225108,13,266112,183,10,1.0215937941944255,45103.09468004909,-0.045435077326876,-0.0170825106129904,1.8338724636079995e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,,,,,0.9755443267278584,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
sensitivity_exclude2024_high_10f,ok,False,2021-2023,core_count,temp_high_10f,1.0210985984337728,0.9779211751853016,1.0661824022021509,2.109859843377282,0.0208791049741363,0.0220439331949389,0.3435578737479851,97455,1095,89,5087,92876,23,122640,131,9,1.0280140336931596,20517.899020852383,-0.0171495486311863,0.0034623092319338,1.6070859920613856e-12,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.63,,,,,1.0,Holm adjustment across 11 designated nonprimary retrospective tests; confidence intervals shown are individually 95%
