month_of_year,calendar_days,all_source_ids,core_dv_source_ids,broad_dv_source_ids,core_dv_per_day,period
1,124,5892.0,544.0,656.0,4.387096774193548,2021-2024
2,113,5454.0,473.0,600.0,4.185840707964601,2021-2024
3,124,6139.0,580.0,699.0,4.67741935483871,2021-2024
4,120,6021.0,527.0,656.0,4.391666666666667,2021-2024
5,124,6328.0,604.0,755.0,4.870967741935484,2021-2024
6,120,6087.0,551.0,670.0,4.591666666666667,2021-2024
7,124,6468.0,668.0,805.0,5.387096774193548,2021-2024
8,124,6473.0,595.0,723.0,4.798387096774194,2021-2024
9,120,6362.0,607.0,745.0,5.058333333333334,2021-2024
10,124,6231.0,571.0,706.0,4.604838709677419,2021-2024
11,120,5496.0,530.0,663.0,4.416666666666667,2021-2024
12,124,5545.0,555.0,652.0,4.475806451612903,2021-2024
