station,station_name,variable,comparison_basis,matched_days,correlation,mean_modeled_minus_observed_f,mean_absolute_difference_f,root_mean_squared_difference_f
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",TMAX,same_station_coordinates_and_elevation,2738,0.9378,-1.554,2.576,3.159
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",TMIN,same_station_coordinates_and_elevation,2740,0.9397,-1.482,2.628,3.171
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",TMAX,same_station_coordinates_and_elevation,2713,0.8999,1.784,3.74,4.615
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",TMIN,same_station_coordinates_and_elevation,2713,0.9483,-0.867,2.405,3.031
USW00053120,"RAMONA AIRPORT, CA US",TMAX,same_station_coordinates_and_elevation,2734,0.9857,-4.54,4.665,5.093
USW00053120,"RAMONA AIRPORT, CA US",TMIN,same_station_coordinates_and_elevation,2733,0.9002,6.821,7.156,8.228
USC00040983,"BORREGO DESERT PARK, CA US",TMAX,same_station_coordinates_and_elevation,2726,0.9863,-3.259,3.447,4.293
USC00040983,"BORREGO DESERT PARK, CA US",TMIN,same_station_coordinates_and_elevation,2731,0.9542,-0.454,3.171,4.06
USC00040136,"ALPINE, CA US",TMAX,same_station_coordinates_and_elevation,2740,0.982,-2.464,2.924,3.552
USC00040136,"ALPINE, CA US",TMIN,same_station_coordinates_and_elevation,2740,0.9579,1.499,2.479,3.195
USC00042863,"ESCONDIDO NUMBER 2, CA US",TMAX,same_station_coordinates_and_elevation,2739,0.9683,-5.819,5.919,6.465
USC00042863,"ESCONDIDO NUMBER 2, CA US",TMIN,same_station_coordinates_and_elevation,2739,0.9628,-0.973,2.27,2.85
