zip_code,latitude,longitude,area_land_sqmi,weather_grid_latitude,weather_grid_longitude,downscaled_elevation_m,utc_offset_seconds
91901,32.813624,-116.726969,77.874,32.800003,-116.7,597.0,-25200
91902,32.673217,-117.006101,11.217,32.700005,-117.0,75.0,-25200
91905,32.678648,-116.307485,83.577,32.700005,-116.3,1159.0,-25200
91906,32.65805,-116.476042,105.145,32.700005,-116.5,972.0,-25200
91910,32.637096,-117.061758,12.587,32.6,-117.1,46.0,-25200
91911,32.607352,-117.05036,12.728,32.6,-117.1,74.0,-25200
91913,32.622895,-116.986892,9.096,32.6,-117.0,138.0,-25200
91914,32.66604,-116.95424,6.644,32.700005,-117.0,212.0,-25200
91915,32.623602,-116.949804,7.729,32.6,-116.899994,162.0,-25200
91916,32.911035,-116.632006,61.901,32.9,-116.6,1035.0,-25200
91917,32.641996,-116.753767,51.835,32.6,-116.8,632.0,-25200
91931,32.837596,-116.580305,8.205,32.800003,-116.6,1326.0,-25200
91932,32.565354,-117.114567,4.277,32.6,-117.1,7.0,-25200
91934,32.648992,-116.152565,51.468,32.6,-116.2,1044.0,-25200
91935,32.694344,-116.775514,105.49,32.700005,-116.8,792.0,-25200
91941,32.759266,-116.997091,8.223,32.800003,-117.0,169.0,-25200
91942,32.777267,-117.021344,5.77,32.800003,-117.0,169.0,-25200
91945,32.733147,-117.034068,3.953,32.700005,-117.0,128.0,-25200
91948,32.864953,-116.473036,34.885,32.9,-116.5,1608.0,-25200
91950,32.669067,-117.093487,7.337,32.700005,-117.1,28.0,-25200
91962,32.846766,-116.519775,58.664,32.800003,-116.5,1196.0,-25200
91963,32.647953,-116.596357,41.247,32.6,-116.6,849.0,-25200
91977,32.726237,-116.994318,9.918,32.700005,-117.0,281.0,-25200
91978,32.698921,-116.930959,11.94,32.700005,-116.899994,670.0,-25200
91980,32.585191,-116.63254,3.693,32.6,-116.6,575.0,-25200
92003,33.285274,-117.197777,15.016,33.300003,-117.2,90.0,-25200
92004,33.197705,-116.167463,914.883,33.200005,-116.2,91.0,-25200
92007,33.023046,-117.275581,2.313,33.0,-117.3,60.0,-25200
92008,33.14248,-117.313444,10.401,33.200005,-117.3,3.0,-25200
92009,33.095339,-117.245769,12.185,33.1,-117.2,109.0,-25200
92010,33.165381,-117.281427,8.248,33.200005,-117.3,89.0,-25200
92011,33.106764,-117.296327,6.537,33.200005,-117.3,87.0,-25200
92014,32.963232,-117.250367,6.305,33.0,-117.3,7.0,-25200
92019,32.778844,-116.871416,31.731,32.800003,-116.899994,145.0,-25200
92020,32.795605,-116.969754,11.116,32.800003,-117.0,132.0,-25200
92021,32.835732,-116.874617,28.039,32.800003,-116.899994,250.0,-25200
92024,33.056868,-117.257577,18.025,33.0,-117.3,68.0,-25200
92025,33.077814,-117.033131,22.373,33.1,-117.0,105.0,-25200
92026,33.210965,-117.124788,36.058,33.200005,-117.1,340.0,-25200
92027,33.131601,-116.976937,59.669,33.1,-117.0,506.0,-25200
92028,33.386469,-117.224957,116.723,33.4,-117.2,289.0,-25200
92029,33.08553,-117.123967,22.56,33.1,-117.1,219.0,-25200
92036,33.032413,-116.265177,504.308,33.0,-116.3,875.0,-25200
92037,32.854642,-117.251772,12.046,32.800003,-117.2,14.0,-25200
92040,32.90891,-116.891972,67.196,32.9,-116.899994,478.0,-25200
92054,33.193069,-117.359676,7.47,33.200005,-117.399994,16.0,-25200
92055,33.411196,-117.433259,129.892,33.4,-117.399994,281.0,-25200
92056,33.199582,-117.298764,12.309,33.200005,-117.3,111.0,-25200
92057,33.25462,-117.283311,14.964,33.300003,-117.3,29.0,-25200
92058,33.263974,-117.344777,44.256,33.300003,-117.3,79.0,-25200
92059,33.382822,-117.051995,27.549,33.4,-117.1,340.0,-25200
92060,33.350376,-116.864443,68.866,33.4,-116.899994,1654.0,-25200
92061,33.300352,-116.930524,34.812,33.300003,-117.0,539.0,-25200
92064,32.984352,-117.013537,42.337,33.0,-117.0,297.0,-25200
92065,33.040373,-116.830075,169.349,33.0,-116.8,499.0,-25200
92066,33.215412,-116.535834,22.059,33.200005,-116.5,1205.0,-25200
92067,33.020908,-117.190346,22.393,33.0,-117.2,74.0,-25200
92069,33.175303,-117.157621,18.472,33.200005,-117.2,208.0,-25200
92070,33.188575,-116.74328,129.415,33.200005,-116.7,1336.0,-25200
92071,32.850685,-116.995314,18.849,32.9,-117.0,122.0,-25200
92075,32.997248,-117.26058,3.418,33.0,-117.3,51.0,-25200
92078,33.117065,-117.180807,16.7,33.1,-117.2,302.0,-25200
92081,33.164549,-117.24055,8.93,33.200005,-117.2,123.0,-25200
92082,33.251828,-117.002794,125.728,33.300003,-117.0,547.0,-25200
92083,33.198084,-117.248364,5.548,33.200005,-117.2,100.0,-25200
92084,33.227283,-117.200085,28.342,33.200005,-117.2,329.0,-25200
92086,33.313998,-116.629537,221.35,33.300003,-116.6,1057.0,-25200
92091,33.052389,-117.182817,1.29,33.1,-117.2,116.0,-25200
92093,32.882118,-117.237083,0.889,32.9,-117.2,107.0,-25200
92096,33.128156,-117.156194,0.327,33.1,-117.2,239.0,-25200
92101,32.717807,-117.172086,5.386,32.700005,-117.2,9.0,-25200
92102,32.715981,-117.117495,4.491,32.700005,-117.1,27.0,-25200
92103,32.747816,-117.167332,3.685,32.700005,-117.2,83.0,-25200
92104,32.741933,-117.127814,3.695,32.700005,-117.1,103.0,-25200
92105,32.740404,-117.089868,5.756,32.700005,-117.1,96.0,-25200
92106,32.709885,-117.237857,5.664,32.700005,-117.2,16.0,-25200
92107,32.739055,-117.245404,3.024,32.700005,-117.2,59.0,-25200
92108,32.773983,-117.142706,4.408,32.800003,-117.1,30.0,-25200
92109,32.786772,-117.234207,7.609,32.800003,-117.2,12.0,-25200
92110,32.765244,-117.200391,5.007,32.800003,-117.2,7.0,-25200
