zip_code,temperature_humidity_complete,precipitation_complete,temperature_grid_latitude,temperature_grid_longitude,target_elevation_m,same_grid_cached,same_grid_and_elevation_cached,primary_all_groups,primary_core_groups
91901,True,True,32.800003,-116.7,597.0,True,True,1863,163
91902,True,True,32.700005,-117.0,75.0,True,True,238,65
91905,True,True,32.700005,-116.3,1159.0,True,True,124,14
91906,True,True,32.700005,-116.5,972.0,True,True,181,34
91910,True,True,32.6,-117.1,46.0,True,True,189,6
91911,True,True,32.6,-117.1,74.0,True,True,157,11
91913,False,True,32.6,-117.0,138.0,True,False,18,2
91914,False,True,32.700005,-117.0,212.0,True,False,9,2
91915,False,True,32.6,-116.899994,162.0,False,False,14,0
91916,False,True,32.9,-116.6,1035.0,False,False,20,8
91917,True,True,32.6,-116.8,632.0,True,True,97,6
91931,False,True,32.800003,-116.6,1326.0,False,False,8,5
91932,True,True,32.6,-117.1,7.0,True,True,2513,336
91934,False,True,32.6,-116.2,1044.0,False,False,31,9
91935,True,True,32.700005,-116.8,792.0,True,True,729,52
91941,True,True,32.800003,-117.0,169.0,True,True,378,82
91942,True,True,32.800003,-117.0,169.0,True,True,67,6
91945,True,True,32.700005,-117.0,128.0,True,True,2972,294
91948,False,True,32.9,-116.5,1608.0,False,False,3,1
91950,True,True,32.700005,-117.1,28.0,True,True,248,29
91962,True,True,32.800003,-116.5,1196.0,True,True,161,5
91963,False,True,32.6,-116.6,849.0,True,False,19,8
91977,True,True,32.700005,-117.0,281.0,True,True,3340,579
91978,True,True,32.700005,-116.899994,670.0,True,True,347,61
91980,True,True,32.6,-116.6,575.0,True,True,51,0
92003,True,True,33.300003,-117.2,90.0,True,True,247,33
92004,True,True,33.200005,-116.2,91.0,True,True,131,18
92007,True,True,33.0,-117.3,60.0,True,True,494,44
92008,True,True,33.200005,-117.3,3.0,True,True,169,3
92009,True,True,33.1,-117.2,109.0,True,True,66,5
92010,False,True,33.200005,-117.3,89.0,True,False,46,2
92011,True,True,33.200005,-117.3,87.0,True,True,87,1
92014,True,True,33.0,-117.3,7.0,True,True,335,21
92019,True,True,32.800003,-116.899994,145.0,True,True,798,132
92020,True,True,32.800003,-117.0,132.0,True,True,415,41
92021,True,True,32.800003,-116.899994,250.0,True,True,1641,311
92024,True,True,33.0,-117.3,68.0,True,True,3540,235
92025,True,True,33.1,-117.0,105.0,True,True,830,26
92026,True,True,33.200005,-117.1,340.0,True,True,649,86
92027,True,True,33.1,-117.0,506.0,True,True,145,26
92028,True,True,33.4,-117.2,289.0,True,True,2368,367
92029,True,True,33.1,-117.1,219.0,True,True,360,36
92036,True,True,33.0,-116.3,875.0,True,True,101,28
92037,False,True,32.800003,-117.2,14.0,True,False,28,1
92040,True,True,32.9,-116.899994,478.0,True,True,2152,378
92054,True,True,33.200005,-117.399994,16.0,True,True,1014,10
92055,False,True,33.4,-117.399994,281.0,False,False,59,15
92056,True,True,33.200005,-117.3,111.0,True,True,1048,9
92057,True,True,33.300003,-117.3,29.0,True,True,188,3
92058,True,True,33.300003,-117.3,79.0,True,True,210,2
92059,True,True,33.4,-117.1,340.0,True,True,474,84
92060,False,True,33.4,-116.899994,1654.0,False,False,17,8
92061,True,True,33.300003,-117.0,539.0,True,True,227,33
92064,True,True,33.0,-117.0,297.0,True,True,2056,190
92065,True,True,33.0,-116.8,499.0,True,True,1477,284
92066,False,True,33.200005,-116.5,1205.0,False,False,6,2
