outcome,specification,counts,zip_days,certified_separated_zero_rows,parameters,max_abs_score,max_implied_step,full_sandwich_vs_projection_max_abs_error,fitted_daily_reconstruction_max_abs_error,observed_zero_fraction,poisson_expected_zero_fraction
all,R00,57903,93504,0,118,1.735250831913504e-12,1.947753619560962e-15,1.0706496453294356e-17,0.0,0.6927190280629706,0.666386913309644
all,R0,57903,93504,0,118,3.5238895135236703e-12,1.7275472169203166e-15,7.047314121155779e-19,0.0,0.6927190280629706,0.6663869167586576
all,R1,57903,93504,0,118,1.8414852975823237e-12,5.789500096450515e-16,5.515878552520004e-18,0.0,0.6927190280629706,0.6663802873073361
all,R2,57903,93504,0,121,3.4087399569671106e-11,3.707303795137274e-15,1.5035173626942733e-16,0.0,0.6927190280629706,0.6664981252463756
all,R3,57903,93504,0,246,1.0745709877468812e-12,9.199093392408909e-16,5.732718987017105e-18,0.0,0.6927190280629706,0.6668241991863979
all,R4,52203,93504,0,118,8.484879465697759e-13,9.180815796562178e-16,5.285485590866834e-18,0.0,0.7128144250513347,0.693898529838655
all,R5,52203,93504,0,249,1.0431377983621815e-12,1.964528630527612e-15,6.986327748953469e-16,0.0,0.7128144250513347,0.6942382377491276
all,R6,52203,93504,0,251,8.121392447435483e-12,3.653396166891177e-14,2.609301663625274e-13,1.4210854715202004e-14,0.7128144250513347,0.6942388126752471
all,R7,33527,66829,0,195,1.7641027527659503e-12,7.229165522211425e-15,1.7911019889460533e-16,0.0,0.7383770518786754,0.7213313512150055
all,R8,33527,66829,0,195,1.5340839709665488e-11,2.3338380329615314e-15,1.664792435851492e-16,0.0,0.7383770518786754,0.721331531383613
all,R9,57903,93504,0,118,9.264811140496931e-13,2.0604443808205372e-15,1.7076184216646695e-18,0.0,0.6927190280629706,0.6663875001926626
core,R00,6501,92043,0,117,4.683241641711966e-13,1.083411369768453e-15,1.4040418133687282e-17,0.0,0.9363123757374271,0.9361674877678504
core,R0,6501,92043,0,117,7.392560955749028e-13,1.308533911776724e-15,3.63207727782644e-17,0.0,0.9363123757374271,0.9361674920833583
core,R1,6501,92043,0,117,7.754250800490192e-13,1.2529824910736567e-15,1.4799359654427136e-17,0.0,0.9363123757374271,0.9361690699559928
core,R2,6501,92043,0,120,2.3819089062238064e-12,3.59524498690021e-15,1.3871282594779544e-15,0.0,0.9363123757374271,0.9361751820107002
core,R3,6501,89125,2918,239,3.6856693912123983e-13,1.3573952527882162e-14,3.198396408832238e-18,0.0,0.9342272089761571,0.9341149231390432
core,R4,6435,92043,0,117,1.1579663009714247e-12,1.8600135984515423e-15,5.095750210681871e-18,0.0,0.9368881935617048,0.9367600647421728
core,R5,6435,89125,2918,242,5.352796331181686e-12,4.116701796463614e-15,4.08158749853893e-15,0.0,0.9348218793828892,0.9347354122376126
core,R6,6435,89125,2918,244,6.247717621032933e-12,4.9244507583353637e-14,1.2538248217452974e-11,3.552713678800501e-15,0.9348218793828892,0.9347373594620827
core,R7,3809,63936,2893,191,1.0773673619901558e-12,3.602492748884482e-15,2.0554304785980193e-15,0.0,0.9457895395395396,0.9455497232156503
core,R8,3809,63936,2893,191,1.9200908224492608e-12,7.284978813667196e-15,2.2302038688026826e-15,0.0,0.9457895395395396,0.945547566522596
core,R9,6501,92043,0,117,8.271742665821868e-13,1.5547109831257789e-15,3.5236570605778894e-18,0.0,0.9363123757374271,0.9361675474352438
