outcome,specification,lag,standard_error,p_independent
all,R00,7,0.009760809078197992,0.05292362506556107
all,R0,7,0.009759836343411162,0.05287406245402594
all,R0,14,0.010076518548868542,0.06077819874363291
all,R0,28,0.01024813201995616,0.06522608692489068
all,R1,7,0.009787220713913452,0.24793367425689383
all,R2,7,0.01307044361505293,0.8617566718827511
all,R3,7,0.01003389968989138,0.023167980517522765
all,R4,7,0.009390390409705279,0.01660157397847947
all,R5,7,0.013668139015144723,0.39903588573447335
all,R5,14,0.013745828128577144,0.4017062113135502
all,R5,28,0.014221189861867125,0.4176256604198857
all,R7,7,0.01883966519299093,0.9599381150372472
all,R8,7,0.017329617886314957,0.8681551886584239
all,R9,7,0.009755294324874418,0.05311567155593521
core,R00,7,0.02012707715729311,0.17993148266954584
core,R0,7,0.02012001448370041,0.17902895181793632
core,R0,14,0.020479409884641798,0.186778509938898
core,R0,28,0.021257073506929472,0.20341841839338948
core,R1,7,0.02012236950382218,0.04383944021287956
core,R2,7,0.02875868167958134,0.1700006243391291
core,R3,7,0.021147864496562287,0.14390175169376587
core,R4,7,0.01987059066910974,0.21816081020039002
core,R5,7,0.03009494111838212,0.11590491401514928
core,R5,14,0.0315208260156459,0.1333357814443374
core,R5,28,0.0344386144157193,0.16947310641604807
core,R7,7,0.043144994921510436,0.14238208128643376
core,R8,7,0.03635600729047156,0.5568248833351256
core,R9,7,0.020117257262319346,0.1792292213128176
