test_id,p_independent,p_holm_independent,p_raw,p_holm_revision_family
all_R00,0.05292362506556107,1.0,0.05292362506554776,1.0
all_R0,0.05287406245402594,1.0,0.05287406245402682,1.0
all_R1,0.24793367425689383,1.0,0.24793367425690727,1.0
all_R2,0.8617566718827511,1.0,0.8617566718826909,1.0
all_R3,0.023167980517522765,0.5328635519030236,0.02316798051751885,0.5328635519029336
all_R4,0.01660157397847947,0.39843777548350723,0.01660157397847625,0.39843777548342996
all_R5,0.39903588573447335,1.0,0.399035885735355,1.0
all_R6_joint_temperature,0.7482670465163176,1.0,0.7482670465167114,1.0
all_R6_nonlinearity,0.8414107146113268,1.0,0.8414107146117304,1.0
all_R7,0.9599381150372472,1.0,0.9599381150372372,1.0
all_R8,0.8681551886584239,1.0,0.8681551886584601,1.0
all_R9,0.05311567155593521,1.0,0.05311567155593304,1.0
core_R00,0.17993148266954584,1.0,0.1799314826695535,1.0
core_R0,0.17902895181793632,1.0,0.17902895181791678,1.0
core_R1,0.04383944021287956,0.9644676846833503,0.04383944021287569,0.9644676846832652
core_R2,0.1700006243391291,1.0,0.17000062433877106,1.0
core_R3,0.14390175169376587,1.0,0.14390175169376726,1.0
core_R4,0.21816081020039002,1.0,0.21816081020039302,1.0
core_R5,0.11590491401514928,1.0,0.11590491401432794,1.0
core_R6_joint_temperature,0.1813151574264901,1.0,0.18131515743116944,1.0
core_R6_nonlinearity,0.31266417526670304,1.0,0.3126641752783433,1.0
core_R7,0.14238208128643376,1.0,0.14238208128665406,1.0
core_R8,0.5568248833351256,1.0,0.5568248833354585,1.0
core_R9,0.1792292213128176,1.0,0.1792292213128157,1.0
