specification,label,outcome,outcome_column,temperature_column,status,event_count,zip_days,calendar_span_days,dates_with_model_rows,zips,initial_zip_days,zero_only_zips_dropped,zero_count_zip_days,separated_zero_rows_removed,redundant_annual_columns_removed,parameters,iterations,max_abs_score,max_implied_coefficient_step,pearson_dispersion,observed_zero_fraction,poisson_expected_zero_fraction,daily_residual_acf1,daily_residual_acf7,hac_lag_days,elapsed_hours_offset,sample_sha256,coefficient_log_count,standard_error,count_ratio,ci95_low,ci95_high,percent_change,two_sided_p,joint_temperature_wald,joint_temperature_df,joint_temperature_p,nonlinearity_wald,nonlinearity_df,nonlinearity_p
R00,Original weather on the same revised ZIP sample,all,eligible_all_count,legacy_temp_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,118,9,1.0363238045485446e-12,4.0701340899757833e-16,1.454123796887696,0.6927190280629706,0.666386913309644,0.049579516132291127,-0.041929422158383786,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.018892471438305983,0.009760809078197444,1.0190720633725048,0.9997616655912261,1.0387554415103073,1.9072063372504717,0.05292362506554776,,,,,,
R0,Corrected civil-day reference,all,eligible_all_count,temp_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,118,9,6.497857807374885e-13,4.826585502755384e-16,1.4541247051470552,0.6927190280629706,0.6663869167586575,0.04957966835837296,-0.04192880690203124,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.018894536254257573,0.009759836343411198,1.0190741675709294,0.9997656359937019,1.0387556059357543,1.907416757092938,0.05287406245402682,,,,,,
R1,Previous civil-day maximum,all,eligible_all_count,prior_day_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,118,9,2.433608869978343e-13,4.504032892313161e-16,1.4536142571375843,0.6927190280629706,0.6663802873073361,0.04853992197425348,-0.04154881447345268,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.011307987141830733,0.009787220713913733,1.011372164104394,0.9921563105749556,1.0309601858324613,1.1372164104394082,0.24793367425690727,,,,,,
R2,Weather and holiday controls,all,eligible_all_count,temp_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,121,9,1.7096768445412636e-11,3.8239239045648906e-16,1.4530831278624832,0.6927190280629706,0.6664981252463756,0.04453996054220255,-0.04599268670672184,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.0022760665291396637,0.01307044361504718,1.0022786587348667,0.9769287741388583,1.0282863360646364,0.22786587348666817,0.8617566718826909,,,,,,
R3,ZIP-specific annual seasonality,all,eligible_all_count,temp_high_f,ok,57903,93504,1461,1461,64,93504,0,64772,0,0,246,9,1.6225631949140507e-12,5.165704521610647e-16,1.4309791422973202,0.6927190280629706,0.6668241991863979,0.04996792668444526,-0.042225891029454024,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.02278350638859263,0.010033899689891095,1.0230450328568954,1.0031222885925757,1.0433634574321156,2.30450328568954,0.02316798051751885,,,,,,
R4,Exclude warrant co-charges,all,strict_all,temp_high_f,ok,52203,93504,1461,1461,64,93504,0,66651,0,0,118,9,7.728540030171871e-13,3.496000962432564e-16,1.38406964862534,0.7128144250513347,0.6938985298386549,0.005776012560947547,-0.04225555509783615,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.02249387976695042,0.009390390409704998,1.022748774684439,1.0040974243461338,1.0417465783259867,2.274877468443896,0.01660157397847625,,,,,,
R5,Combined controls and warrant exclusion,all,strict_all,temp_high_f,ok,52203,93504,1461,1461,64,93504,0,66651,0,0,249,9,3.7882197378991123e-13,8.328054718980199e-16,1.3600895138352642,0.7128144250513347,0.6942382377491277,0.004660438173115362,-0.04454103126615948,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,0.011526947814132505,0.01366813901517028,1.0115936390796636,0.9848537633939568,1.0390595321481164,1.1593639079663558,0.399035885735355,,,,,,
R6,"Nonlinear temperature, combined specification",all,strict_all,temp_high_f,ok,52203,93504,1461,1461,64,93504,0,66651,0,0,251,9,3.855249453010856e-12,1.9830024456679256e-14,1.3605501556235287,0.7128144250513347,0.6942388126752471,0.004589004742952297,-0.04354776593512311,7,False,185d585cadc0f276437a88344eedf484ff1058cf81dbed515165c20b9cbfdc83,,,,,,,,1.2197683809579645,3.0,0.7482670465167114,0.34535074728083737,2.0,0.8414107146117304
R7,"Paired station sample, ERA5-Land maximum",all,strict_all,temp_high_f,ok,33527,66829,1461,1461,46,66829,0,49345,0,0,195,9,7.548073277519052e-12,5.138843325470095e-16,1.3901736811850722,0.7383770518786754,0.7213313512150054,-0.011485674503580613,-0.033924918286834735,7,False,e0614eade97f57a052c4d36aede788b0c63697ce67e1611dd2223e5c5493ac6d,0.0009463397913851053,0.018839665192986178,1.0009467877121694,0.9646608159725449,1.0385976658761948,0.09467877121694283,0.9599381150372372,,,,,,
R8,"Paired station sample, NOAA maximum",all,strict_all,noaa_high_f,ok,33527,66829,1461,1461,46,66829,0,49345,0,0,195,9,2.218447647805988e-12,1.7947530550197184e-15,1.3899805587860088,0.7383770518786754,0.721331531383613,-0.01163969511173022,-0.03374242942304151,7,False,e0614eade97f57a052c4d36aede788b0c63697ce67e1611dd2223e5c5493ac6d,-0.002876755359037795,0.01732961788631976,0.9971273785366411,0.9638282325190605,1.0315769713746081,-0.28726214633588903,0.8681551886584601,,,,,,
