period,variable,comparison,zip_days,changed_more_than_1e_7_f,mean_difference_f,mean_absolute_difference_f,p95_absolute_difference_f,max_absolute_difference_f,min_difference_f,max_difference_f
full,high,civil_minus_released,175424,264,-0.0006988781466618025,0.0009371579715432326,0.0,1.6999999999999957,-1.6999999999999957,0.7999999999999972
full,high,civil_minus_new_fixed_utc7,175424,264,-0.0006988781466618025,0.0009371579715432326,0.0,1.6999999999999957,-1.6999999999999957,0.7999999999999972
full,high,new_fixed_utc7_minus_released,175424,0,0.0,0.0,0.0,0.0,0.0,0.0
full,mean,civil_minus_released,175424,169950,-0.0009888010608582445,0.057234642413694824,0.21666667000000217,0.7583333299999993,-0.7583333299999993,0.7124999999999986
full,mean,civil_minus_new_fixed_utc7,175424,60372,-0.0011450415493889027,0.03981634235976833,0.21666666000000134,0.7833333299999907,-0.7833333299999907,0.7041666699999993
full,mean,new_fixed_utc7_minus_released,175424,168220,0.00015624048853065805,0.025334332907127867,0.04999999999999716,0.07499999999999574,-0.07083332999999925,0.07499999999999574
full,low,civil_minus_released,175424,6971,-0.030611546880700474,0.03390984129879606,0.0,7.0,-7.0,2.0
full,low,civil_minus_new_fixed_utc7,175424,6971,-0.030611546880700474,0.03390984129879606,0.0,7.0,-7.0,2.0
full,low,new_fixed_utc7_minus_released,175424,0,0.0,0.0,0.0,0.0,0.0,0.0
primary_2021_2024,high,civil_minus_released,93504,104,-0.00015507357973990431,0.0004994438740588642,0.0,1.5,-1.5,0.7999999999999972
primary_2021_2024,high,civil_minus_new_fixed_utc7,93504,104,-0.00015507357973990431,0.0004994438740588642,0.0,1.5,-1.5,0.7999999999999972
primary_2021_2024,high,new_fixed_utc7_minus_released,93504,0,0.0,0.0,0.0,0.0,0.0,0.0
primary_2021_2024,mean,civil_minus_released,93504,90627,-0.00036972076606346053,0.056604242444280486,0.21666666999999507,0.5708333299999993,-0.541666670000005,0.5708333299999993
primary_2021_2024,mean,civil_minus_new_fixed_utc7,93504,32377,-0.0005569676558221965,0.03927947985722536,0.21249999999999858,0.5458333300000078,-0.5166666599999985,0.5458333300000078
primary_2021_2024,mean,new_fixed_utc7_minus_released,93504,89710,0.00018724688975873594,0.025293659545260104,0.04999999999999716,0.07499999999999574,-0.07083332999999925,0.07499999999999574
primary_2021_2024,low,civil_minus_released,93504,3601,-0.029328157084188913,0.03183927960301164,0.0,4.600000000000001,-4.600000000000001,1.3000000000000043
primary_2021_2024,low,civil_minus_new_fixed_utc7,93504,3601,-0.029328157084188913,0.03183927960301164,0.0,4.600000000000001,-4.600000000000001,1.3000000000000043
primary_2021_2024,low,new_fixed_utc7_minus_released,93504,0,0.0,0.0,0.0,0.0,0.0,0.0
