period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
full,91901,high,2741,5,-0.0005107624954396201,0.0009485589201021531,1.3999999999999986
full,91902,high,2741,3,-0.00040131338927398814,0.0007661437431594314,1.0
full,91905,high,2741,5,-0.0011309740970448772,0.0011309740970448772,0.9000000000000057
full,91906,high,2741,7,-0.0010580080262677875,0.001568770521707405,1.3000000000000043
full,91910,high,2741,5,-0.00014593214155417678,0.0005107624954396201,0.5
full,91911,high,2741,5,-0.00018241517694272163,0.0005472455308281649,0.5
full,91917,high,2741,5,-0.000328347318496901,0.0008391098139365184,1.3000000000000043
full,91932,high,2741,4,-0.00021889821233126648,0.0005837285662167097,0.6000000000000014
full,91935,high,2741,4,-0.000328347318496901,0.000985041955490698,1.5
full,91941,high,2741,3,-0.00036483035388544326,0.0007296607077708865,1.1000000000000014
full,91942,high,2741,3,-0.00036483035388544326,0.0007296607077708865,1.1000000000000014
full,91945,high,2741,3,-0.00040131338927398814,0.0007661437431594314,1.0
full,91950,high,2741,3,-0.000328347318496901,0.0006202116016052546,0.7000000000000028
full,91962,high,2741,6,-0.0018971178402043061,0.0018971178402043061,1.5
full,91977,high,2741,3,-0.00040131338927398553,0.0007661437431594288,1.0
full,91978,high,2741,6,-0.00047427946005107523,0.0010580080262677825,1.2999999999999972
full,91980,high,2741,3,-3.6483035388547435e-05,0.0008391098139365184,1.2000000000000028
full,92003,high,2741,6,-0.0017511856986501292,0.001824151769427219,1.5
full,92004,high,2741,9,-0.0026632615833637402,0.0026632615833637402,1.3000000000000114
full,92007,high,2741,3,-0.00021889821233126388,0.00036483035388544326,0.6000000000000014
full,92008,high,2741,4,-0.0010215249908792428,0.0010215249908792428,1.0
full,92009,high,2741,3,-0.0005472455308281649,0.0005472455308281649,1.0
full,92011,high,2741,5,-0.000985041955490698,0.0010580080262677875,1.1000000000000014
full,92014,high,2741,3,-0.00025538124771981135,0.0004013133892739907,0.6000000000000014
full,92019,high,2741,3,-0.00047427946005107523,0.0009120758847136082,1.3999999999999986
full,92020,high,2741,3,-0.00036483035388544326,0.0007296607077708865,1.0
full,92021,high,2741,3,-0.00047427946005107523,0.0008391098139365184,1.2999999999999972
full,92024,high,2741,3,-0.00021889821233126388,0.00036483035388543806,0.5999999999999943
full,92025,high,2741,4,-0.0010580080262677825,0.0010580080262677825,1.3999999999999986
full,92026,high,2741,3,-0.0011674571324334169,0.0011674571324334169,1.3999999999999986
full,92027,high,2741,4,-0.0010944910616563323,0.0010944910616563323,1.4000000000000057
full,92028,high,2741,5,-0.0010944910616563297,0.001459321415541773,1.5
full,92029,high,2741,3,-0.0006931776723823417,0.0006931776723823417,1.2000000000000028
full,92036,high,2741,7,-0.001714702663261587,0.001714702663261587,1.5
full,92040,high,2741,3,-0.00047427946005107523,0.000693177672382339,1.3999999999999986
full,92054,high,2741,6,-0.0009120758847136108,0.0009850419554907005,0.7000000000000028
full,92056,high,2741,5,-0.0009850419554906927,0.0010580080262677825,1.0999999999999943
full,92057,high,2741,6,-0.001349872309376141,0.0014958044509303205,1.2000000000000028
full,92058,high,2741,6,-0.001313389273987599,0.001459321415541773,1.2000000000000028
full,92059,high,2741,5,-0.0012039401678219618,0.0016417365924844896,1.6999999999999957
full,92061,high,2741,6,-0.001459321415541773,0.0018971178402043061,1.6000000000000014
full,92064,high,2741,3,-0.0005837285662167071,0.0006566946369937969,1.3999999999999986
full,92065,high,2741,5,-0.001495804450930318,0.0016417365924844922,1.6000000000000014
full,92069,high,2741,4,-0.0010580080262677849,0.0010580080262677849,1.1999999999999957
full,92071,high,2741,3,-0.00036483035388544326,0.000656694636993802,1.3000000000000043
full,92075,high,2741,3,-0.00021889821233126648,0.00036483035388544587,0.6000000000000014
full,92078,high,2741,3,-0.0005837285662167097,0.0005837285662167097,1.0
full,92081,high,2741,4,-0.0010580080262677849,0.0010580080262677849,1.1999999999999957
full,92082,high,2741,6,-0.0014228383801532282,0.0018606348048157612,1.6000000000000014
full,92083,high,2741,4,-0.000985041955490698,0.000985041955490698,1.1000000000000014
full,92084,high,2741,4,-0.000985041955490698,0.000985041955490698,1.1000000000000014
full,92101,high,2741,3,-0.00021889821233126388,0.0005107624954396227,0.5
full,92102,high,2741,3,-0.00036483035388544587,0.0006566946369937995,0.8000000000000043
full,92103,high,2741,3,-0.00025538124771980875,0.0004742794600510726,0.5999999999999943
full,92105,high,2741,3,-0.00032834731849689584,0.0006202116016052546,0.7000000000000028
full,92108,high,2741,3,-0.00029186428310835617,0.0005837285662167097,0.8000000000000043
full,92110,high,2741,3,-0.00021889821233126648,0.00036483035388544066,0.5
full,92113,high,2741,3,-0.00032834731849689584,0.0006202116016052546,0.7000000000000028
full,92114,high,2741,3,-0.000328347318496901,0.0006202116016052546,0.7000000000000028
full,92115,high,2741,3,-0.00029186428310835617,0.0006566946369937995,0.8999999999999986
full,92123,high,2741,3,-0.00029186428310835357,0.0005837285662167071,0.7999999999999972
full,92127,high,2741,4,-0.0005107624954396227,0.0005837285662167123,1.2000000000000028
full,92154,high,2741,5,-0.00029186428310835357,0.0008026267785479763,0.6999999999999957
full,92173,high,2741,5,-0.00018241517694271903,0.000620211601605252,0.6000000000000014
full,91901,mean,2741,2647,-0.004060183805180592,0.05810861103611821,0.6791666700000007
full,91902,mean,2741,2650,-0.002394252032105041,0.05434477265231678,0.5291666700000022
full,91905,mean,2741,2646,0.0031886887340387537,0.06390387794235668,0.5916666699999951
full,91906,mean,2741,2642,-0.004470358923750406,0.05942517809193721,0.6958333299999921
full,91910,mean,2741,2660,0.0015856188215979089,0.05354037996716535,0.40833332999999783
full,91911,mean,2741,2659,-0.0020059641809558578,0.05307904135716884,0.38333332999999925
full,91917,mean,2741,2660,0.002940537891280499,0.05752110466982846,0.7083333300000021
full,91932,mean,2741,2646,-0.004692722918642784,0.0529468246187522,0.45416666999999933
full,91935,mean,2741,2657,-0.00641251477927766,0.057486913838015324,0.6708333300000007
full,91941,mean,2741,2644,-0.0042477436519518085,0.05284407208682969,0.6291666700000036
full,91942,mean,2741,2644,-0.0042477436519518085,0.05284407208682969,0.6291666700000036
full,91945,mean,2741,2648,-0.0033735282232763212,0.054718774016782094,0.6166666699999936
full,91950,mean,2741,2677,0.0024881746588837385,0.053210052484494785,0.4583333300000021
full,91962,mean,2741,2642,-0.0025040819299525126,0.05729684248449467,0.6875
full,91977,mean,2741,2645,-0.0027394450310104517,0.05439955537759939,0.5166666699999993
full,91978,mean,2741,2647,-0.0051315927106894465,0.055842747559284936,0.6750000000000043
full,91980,mean,2741,2655,-0.003090496457497157,0.059156858566216684,0.6666666699999979
full,92003,mean,2741,2657,0.002555221554177222,0.058071387873039115,0.5
full,92004,mean,2741,2670,6.101390733322413e-05,0.07037926769792059,0.5708333299999993
full,92007,mean,2741,2655,0.0024334237978839205,0.057914804272163486,0.4375
full,92008,mean,2741,2661,-0.006282637803721249,0.056901263261583464,0.47083333000000493
full,92009,mean,2741,2657,-0.0023794156256840707,0.059790230525355606,0.5083333299999993
full,92011,mean,2741,2646,-0.00235818682962419,0.05667415636628966,0.40416666999999507
full,92014,mean,2741,2661,0.0019547373549799775,0.057685243994892325,0.44583332999999925
full,92019,mean,2741,2662,0.0015462674279459736,0.05502993206858823,0.6416666699999993
full,92020,mean,2741,2655,0.0024691982524626447,0.05403509244436334,0.5583333300000035
full,92021,mean,2741,2647,-0.0018310703246990792,0.05609680966800439,0.7124999999999986
full,92024,mean,2741,2654,-0.004133522572053962,0.05763510101787676,0.42500000000000426
full,92025,mean,2741,2644,-0.0037345541371761495,0.05877912703757742,0.5666666699999965
full,92026,mean,2741,2660,0.002880589266690941,0.06093180847865735,0.4625000000000057
full,92027,mean,2741,2656,-0.002266534983582413,0.05954000982488129,0.5791666699999993
full,92028,mean,2741,2659,-0.0036504846588835856,0.059809376231302454,0.5374999999999943
full,92029,mean,2741,2652,0.003209679587741862,0.06069974203210511,0.5499999999999972
full,92036,mean,2741,2641,-0.0020716362750821875,0.07004997390368471,0.5958333299999907
full,92040,mean,2741,2647,-0.000510344819408937,0.05842637043779647,0.6208333300000035
full,92054,mean,2741,2660,-0.001986517136081684,0.05465242255016415,0.38749999999999574
full,92056,mean,2741,2651,-0.0009910907406055869,0.05667821430864633,0.42500000000000426
full,92057,mean,2741,2657,0.00040987897847506374,0.05722663908792413,0.42083333000000067
full,92058,mean,2741,2662,-0.004373179128055502,0.05771706087924111,0.42499999999999716
full,92059,mean,2741,2646,0.001993805746077997,0.060269252750820825,0.5625
full,92061,mean,2741,2645,-0.0015037354688070665,0.059812085866472124,0.6124999999999972
full,92064,mean,2741,2665,-0.0024769945932141507,0.05840707404596868,0.5958333299999978
full,92065,mean,2741,2653,0.0010968201422839384,0.06137628033929221,0.7583333299999993
full,92069,mean,2741,2667,-0.0030874535315578095,0.058990567358628364,0.4583333300000021
full,92071,mean,2741,2655,0.0021216047573879367,0.05765148658883619,0.5708333299999993
full,92075,mean,2741,2654,-0.003987590430499754,0.05760469849325073,0.42499999999999716
full,92078,mean,2741,2638,-0.005337774735498015,0.059199556960963115,0.47083332999999783
full,92081,mean,2741,2666,0.003661908015322951,0.05935909887997092,0.4583333300000021
full,92082,mean,2741,2651,0.0025763024407151,0.05998734466618025,0.6083333300000078
full,92083,mean,2741,2660,0.003620563206858818,0.05963322128785118,0.5041666700000036
full,92084,mean,2741,2659,0.00375750414447276,0.058786447471725546,0.458333329999995
full,92101,mean,2741,2672,-0.004246728398394835,0.05531094923020793,0.3708333299999964
full,92102,mean,2741,2642,0.0006198811236775448,0.05331671781101792,0.38750000000000284
full,92103,mean,2741,2656,0.001674914965341121,0.05508911910981402,0.42916667000000075
full,92105,mean,2741,2678,-0.0019262726231302136,0.05321652955855541,0.39166666999999933
full,92108,mean,2741,2667,-0.0009363451368114167,0.054260663429405394,0.4791666699999979
full,92110,mean,2741,2661,-0.004317941754834037,0.055636089759212144,0.42083333000000067
full,92113,mean,2741,2677,0.00416639428675662,0.05320701222911359,0.458333329999995
full,92114,mean,2741,2678,-0.0033855940386718518,0.05329253589930694,0.39166666999999933
