violation_type,violation_section,violation_description,raw_charge_rows,all_source_ids,core_source_ids,primary_eligible_all_ids,primary_eligible_core_ids
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST,6,5,0,3,0
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST (F),231,231,0,116,0
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT,76,76,0,68,0
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT (M),4147,4139,0,3277,0
PC,827.1,MISDEMEANOR ARREST WARRANT (M),1,1,0,0,0
PC,978.5,BENCH WARRANT/FAILURE TO APPEAR ON FELONY CHARGE,7,7,0,1,0
PC,978.5,BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,18,18,0,0,0
PC,978.5,FELONY BENCH WARRANT (OUR AGENCY),6641,6601,29,829,17
PC,978.5,MISDEMEANOR BENCH WARRANT (OUR AGENCY),4991,4970,41,416,13
ZZ,BW-F,FELONY BENCH WARRANT (OUR AGENCY),24,24,0,15,0
ZZ,BW-M,MISDEMEANOR BENCH WARRANT (OUR AGENCY),18,18,0,16,0
ZZ,OUT WARRANT,FELONY OTHER AGENCY'S WARRANT,6201,6177,38,969,27
ZZ,OUT WARRANT,MISDEMEANOR OTHER AGENCY'S WARRANT,6134,6121,26,907,17
ZZ,OUT WARRANT,OUTSIDE WARRANT/FELONY,12,12,0,1,0
ZZ,OUT WARRANT,OUTSIDE WARRANT/MISD,15,15,0,0,0
ZZ,OW-F,FELONY OTHER AGENCY'S WARRANT,37,36,0,0,0
ZZ,OW-M,MISDEMEANOR OTHER AGENCY'S WARRANT,28,28,1,0,0
