year,state_dv_calls,state_arrests_citations
2001,198031,1420680
2002,196569,1426233
2003,194288,1471083
2004,186439,1499083
2005,181362,1508210
2006,176299,1539364
2007,174649,1551900
2008,166343,1543665
2009,167087,1466852
2010,166361,1394425
2011,158548,1267196
2012,157634,1238496
2013,151325,1205536
2014,155965,1212845
2015,162302,1158812
2016,164569,1120759
2017,169362,1097083
2018,166890,1091694
2019,161123,1055622
2020,160646,853576
2021,164608,792797
2022,162422,780888
2023,160467,776541
2024,163024,810487
2025,157416,845164
