year_month,doj_county_dv_calls,doj_sheriff_named_entity_dv_calls,doj_known_sheriff_partial_reporting,supplied_export_all_source_ids,supplied_export_core_dv_source_ids,supplied_export_charge_rows,unit_warning,export_month_assignment
2018-01,1388,183,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-02,1260,175,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-03,1389,207,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-04,1419,208,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-05,1445,188,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-06,1508,226,0,,,,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-07,1634,253,0,2044,188,3088,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-08,1578,228,0,2178,161,3320,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-09,1555,223,0,2139,175,3223,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-10,1510,198,0,2057,151,3081,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-11,1413,206,0,1837,153,2755,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2018-12,1412,208,0,1836,160,2800,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-01,1298,210,0,2008,173,3093,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
2019-02,1280,180,0,1752,142,2751,Separate agency/county DV calls and source-ID group counts; not equivalent,Unambiguous month only; conflicting-month IDs omitted; blanks mean no supplied period
