year,county,age_scope,demographic_cells,violent,property,f_drugoff,f_sexoff,f_allother,f_total,m_total,s_total,total_arrests_and_citations,unit,coverage_note
1980,San Diego County,All ages,48,5391,12428,5030,401,2904,26154,104020,4995,135169,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1980,San Diego County,Adult 18+,40,4468,8007,4583,318,2348,19724,91696,0,111420,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1980,San Diego County,Juvenile under 18,8,923,4421,447,83,556,6430,12324,4995,23749,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1981,San Diego County,All ages,47,5415,13058,5424,364,3197,27458,125136,3393,155987,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1981,San Diego County,Adult 18+,39,4514,8773,4945,267,2635,21134,112648,0,133782,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1981,San Diego County,Juvenile under 18,8,901,4285,479,97,562,6324,12488,3393,22205,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1982,San Diego County,All ages,48,4860,12583,4628,392,2724,25187,118157,2981,146325,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1982,San Diego County,Adult 18+,40,4096,8614,4267,313,2294,19584,107562,0,127146,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1982,San Diego County,Juvenile under 18,8,764,3969,361,79,430,5603,10595,2981,19179,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1983,San Diego County,All ages,47,3903,11078,4532,467,2965,22945,117122,2267,142334,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1983,San Diego County,Adult 18+,39,3275,8307,4271,387,2546,18786,107911,0,126697,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1983,San Diego County,Juvenile under 18,8,628,2771,261,80,419,4159,9211,2267,15637,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1984,San Diego County,All ages,48,4033,10779,5399,559,2489,23259,121157,3418,147834,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1984,San Diego County,Adult 18+,40,3379,7811,4913,442,2048,18593,111366,0,129959,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1984,San Diego County,Juvenile under 18,8,654,2968,486,117,441,4666,9791,3418,17875,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1985,San Diego County,All ages,48,4018,11776,6552,520,2460,25326,118609,3089,147024,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1985,San Diego County,Adult 18+,40,3346,8747,6073,419,2073,20658,108438,0,129096,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1985,San Diego County,Juvenile under 18,8,672,3029,479,101,387,4668,10171,3089,17928,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1986,San Diego County,All ages,48,5594,13900,9514,512,2599,32119,115061,2839,150019,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1986,San Diego County,Adult 18+,40,4904,10924,8860,402,2299,27389,106084,0,133473,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1986,San Diego County,Juvenile under 18,8,690,2976,654,110,300,4730,8977,2839,16546,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1987,San Diego County,All ages,48,6240,16040,11356,492,2820,36948,125701,2472,165121,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1987,San Diego County,Adult 18+,40,5606,12953,10706,396,2545,32206,116881,0,149087,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1987,San Diego County,Juvenile under 18,8,634,3087,650,96,275,4742,8820,2472,16034,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1988,San Diego County,All ages,48,6956,17488,12966,473,2868,40751,114952,2094,157797,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1988,San Diego County,Adult 18+,40,6271,14029,12210,387,2550,35447,106001,0,141448,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1988,San Diego County,Juvenile under 18,8,685,3459,756,86,318,5304,8951,2094,16349,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1989,San Diego County,All ages,48,7953,19588,13767,521,3100,44929,106474,2265,153668,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1989,San Diego County,Adult 18+,40,7038,15520,13127,397,2684,38766,97714,0,136480,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1989,San Diego County,Juvenile under 18,8,915,4068,640,124,416,6163,8760,2265,17188,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1990,San Diego County,All ages,48,9556,17539,12184,1126,3147,43552,113368,3104,160024,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1990,San Diego County,Adult 18+,40,8238,13763,11779,942,2673,37395,103965,0,141360,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1990,San Diego County,Juvenile under 18,8,1318,3776,405,184,474,6157,9403,3104,18664,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1991,San Diego County,All ages,48,11600,16311,10829,692,3088,42520,107234,3919,153673,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1991,San Diego County,Adult 18+,40,9994,12349,10395,539,2598,35875,97220,0,133095,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1991,San Diego County,Juvenile under 18,8,1606,3962,434,153,490,6645,10014,3919,20578,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1992,San Diego County,All ages,48,12213,15654,11483,549,3193,43092,87325,3938,134355,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1992,San Diego County,Adult 18+,40,10684,11741,11011,399,2696,36531,77576,0,114107,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1992,San Diego County,Juvenile under 18,8,1529,3913,472,150,497,6561,9749,3938,20248,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1993,San Diego County,All ages,48,11625,15132,11667,797,3410,42631,85379,3912,131922,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1993,San Diego County,Adult 18+,40,9999,11394,11181,635,2823,36032,74805,0,110837,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1993,San Diego County,Juvenile under 18,8,1626,3738,486,162,587,6599,10574,3912,21085,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1994,San Diego County,All ages,48,11711,14191,13116,626,3491,43135,83466,5922,132523,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1994,San Diego County,Adult 18+,40,10094,10999,12499,505,2872,36969,72904,0,109873,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1994,San Diego County,Juvenile under 18,8,1617,3192,617,121,619,6166,10562,5922,22650,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1995,San Diego County,All ages,48,11452,13166,12440,574,3331,40963,82204,4109,127276,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1995,San Diego County,Adult 18+,40,9870,10261,11856,446,2703,35136,72510,0,107646,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1995,San Diego County,Juvenile under 18,8,1582,2905,584,128,628,5827,9694,4109,19630,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1996,San Diego County,All ages,48,11012,11931,10069,554,3208,36774,77455,3834,118063,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1996,San Diego County,Adult 18+,40,9448,8864,9554,435,2451,30752,67668,0,98420,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1996,San Diego County,Juvenile under 18,8,1564,3067,515,119,757,6022,9787,3834,19643,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1997,San Diego County,All ages,48,11275,11226,10709,610,3258,37078,73729,3368,114175,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1997,San Diego County,Adult 18+,40,9779,8494,10189,471,2495,31428,63275,0,94703,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1997,San Diego County,Juvenile under 18,8,1496,2732,520,139,763,5650,10454,3368,19472,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1998,San Diego County,All ages,48,11043,10642,9883,550,3281,35399,77570,3828,116797,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1998,San Diego County,Adult 18+,40,9435,7860,9396,449,2421,29561,65728,0,95289,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1998,San Diego County,Juvenile under 18,8,1608,2782,487,101,860,5838,11842,3828,21508,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1999,San Diego County,All ages,48,9893,8689,9764,614,3248,32208,76561,4323,113092,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1999,San Diego County,Adult 18+,40,8427,6383,9360,483,2466,27119,65163,0,92282,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
1999,San Diego County,Juvenile under 18,8,1466,2306,404,131,782,5089,11398,4323,20810,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2000,San Diego County,All ages,48,10135,8683,9355,492,3217,31882,70785,4209,106876,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2000,San Diego County,Adult 18+,40,8781,6552,8935,397,2478,27143,59562,0,86705,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2000,San Diego County,Juvenile under 18,8,1354,2131,420,95,739,4739,11223,4209,20171,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2001,San Diego County,All ages,48,10192,9408,9093,532,3810,33035,71900,4181,109116,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2001,San Diego County,Adult 18+,40,8676,7271,8662,405,2845,27859,61454,0,89313,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2001,San Diego County,Juvenile under 18,8,1516,2137,431,127,965,5176,10446,4181,19803,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2002,San Diego County,All ages,48,9766,9639,9205,519,4243,33372,73130,3847,110349,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2002,San Diego County,Adult 18+,40,8509,7493,8789,405,3171,28367,62700,0,91067,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2002,San Diego County,Juvenile under 18,8,1257,2146,416,114,1072,5005,10430,3847,19282,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2003,San Diego County,All ages,48,9602,10350,10367,722,4816,35857,74445,3065,113367,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2003,San Diego County,Adult 18+,40,8431,8269,9948,619,3581,30848,64547,0,95395,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2003,San Diego County,Juvenile under 18,8,1171,2081,419,103,1235,5009,9898,3065,17972,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
2004,San Diego County,All ages,48,9558,11577,11181,820,4865,38001,79271,2725,119997,DOJ arrest/citation occasions; highest-severity offense; county of reporting agency,No completeness guarantee; 2021 includes CIBRS transition
