year,month,year_month,county,agency_name,jurisdiction_code,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,explicit_sheriff_partial_reporting,coverage_note,unit
2001,1,2001-01,San Diego County,CA Highway Patrol - San Diego,3799,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,CSU San Diego,3714,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Carlsbad,3701,29,18,0,1,3,14,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Chula Vista,3702,158,103,0,4,14,85,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Colorado Desert DPR,3722,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Coronado,3703,6,4,0,0,0,4,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Del Mar,3704,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,El Cajon,3705,54,35,0,2,2,31,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Encinitas,37A4,14,10,0,0,1,9,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Escondido,3706,87,80,0,2,7,71,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Imperial Beach,3707,15,8,0,1,1,6,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,La Mesa,3708,25,24,0,0,7,17,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,1,2001-01,San Diego County,Lemon Grove,37A1,7,7,0,1,0,6,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
